titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-22 10:13:44,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-22 10:13:49,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-22 10:13:54,215/60R17,dunlop,enasave ec300,763681076.37,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/pneusonline/10472129-344-417931/f85e7fb6ccb1ae16f25825b706897641.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-22 10:14:11,215/60R17,dunlop,,833881175.81,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60r17-96h-ensave-ec300/chinelloautocenter/12167f225c0711efa6f54201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-22 10:14:46,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-22 10:14:50,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-22 10:14:53,215/60R17,dunlop,enasave ec300,763681076.37,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/pneusonline/10472129-344-417931/f85e7fb6ccb1ae16f25825b706897641.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-22 10:15:09,215/60R17,dunlop,,833881175.81,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60r17-96h-ensave-ec300/chinelloautocenter/12167f225c0711efa6f54201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/?seller_id=chinelloautocenter,2025-08-22 10:15:15,215/60R17,dunlop,,1124002153.52,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60r17-96h-ensave-ec300/chinelloautocenter/12167f225c0711efa6f54201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/?seller_id=pneusonline,2025-08-22 10:15:18,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/?seller_id=showpneuserodas,2025-08-22 10:15:21,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-22 10:15:56,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-22 10:15:59,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-22 10:16:03,215/60R17,dunlop,enasave ec300,763681076.37,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/pneusonline/10472129-344-417931/f85e7fb6ccb1ae16f25825b706897641.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-22 10:16:20,215/60R17,dunlop,,833881175.81,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60r17-96h-ensave-ec300/chinelloautocenter/12167f225c0711efa6f54201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/?seller_id=showpneuserodas,2025-08-22 10:16:29,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/?seller_id=chinelloautocenter,2025-08-22 10:16:31,215/60R17,dunlop,,1124002153.52,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60r17-96h-ensave-ec300/chinelloautocenter/12167f225c0711efa6f54201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/?seller_id=pneusonline,2025-08-22 10:16:33,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/?seller_id=showpneuserodas,2025-08-22 10:16:38,215/60R17,dunlop,,10406510104.07,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-215-60-r17-100h-grandtrek-at5/showpneuserodas/novo91/e25be105035fda1520ff8bd00f6ef025.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/?seller_id=pneusonline,2025-08-22 10:16:42,215/60R17,dunlop,,813201081.32,True,https://a-static.mlcdn.com.br/280x210/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/pneusonline/10472129001047-93-417044/bcc63350127704bef445952b29bbd4e2.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
