titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop Aro 17 215/60R17 Enasave EC350 96H,1011.32,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-enasave-ec350-96h/p/fj1b1fa888/au/aupa/,2025-08-29 13:10:03,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 17 Primacy 4 215/60R17 96H TL,847.92,https://www.magazineluiza.com.br/pneu-michelin-aro-17-primacy-4-215-60r17-96h-tl/p/ka5465976f/au/aupa/,2025-08-29 13:10:15,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 215/60 R17 100H Alenza 001,816.33,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-215-60-r17-100h-alenza-001/p/ccdf3aeg19/au/aupa/,2025-08-29 13:10:25,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 17"" 215/60R17 Pirelli 100H Scorpion H/T",899.9,https://www.magazineluiza.com.br/pneu-aro-17-215-60r17-pirelli-100h-scorpion-h-t/p/238074800/au/aupa/,2025-08-29 13:10:36,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 215/60 R17 96h Conticrosscontact Lx2,761.38,https://www.magazineluiza.com.br/pneu-continental-215-60-r17-96h-conticrosscontact-lx2/p/dg1akgah11/au/aupa/,2025-08-29 13:10:49,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 17"" 215/60R17 Pirelli 96H Scorpion",1299.9,https://www.magazineluiza.com.br/pneu-aro-17-215-60r17-pirelli-96h-scorpion/p/238075500/au/pine/,2025-08-29 13:10:59,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 17 215/60r17 96h Fr Crosscontact Lx2,713.8,https://www.magazineluiza.com.br/pneu-continental-aro-17-215-60r17-96h-fr-crosscontact-lx2/p/jb1858dg5d/au/aupa/,2025-08-29 13:11:09,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu GT Radial Aro 17 215/60R17 Champiro Fe2 96H,1036.86,https://www.magazineluiza.com.br/pneu-gt-radial-aro-17-215-60r17-champiro-fe2-96h/p/ddeeee43f2/au/pine/,2025-08-29 13:11:22,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17” 215/60R17 Goodyear 96H SUV,789.9,https://www.magazineluiza.com.br/pneu-aro-17-215-60r17-goodyear-96h-suv/p/235250000/au/pine/,2025-08-29 13:11:32,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 215/60R17 100H Alenza 001 Bridgestone,709.85,https://www.magazineluiza.com.br/pneu-aro-17-215-60r17-100h-alenza-001-bridgestone/p/hej9cg1ke8/au/aupa/,2025-08-29 13:11:44,215/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
