titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Laufenn 215/75 R16 116/114R X Fit Van Lv01,950.05,https://www.magazineluiza.com.br/pneu-laufenn-215-75-r16-116-114r-x-fit-van-lv01/p/aj2b5cfb75/au/pnoc/,2025-08-29 21:41:31,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 8 Lonas 113/111R Forza Van F1 Xbri,608.18,https://www.magazineluiza.com.br/pneu-215-75r16-c-8-lonas-113-111r-forza-van-f1-xbri/p/bff08beb5k/au/pnoc/,2025-08-29 21:41:45,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 215/75 R16C 113/111R 8PR Forza Van F1,625.14,https://www.magazineluiza.com.br/pneu-aro-16-xbri-215-75-r16c-113-111r-8pr-forza-van-f1/p/feej10a782/au/pnoc/,2025-08-29 21:41:57,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114R Cargoplus Xbri,666.13,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114r-cargoplus-xbri/p/ac1hk42e8a/au/pnoc/,2025-08-29 21:42:11,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114S RL106 Tracforce Aptany,556.57,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114s-rl106-tracforce-aptany/p/ce882h3fb3/au/pnoc/,2025-08-29 21:42:21,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 215/75 R16 116/114R X Fit Van Lv01,950.05,https://www.magazineluiza.com.br/pneu-laufenn-215-75-r16-116-114r-x-fit-van-lv01/p/aj2b5cfb75/au/pnoc/,2025-08-29 21:42:59,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 8 Lonas 113/111R Forza Van F1 Xbri,608.18,https://www.magazineluiza.com.br/pneu-215-75r16-c-8-lonas-113-111r-forza-van-f1-xbri/p/bff08beb5k/au/pnoc/,2025-08-29 21:43:12,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 215/75 R16C 113/111R 8PR Forza Van F1,625.14,https://www.magazineluiza.com.br/pneu-aro-16-xbri-215-75-r16c-113-111r-8pr-forza-van-f1/p/feej10a782/au/pnoc/,2025-08-29 21:43:25,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114R Cargoplus Xbri,666.13,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114r-cargoplus-xbri/p/ac1hk42e8a/au/pnoc/,2025-08-29 21:43:38,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114S RL106 Tracforce Aptany,556.57,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114s-rl106-tracforce-aptany/p/ce882h3fb3/au/pnoc/,2025-08-29 21:43:49,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 215/75 R16 116/114R X Fit Van Lv01,950.05,https://www.magazineluiza.com.br/pneu-laufenn-215-75-r16-116-114r-x-fit-van-lv01/p/aj2b5cfb75/au/pnoc/,2025-08-29 21:44:25,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 8 Lonas 113/111R Forza Van F1 Xbri,608.18,https://www.magazineluiza.com.br/pneu-215-75r16-c-8-lonas-113-111r-forza-van-f1-xbri/p/bff08beb5k/au/pnoc/,2025-08-29 21:44:38,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 215/75 R16C 113/111R 8PR Forza Van F1,625.14,https://www.magazineluiza.com.br/pneu-aro-16-xbri-215-75-r16c-113-111r-8pr-forza-van-f1/p/feej10a782/au/pnoc/,2025-08-29 21:44:51,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114R Cargoplus Xbri,666.13,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114r-cargoplus-xbri/p/ac1hk42e8a/au/pnoc/,2025-08-29 21:45:04,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R16 C 10 Lonas 116/114S RL106 Tracforce Aptany,556.57,https://www.magazineluiza.com.br/pneu-215-75r16-c-10-lonas-116-114s-rl106-tracforce-aptany/p/ce882h3fb3/au/pnoc/,2025-08-29 21:45:15,215/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
