titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-23 10:09:27,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",972.99,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/bg98fk14ab/au/pnoc/,2025-08-23 10:09:39,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-23 10:09:49,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-23 10:10:03,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-23 10:10:16,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-23 10:10:54,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",972.99,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/bg98fk14ab/au/pnoc/,2025-08-23 10:11:07,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-23 10:11:18,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-23 10:11:33,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-23 10:11:46,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-23 10:12:27,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",972.99,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/bg98fk14ab/au/pnoc/,2025-08-23 10:12:39,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-23 10:12:50,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-23 10:13:04,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-23 10:13:18,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
