titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 17 225/45 r17 dunlop sp sport fm800 xl dev 94w,702.91,https://www.magazineluiza.com.br/pneu-aro-17-225-45-r17-dunlop-sp-sport-fm800-xl-dev-94w/p/hjhk3bk1b2/au/aupa/,2025-08-23 13:52:08,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 45 R17 94w Spfm800 Dunlop Golf Jetta Vectra Impreza C4 Lancer Leon 417034,583.97,https://www.magazineluiza.com.br/pneu-225-45-r17-94w-spfm800-dunlop-golf-jetta-vectra-impreza-c4-lancer-leon-417034/p/ke39644626/au/pine/,2025-08-23 13:52:18,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 45 R17 94w Dz102 Dunlop Cod.ref. Golf Jetta Vectra Impreza C4 Lancer Leon 417015,592.78,https://www.magazineluiza.com.br/pneu-225-45-r17-94w-dz102-dunlop-cod-ref-golf-jetta-vectra-impreza-c4-lancer-leon-417015/p/cj90ah626h/au/aupa/,2025-08-23 13:52:29,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 45 R17 91w Sp Sportmaxx 050+ Dunlop Golf Jetta Vectra Impreza C4 Lancer Leon 417928,609.72,https://www.magazineluiza.com.br/pneu-225-45-r17-91w-sp-sportmaxx-050-dunlop-golf-jetta-vectra-impreza-c4-lancer-leon-417928/p/cg1b726391/au/pine/,2025-08-23 13:52:40,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,605.15,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/kh81d4g5g9/au/pine/,2025-08-23 13:52:51,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,758.83,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/bd26ahba3h/au/pine/,2025-08-23 13:53:01,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45R17 91W SP Sport Maxx 050,638.68,https://www.magazineluiza.com.br/pneu-dunlop-225-45r17-91w-sp-sport-maxx-050/p/bh96kh141c/au/aupa/,2025-08-23 13:53:12,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,758.83,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/ge7c0bg44a/au/pine/,2025-08-23 13:53:24,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,758.83,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/kk3hd6j3kf/au/pine/,2025-08-23 13:53:34,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,758.83,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/fce774h53e/au/pine/,2025-08-23 13:53:45,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 225/45 R17 94W DZ102 XL JP EV,758.83,https://www.magazineluiza.com.br/pneu-dunlop-225-45-r17-94w-dz102-xl-jp-ev/p/gdh481k7de/au/pine/,2025-08-23 13:53:55,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 17 225/45R17 91W SP SPORT MAXX 050,663.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-225-45r17-91w-sp-sport-maxx-050/p/jab4e5f1g0/au/pine/,2025-08-23 13:54:07,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 17 225/45R17 91W SP SPORT MAXX 050,657.55,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-225-45r17-91w-sp-sport-maxx-050/p/bghf861e95/au/pine/,2025-08-23 13:54:20,225/45R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
