titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Firemax Aro 17 225/45R17 94W XL FM601,526.6,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/gh4a7f8he5/au/pine/,2025-09-11 09:31:44,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,506.56,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/dhhf9f33ad/au/pine/,2025-09-11 09:31:46,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,521.54,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/ajbe69kdak/au/pine/,2025-09-11 09:31:49,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,526.6,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/gh4a7f8he5/au/pine/,2025-09-11 09:32:32,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,506.56,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/dhhf9f33ad/au/pine/,2025-09-11 09:32:34,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,521.54,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/ajbe69kdak/au/pine/,2025-09-11 09:32:36,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,521.54,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/ajbe69kdak/au/pine/,2025-09-11 09:32:56,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,526.6,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/gh4a7f8he5/au/pine/,2025-09-11 09:33:24,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,506.56,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/dhhf9f33ad/au/pine/,2025-09-11 09:33:26,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,521.54,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/ajbe69kdak/au/pine/,2025-09-11 09:33:27,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firemax Aro 17 225/45R17 94W XL FM601,521.54,https://www.magazineluiza.com.br/pneu-firemax-aro-17-225-45r17-94w-xl-fm601/p/ajbe69kdak/au/pine/,2025-09-11 09:33:51,225/45R17,firemax,fm601,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
