titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli Aro 17 Powergy 225/45R17 91W,507.07,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-powergy-225-45r17-91w/p/gdb59ed32a/au/aupa/,2025-09-04 21:31:34,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Powergy 225/45 R17 Aro 17 91W,527.49,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-45-r17-aro-17-91w/p/jj075e585k/au/aupa/,2025-09-04 21:31:38,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 225/45R17 Pirelli 91W TL Powergy,561.9,https://www.magazineluiza.com.br/pneu-aro-17-225-45r17-pirelli-91w-tl-powergy/p/cb7h36d124/au/aupa/,2025-09-04 21:31:41,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/45R17 Pirelli Powergy 91W,503.7,https://www.magazineluiza.com.br/pneu-225-45r17-pirelli-powergy-91w/p/bj93c35g0e/au/aupa/,2025-09-04 21:31:49,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Powergy 225/45R17 91W,491.06,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-powergy-225-45r17-91w/p/ha09ek6ej6/au/pine/,2025-09-04 21:31:52,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli 225/45 R17 91W Powergy,648.35,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-225-45-r17-91w-powergy/p/ah47k55c14/au/aupa/,2025-09-04 21:31:58,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/45R17 Pirelli Powergy 91W Aro 17,619.16,https://www.magazineluiza.com.br/pneu-225-45r17-pirelli-powergy-91w-aro-17/p/dj2134chh9/au/aupa/,2025-09-04 21:32:04,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Powergy 225/45 R17 Aro 17 91W,609.3,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-45-r17-aro-17-91w/p/jah8g0h921/au/aupa/,2025-09-04 21:32:07,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 225/45R17 91W Pirelli Powergy,578.27,https://www.magazineluiza.com.br/pneu-aro-17-225-45r17-91w-pirelli-powergy/p/edbbbg2c22/au/pine/,2025-09-04 21:32:12,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 225/45R17 Powergy 91W,682.57,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-225-45r17-powergy-91w/p/hgd78kedc4/au/aupa/,2025-09-04 21:32:18,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Carro 225/45R17 Powergy TL 91W Pirelli,941.77,https://www.magazineluiza.com.br/pneu-carro-225-45r17-powergy-tl-91w-pirelli/p/jfef601hh1/au/aupa/,2025-09-04 21:32:23,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 Powergy 225/45R17 91W,507.07,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-powergy-225-45r17-91w/p/gdb59ed32a/au/aupa/,2025-09-04 21:32:51,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Powergy 225/45 R17 Aro 17 91W,527.49,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-45-r17-aro-17-91w/p/jj075e585k/au/aupa/,2025-09-04 21:32:54,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 225/45R17 Pirelli 91W TL Powergy,561.9,https://www.magazineluiza.com.br/pneu-aro-17-225-45r17-pirelli-91w-tl-powergy/p/cb7h36d124/au/aupa/,2025-09-04 21:32:57,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/45R17 Pirelli Powergy 91W,503.7,https://www.magazineluiza.com.br/pneu-225-45r17-pirelli-powergy-91w/p/bj93c35g0e/au/aupa/,2025-09-04 21:33:02,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Powergy 225/45R17 91W,491.06,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-powergy-225-45r17-91w/p/ha09ek6ej6/au/pine/,2025-09-04 21:33:04,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli 225/45 R17 91W Powergy,648.35,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-225-45-r17-91w-powergy/p/ah47k55c14/au/aupa/,2025-09-04 21:33:09,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 225/45R17 Pirelli Powergy 91W Aro 17,619.16,https://www.magazineluiza.com.br/pneu-225-45r17-pirelli-powergy-91w-aro-17/p/dj2134chh9/au/aupa/,2025-09-04 21:33:12,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Powergy 225/45 R17 Aro 17 91W,609.3,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-45-r17-aro-17-91w/p/jah8g0h921/au/aupa/,2025-09-04 21:33:15,225/45R17,pirelli,powergy,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
