titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 225/45 R18 ZR 95W XL SPORT PLUS F1 - XBRI,698.25,https://www.magazineluiza.com.br/pneu-225-45-r18-zr-95w-xl-sport-plus-f1-xbri/p/ac45fjf433/au/aupa/,2025-08-22 08:34:24,225/45R18,,,719.25,True,https://a-static.mlcdn.com.br/280x210/pneu-225-45-r18-zr-95w-xl-sport-plus-f1-xbri/soldatellihomeeletro/6561p/cc6fc9eea166f9a2adf71b7a7a78e915.jpeg,magazineluiza,,True,0,0.0,Soldatelli Home Eletro,False,,,
Pneu Delinte Aro 18 225/45 R18 DS7 Sport 95Y XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45-r18-ds7-sport-95y-xl/p/bf724d7c57/au/pine/,2025-08-22 08:34:27,225/45R18,,,973839108.2,True,https://a-static.mlcdn.com.br/280x210/pneu-delinte-aro-18-225-45-r18-ds7-sport-95y-xl/webpneus/d2042/ad3ff1d99b5b1761bf56a62da9431f5d.jpeg,magazineluiza,,True,13,5.0,Web Pneus,False,,,
Pneu 225/45 R18 Hankook Ventus S1 Evo 3 K127 91Y,1146.23,https://www.magazineluiza.com.br/pneu-225-45-r18-hankook-ventus-s1-evo-3-k127-91y/p/djfhgkc97e/au/aupa/,2025-08-22 08:34:29,225/45R18,hankook,,1264.9,True,https://a-static.mlcdn.com.br/280x210/pneu-225-45-r18-hankook-ventus-s1-evo-3-k127-91y/gopneus/6400/5c8585e4f282009a5b2eb78643a670de.jpeg,magazineluiza,,True,9,0.0,Go Pneus,False,,,
Pneu Aro 18 Bridgestone 225/45 R18 Turanza T005 95y,869.88,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-turanza-t005-95y/p/ba788aaa39/au/aupa/,2025-08-22 08:34:32,225/45R18,bridgestone,,1081.67,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-bridgestone-225-45-r18-turanza-t005-95y/pneugreen/713/ceb34912f2010900d14e8a87b8c664a4.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu Aro 18 Michelin 225/45 r18 95Y Xl Primacy 4 MO,1159.48,https://www.magazineluiza.com.br/pneu-aro-18-michelin-225-45-r18-95y-xl-primacy-4-mo/p/ah9g9ahhfk/au/aupa/,2025-08-22 08:34:37,225/45R18,michelin,primacy 4,1355.25,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-michelin-225-45-r18-95y-xl-primacy-4-mo/pneugreen/2293/a3e0d88fdf485467ccbbc74e16f3f352.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Bridgestone 225/45 R18 91W Turanza T005,872.55,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-91w-turanza-t005/p/dfca1g6149/au/pine/,2025-08-22 08:34:40,225/45R18,bridgestone,,912.78,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-bridgestone-225-45-r18-91w-turanza-t005/pneugreen/710/9fda002e212417514b861a652034f7b5.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
"225/45 r18 95y xl tl pilot sport 4 zp * mi
R$ 2.504,90 em 10x de R$ 250,49 no Cartão Magalu
2504.90 em 10 vezes de R$ 250,49 no Cartão Magalu
ou R$ 2.504,90
no Pix",2504.9,https://www.magazineluiza.com.br/225-45-r18-95y-xl-tl-pilot-sport-4-zp-mi-michelin/p/akkg3f4dj4/au/pine/,2025-08-22 08:34:43,225/45R18,,,25049010250.49,True,https://a-static.mlcdn.com.br/280x210/225-45-r18-95y-xl-tl-pilot-sport-4-zp-mi-michelin/tecpneus/5402p/e4b0908373d362b015d9832cf1762abe.jpeg,magazineluiza,,True,0,0.0,Tec Pneus,False,,,
Pneu aro 18 225/45 r18 delmax ultimapro up1 95w,672.63,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-delmax-ultimapro-up1-95w-durable/p/jk777da9e5/au/aupa/,2025-08-22 08:34:46,225/45R18,,,67263974.74,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-225-45-r18-delmax-ultimapro-up1-95w-durable/burajirupneus/2079p/c1ba2200de5a7c3968b60f9238d7764f.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Laufenn 225/45 R18 95W S Fit As Lh01,753.83,https://www.magazineluiza.com.br/pneu-laufenn-225-45-r18-95w-s-fit-as-lh01/p/gf9589hece/au/aupa/,2025-08-22 08:34:48,225/45R18,,,793517113.36,True,https://a-static.mlcdn.com.br/280x210/pneu-laufenn-225-45-r18-95w-s-fit-as-lh01/autoloja/1702/a1d50408d288c9048550d35eb65c9b8a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu aro 18 225/45 r18 sunwide rs one xl 95w,642.79,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-sunwide-rs-one-xl-95w/p/gg2f869j1j/au/aupa/,2025-08-22 08:34:53,225/45R18,,,667.4,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-225-45-r18-sunwide-rs-one-xl-95w/burajirupneus/1869p/392efc53e70cf600ce9416d6140dd8df.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
