titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli Scorpion 225/55 R18 Aro 18 98H,893.43,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-225-55-r18-aro-18-98h/p/dc0hd3gkj8/au/aupa/,2025-09-02 09:57:20,225/55R18,pirelli,,,False,,magazineluiza,,True,0,0.0,Clube da Borracha,False,,,
Pneu Aro 18 225/55 R18 Pioneiro para Compass e Sportage,494.21,https://www.magazineluiza.com.br/pneu-aro-18-225-55-r18-pioneiro-para-compass-e-sportage/p/adcdd2f1bc/au/aupa/,2025-09-02 09:57:24,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Velo Tech 1,False,,,
Pneu 225/55R18 Aptany RU025 98V,452.2,https://www.magazineluiza.com.br/pneu-225-55r18-aptany-ru025-98v/p/jkef6359kh/au/aupa/,2025-09-02 09:57:27,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 225/55 R18 Pioneiro para Compass e Sportage,497.86,https://www.magazineluiza.com.br/pneu-225-55-r18-pioneiro-para-compass-e-sportage/p/fc4jd3j25e/au/aupa/,2025-09-02 09:57:30,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Velo Tech 1,False,,,
Pneu Aro 18 225/55 R18 108/105S Cf1100 Comforser,958.94,https://www.magazineluiza.com.br/pneu-aro-18-225-55-r18-108-105s-cf1100-comforser/p/jjk1e70g25/au/aupa/,2025-09-02 09:57:33,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Deck 55,False,,,
Pneu Continental 225/55 R18 98V Fr Conticrosscontact Lx2,854.91,https://www.magazineluiza.com.br/pneu-continental-225-55-r18-98v-fr-conticrosscontact-lx2/p/gj7589kjda/au/aupa/,2025-09-02 09:57:38,225/55R18,continental,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu 225/55 R18 Pioneiro para Equinox e Rav4,496.03,https://www.magazineluiza.com.br/pneu-225-55-r18-pioneiro-para-equinox-e-rav4/p/fjh9f4c7fj/au/aupa/,2025-09-02 09:57:41,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Velo Tech 1,False,,,
Pneu Pirelli Scorpion 225/55 R18 Aro 18 98V,1010.66,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-225-55-r18-aro-18-98v/p/cj8dk83agh/au/aupa/,2025-09-02 09:57:44,225/55R18,pirelli,,,False,,magazineluiza,,True,0,0.0,Siqueira Campos,False,,,
Pneu SUV 225/55 R18 Pioneiro para Sportage e Equinox,493.3,https://www.magazineluiza.com.br/pneu-suv-225-55-r18-pioneiro-para-sportage-e-equinox/p/hj4710fgh2/au/aupa/,2025-09-02 09:57:47,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Velo Tech 1,False,,,
Pneu SUV 225/55 R18 Pioneiro para Outlander e CR-V,495.12,https://www.magazineluiza.com.br/pneu-suv-225-55-r18-pioneiro-para-outlander-e-cr-v/p/kg972g3h5h/au/pine/,2025-09-02 09:57:50,225/55R18,,,,False,,magazineluiza,,True,0,0.0,Velo Tech 1,False,,,
