titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 17 225/60 r17 doublestar wildwolf at w01 99t,907.38,https://www.magazineluiza.com.br/pneu-aro-17-225-60-r17-doublestar-wildwolf-at-w01-99t-durable/p/jbj0j185kc/au/pine/,2025-08-24 06:12:15,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 17 W01 225/60R17 99T,675.1,https://www.magazineluiza.com.br/pneu-speedmax-aro-17-w01-225-60r17-99t/p/be9d5f60g0/au/pine/,2025-08-24 06:12:27,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Double Star Aro 17 225/60R17 WildWolf W01 99T,819.8,https://www.magazineluiza.com.br/pneu-double-star-aro-17-225-60r17-wildwolf-w01-99t/p/jg69bjhf87/au/aupa/,2025-08-24 06:12:37,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 XBRI 225/60 R17 99H Ecology,562.41,https://www.magazineluiza.com.br/pneu-aro-17-xbri-225-60-r17-99h-ecology/p/fe186g8b4d/au/pine/,2025-08-24 06:12:48,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 225/60 R17 99H Ds2,755.73,https://www.magazineluiza.com.br/pneu-delinte-aro-17-225-60-r17-99h-ds2/p/hge3685eeb/au/aupa/,2025-08-24 06:13:01,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 225/60 r17 dunlop grandtrek pt3 103h,1304.98,https://www.magazineluiza.com.br/pneu-aro-17-225-60-r17-dunlop-grandtrek-pt3-103h/p/gff1074gcg/au/aupa/,2025-08-24 06:13:13,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 225/60 R17 99H Optimo H436,1448.3,https://www.magazineluiza.com.br/pneu-hankook-225-60-r17-99h-optimo-h436/p/ee85022aj5/au/aupa/,2025-08-24 06:13:24,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli 225/60 R17 103H XL Scorpion Verde All Season,1367.22,https://www.magazineluiza.com.br/pneu-pirelli-225-60-r17-103h-xl-scorpion-verde-all-season/p/agjhf6bf85/au/pine/,2025-08-24 06:13:34,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 225/60 R17 DS2 99H,1083.67,https://www.magazineluiza.com.br/pneu-delinte-aro-17-225-60-r17-ds2-99h/p/bkhkjeejc7/au/aupa/,2025-08-24 06:13:47,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/60 R17 103H Xl Conticrosscontact Lx2,1349.95,https://www.magazineluiza.com.br/pneu-continental-225-60-r17-103h-xl-conticrosscontact-lx2/p/kdah7jb3fg/au/aupa/,2025-08-24 06:13:57,225/60R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
