titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-24 09:08:59,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli Aro 16C 225/65R16C SL-106 112/110R,912.01,https://www.magazineluiza.com.br/pneu-wanli-aro-16c-225-65r16c-sl-106-112-110r/p/he8fca24hc/au/pnoc/,2025-08-24 09:09:10,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-24 09:09:21,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16C 225/65 R16C DV2+ 8 Lonas 112/110T,1115.59,https://www.magazineluiza.com.br/pneu-delinte-aro-16c-225-65-r16c-dv2-8-lonas-112-110t/p/ehddf0jh15/au/pnoc/,2025-08-24 09:09:35,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,792.42,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-24 09:09:46,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-24 09:10:27,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli Aro 16C 225/65R16C SL-106 112/110R,912.01,https://www.magazineluiza.com.br/pneu-wanli-aro-16c-225-65r16c-sl-106-112-110r/p/he8fca24hc/au/pnoc/,2025-08-24 09:10:38,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-24 09:10:50,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16C 225/65 R16C DV2+ 8 Lonas 112/110T,1115.59,https://www.magazineluiza.com.br/pneu-delinte-aro-16c-225-65-r16c-dv2-8-lonas-112-110t/p/ehddf0jh15/au/pnoc/,2025-08-24 09:11:04,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,792.42,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-24 09:11:17,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-24 09:11:55,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli Aro 16C 225/65R16C SL-106 112/110R,912.01,https://www.magazineluiza.com.br/pneu-wanli-aro-16c-225-65r16c-sl-106-112-110r/p/he8fca24hc/au/pnoc/,2025-08-24 09:12:06,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-24 09:12:18,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16C 225/65 R16C DV2+ 8 Lonas 112/110T,1115.59,https://www.magazineluiza.com.br/pneu-delinte-aro-16c-225-65-r16c-dv2-8-lonas-112-110t/p/ehddf0jh15/au/pnoc/,2025-08-24 09:12:34,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,792.42,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-24 09:12:46,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
