titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1434.51,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-09-11 18:25:44,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1717.39,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-09-11 18:25:50,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1434.51,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-09-11 18:26:15,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1717.39,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-09-11 18:26:19,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1434.51,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-09-11 18:26:25,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1717.39,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-09-11 18:26:32,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1434.51,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-09-11 18:26:53,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1717.39,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-09-11 18:26:56,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1434.51,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-09-11 18:27:02,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1717.39,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-09-11 18:27:09,225/65R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
