titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aplus Aro 15 225/70R15 A609 100H,770.86,https://www.magazineluiza.com.br/pneu-aplus-aro-15-225-70r15-a609-100h/p/ca9jjhc0j4/au/pine/,2025-08-22 04:19:24,225/70R15,,,811438101.43,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-aro-15-225-70r15-a609-100h/webpneus/35693/6b2f8b86ae6fd441ac7913649afd46c5.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aplus 225/70r15 100h tl a609,515.08,https://www.magazineluiza.com.br/pneu-aplus-225-70r15-100h-tl-a609/p/gc6jbf91hh/au/pine/,2025-08-22 04:19:27,225/70R15,,,580.45,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-225-70r15-100h-tl-a609/t4shop/1010215084/0f51c9d5a5f63cc44c2203d96b881ef2.jpeg,magazineluiza,,True,0,0.0,T4 Shop,False,,,
Pneu 225/70 r 15 n-605 100h nankang,1064.0,https://www.magazineluiza.com.br/pneu-225-70-r-15-n-605-100h-nankang/p/hk459269bd/pf/pcpo/,2025-08-22 04:19:30,225/70R15,,,11565210115.65,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70-r-15-n-605-100h-nankang/sospneu/11962752742/1e6d1803aa842907f432cc59f841f8e4.jpeg,magazineluiza,,True,0,0.0,Sos Pneu,False,,,
Pneu 225/70r15 100h galaxy vitour radial gt l-b,1147.41,https://www.magazineluiza.com.br/pneu-225-70r15-100h-galaxy-vitour-radial-gt-l-b/p/gg06507k2d/au/pine/,2025-08-22 04:19:35,225/70R15,,,1266.68,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70r15-100h-galaxy-vitour-radial-gt-l-b/disemp/15-0775/a47c21fa57ecb1e53dc86ddad4a454b5.jpeg,magazineluiza,,True,0,0.0,Pneu Imports,False,,,
Pneu Aplus Aro 15 225/70R15 A609 100H,770.86,https://www.magazineluiza.com.br/pneu-aplus-aro-15-225-70r15-a609-100h/p/ca9jjhc0j4/au/pine/,2025-08-22 04:20:07,225/70R15,,,811438101.43,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-aro-15-225-70r15-a609-100h/webpneus/35693/6b2f8b86ae6fd441ac7913649afd46c5.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aplus 225/70r15 100h tl a609,515.08,https://www.magazineluiza.com.br/pneu-aplus-225-70r15-100h-tl-a609/p/gc6jbf91hh/au/pine/,2025-08-22 04:20:11,225/70R15,,,580.45,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-225-70r15-100h-tl-a609/t4shop/1010215084/0f51c9d5a5f63cc44c2203d96b881ef2.jpeg,magazineluiza,,True,0,0.0,T4 Shop,False,,,
Pneu 225/70 r 15 n-605 100h nankang,1064.0,https://www.magazineluiza.com.br/pneu-225-70-r-15-n-605-100h-nankang/p/hk459269bd/pf/pcpo/,2025-08-22 04:20:12,225/70R15,,,11565210115.65,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70-r-15-n-605-100h-nankang/sospneu/11962752742/1e6d1803aa842907f432cc59f841f8e4.jpeg,magazineluiza,,True,0,0.0,Sos Pneu,False,,,
Pneu 225/70r15 100h galaxy vitour radial gt l-b,1147.41,https://www.magazineluiza.com.br/pneu-225-70r15-100h-galaxy-vitour-radial-gt-l-b/p/gg06507k2d/au/pine/,2025-08-22 04:20:16,225/70R15,,,1266.68,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70r15-100h-galaxy-vitour-radial-gt-l-b/disemp/15-0775/a47c21fa57ecb1e53dc86ddad4a454b5.jpeg,magazineluiza,,True,0,0.0,Pneu Imports,False,,,
Pneu 225/70 r 15 n-605 100h nankang,1064.0,https://www.magazineluiza.com.br/pneu-225-70-r-15-n-605-100h-nankang/p/hk459269bd/pf/pcpo/?seller_id=sospneu,2025-08-22 04:20:28,225/70R15,,,1156.52,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70-r-15-n-605-100h-nankang/sospneu/11962752742/1e6d1803aa842907f432cc59f841f8e4.jpeg,magazineluiza,,True,0,0.0,Sos Pneu,False,,,
Pneu Aplus Aro 15 225/70R15 A609 100H,770.86,https://www.magazineluiza.com.br/pneu-aplus-aro-15-225-70r15-a609-100h/p/ca9jjhc0j4/au/pine/,2025-08-22 04:20:48,225/70R15,,,811438101.43,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-aro-15-225-70r15-a609-100h/webpneus/35693/6b2f8b86ae6fd441ac7913649afd46c5.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aplus 225/70r15 100h tl a609,515.08,https://www.magazineluiza.com.br/pneu-aplus-225-70r15-100h-tl-a609/p/gc6jbf91hh/au/pine/,2025-08-22 04:20:51,225/70R15,,,580.45,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-225-70r15-100h-tl-a609/t4shop/1010215084/0f51c9d5a5f63cc44c2203d96b881ef2.jpeg,magazineluiza,,True,0,0.0,T4 Shop,False,,,
Pneu 225/70 r 15 n-605 100h nankang,1064.0,https://www.magazineluiza.com.br/pneu-225-70-r-15-n-605-100h-nankang/p/hk459269bd/pf/pcpo/,2025-08-22 04:20:53,225/70R15,,,11565210115.65,True,https://a-static.mlcdn.com.br/280x210/pneu-225-70-r-15-n-605-100h-nankang/sospneu/11962752742/1e6d1803aa842907f432cc59f841f8e4.jpeg,magazineluiza,,True,0,0.0,Sos Pneu,False,,,
