titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/hbh70gbffe/au/pnoc/,2025-08-23 14:45:26,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/jgj34k451b/au/pnoc/,2025-08-23 14:45:36,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/cfb1g9c63a/au/pnoc/,2025-08-23 14:45:47,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/da5ek0bd61/au/pnoc/,2025-08-23 14:45:57,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/kfjjjd6b11/au/pnoc/,2025-08-23 14:46:10,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/hbh70gbffe/au/pnoc/,2025-08-23 14:47:00,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/jgj34k451b/au/pnoc/,2025-08-23 14:47:11,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/cfb1g9c63a/au/pnoc/,2025-08-23 14:47:23,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/da5ek0bd61/au/pnoc/,2025-08-23 14:47:34,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/kfjjjd6b11/au/pnoc/,2025-08-23 14:47:47,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/hbh70gbffe/au/pnoc/,2025-08-23 14:48:38,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/jgj34k451b/au/pnoc/,2025-08-23 14:48:49,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/cfb1g9c63a/au/pnoc/,2025-08-23 14:49:00,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/da5ek0bd61/au/pnoc/,2025-08-23 14:49:11,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 225/70R15C 112R R51,1148.07,https://www.magazineluiza.com.br/pneu-falken-225-70r15c-112r-r51/p/kfjjjd6b11/au/pnoc/,2025-08-23 14:49:24,225/70R15,falken,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
