titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 225/75R16 LT 10 Lonas 115/112S RL101 Aptany,616.06,https://www.magazineluiza.com.br/pneu-225-75r16-lt-10-lonas-115-112s-rl101-aptany/p/ke5547h2cg/au/pnoc/,2025-09-02 09:42:36,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Pneu Best,False,,,
Pneu 225/75R16LT Aptany RL101 H/T 115/112S - 10 Lonas,559.87,https://www.magazineluiza.com.br/pneu-225-75r16lt-aptany-rl101-h-t-115-112s-10-lonas/p/ec626b86g6/au/pnoc/,2025-09-02 09:42:40,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 225/75 R16 Argos Roadking 104T,749.8,https://www.magazineluiza.com.br/pneu-225-75-r16-argos-roadking-104t/p/ej48g3e1k2/au/pine/,2025-09-02 09:42:42,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Sena Pneus Baião,False,,,
Pneu Aro 16 Xbri 225/75 R16 10pr 115/112q Tl Brutus T/A,930.67,https://www.magazineluiza.com.br/pneu-aro-16-xbri-225-75-r16-10pr-115-112q-tl-brutus-t-a/p/ff7f2049g4/au/aupa/,2025-09-02 09:42:45,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 16 Chengshan 225/75 R16 108T CSC 302 All Terrain,665.78,https://www.magazineluiza.com.br/pneu-aro-16-chengshan-225-75-r16-108t-csc-302-all-terrain/p/heh815aj65/au/pine/,2025-09-02 09:42:47,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Goodyear 225/75 R16 115/112R LT Wrangler Workhorse AT,1284.58,https://www.magazineluiza.com.br/pneu-goodyear-225-75-r16-115-112r-lt-wrangler-workhorse-at/p/ddbh49a1jh/au/aupa/,2025-09-02 09:42:50,225/75R16,goodyear,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 16 Pirelli 225/75 R16 110S LT Scorpion ATR,1507.7,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-225-75-r16-110s-lt-scorpion-atr/p/feb6ed92j6/au/aupa/,2025-09-02 09:42:55,225/75R16,pirelli,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 16 BFGoodrich 225/75 R16 115/112Q Mud Terrain KM3,2262.51,https://www.magazineluiza.com.br/pneu-aro-16-bfgoodrich-225-75-r16-115-112q-mud-terrain-km3/p/afg72gcg8h/au/aupa/,2025-09-02 09:42:57,225/75R16,bfgoodrich,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Laufenn 225/75 R16 121R X Fit Van Lv01,808.67,https://www.magazineluiza.com.br/pneu-laufenn-225-75-r16-121r-x-fit-van-lv01/p/bag59891af/au/pnoc/,2025-09-02 09:43:00,225/75R16,,,,False,,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 16 General 225/75 R16 115-112Q FR Grabber X3,1564.73,https://www.magazineluiza.com.br/pneu-aro-16-general-225-75-r16-115-112q-fr-grabber-x3/p/adbcc0d34b/au/aupa/,2025-09-02 09:43:03,225/75R16,general,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
