titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Wanli Aro 18 225/40R18 SA-302 92W,654.54,https://www.magazineluiza.com.br/pneu-wanli-aro-18-225-40r18-sa-302-92w/p/djfb7fkja9/au/pine/,2025-08-24 08:56:15,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/40 R18 NEXEN N'Fera SU4 92W,976.95,https://www.magazineluiza.com.br/pneu-225-40-r18-nexen-n-fera-su4-92w/p/gj9jfa34ad/au/aupa/,2025-08-24 08:56:26,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 225/40 R18 92W XL Sport+ 2,555.64,https://www.magazineluiza.com.br/pneu-aro-18-xbri-225-40-r18-92w-xl-sport-2/p/cd0d9d376g/au/aupa/,2025-08-24 08:56:37,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 225/40 R18 92Y Th201,703.22,https://www.magazineluiza.com.br/pneu-triangle-225-40-r18-92y-th201/p/kbdk162djd/au/aupa/,2025-08-24 08:56:49,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 18 225/40 R18 92 XL W RA301,580.99,https://www.magazineluiza.com.br/pneu-aptany-aro-18-225-40-r18-92-xl-w-ra301/p/hc6f761af2/au/pine/,2025-08-24 08:56:59,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/40 R18 92Y XL FR SportContact 5 AO1,1277.0,https://www.magazineluiza.com.br/pneu-continental-225-40-r18-92y-xl-fr-sportcontact-5-ao1/p/gcb893b7k5/au/aupa/,2025-08-24 08:57:10,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/40 R18 DS7 Sport 92Y XL,878.32,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-40-r18-ds7-sport-92y-xl/p/fbb146kb58/au/pine/,2025-08-24 08:57:21,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 40 R18 F205 TL 92Y Minerva,807.79,https://www.magazineluiza.com.br/pneu-carro-225-40-r18-f205-tl-92y-minerva/p/gjk01f3cha/au/pine/,2025-08-24 08:57:32,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/40 R18 92W Powergy Xl,846.16,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-40-r18-92w-powergy-xl/p/gdc6cd32f3/au/aupa/,2025-08-24 08:57:43,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 225/40 R18 92W S Fit As Lh01,731.16,https://www.magazineluiza.com.br/pneu-laufenn-225-40-r18-92w-s-fit-as-lh01/p/fd083fc8db/au/aupa/,2025-08-24 08:57:54,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/40 R18 DH6 Run Flat 88W,1352.87,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-40-r18-dh6-run-flat-88w/p/fg2202fh4e/au/aupa/,2025-08-24 08:58:06,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/40 R18 92Y FR ContiSportContact 5 MO,1379.92,https://www.magazineluiza.com.br/pneu-continental-225-40-r18-92y-fr-contisportcontact-5-mo/p/gafa3jk76g/au/aupa/,2025-08-24 08:58:16,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/40 r18 massimo ottima plus 92y,604.0,https://www.magazineluiza.com.br/pneu-aro-18-225-40-r18-massimo-ottima-plus-92y-mazzini/p/gd0262kdh1/au/pine/,2025-08-24 08:58:28,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/40 R18 88Y FR ContiSportContact 5 SSR,1561.95,https://www.magazineluiza.com.br/pneu-continental-225-40-r18-88y-fr-contisportcontact-5-ssr/p/gcb4gg0810/au/pine/,2025-08-24 08:58:39,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sentury Aro 18 225/40 R18 Qirin 990 Run Flat 88W,1352.87,https://www.magazineluiza.com.br/pneu-sentury-aro-18-225-40-r18-qirin-990-run-flat-88w/p/dhc6d6bd72/au/aupa/,2025-08-24 08:58:50,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli Aro 18 225/40R18 SA-302 92W,654.54,https://www.magazineluiza.com.br/pneu-wanli-aro-18-225-40r18-sa-302-92w/p/djfb7fkja9/au/pine/,2025-08-24 08:59:30,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/40 R18 NEXEN N'Fera SU4 92W,976.95,https://www.magazineluiza.com.br/pneu-225-40-r18-nexen-n-fera-su4-92w/p/gj9jfa34ad/au/aupa/,2025-08-24 08:59:43,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 225/40 R18 92W XL Sport+ 2,555.64,https://www.magazineluiza.com.br/pneu-aro-18-xbri-225-40-r18-92w-xl-sport-2/p/cd0d9d376g/au/aupa/,2025-08-24 08:59:54,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 225/40 R18 92Y Th201,703.22,https://www.magazineluiza.com.br/pneu-triangle-225-40-r18-92y-th201/p/kbdk162djd/au/aupa/,2025-08-24 09:00:06,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 18 225/40 R18 92 XL W RA301,580.99,https://www.magazineluiza.com.br/pneu-aptany-aro-18-225-40-r18-92-xl-w-ra301/p/hc6f761af2/au/pine/,2025-08-24 09:00:17,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/40 R18 92Y XL FR SportContact 5 AO1,1277.0,https://www.magazineluiza.com.br/pneu-continental-225-40-r18-92y-xl-fr-sportcontact-5-ao1/p/gcb893b7k5/au/aupa/,2025-08-24 09:00:28,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/40 R18 DS7 Sport 92Y XL,878.32,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-40-r18-ds7-sport-92y-xl/p/fbb146kb58/au/pine/,2025-08-24 09:00:40,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 40 R18 F205 TL 92Y Minerva,807.79,https://www.magazineluiza.com.br/pneu-carro-225-40-r18-f205-tl-92y-minerva/p/gjk01f3cha/au/pine/,2025-08-24 09:00:52,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/40 R18 92W Powergy Xl,846.16,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-40-r18-92w-powergy-xl/p/gdc6cd32f3/au/aupa/,2025-08-24 09:01:03,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 225/40 R18 92W S Fit As Lh01,731.16,https://www.magazineluiza.com.br/pneu-laufenn-225-40-r18-92w-s-fit-as-lh01/p/fd083fc8db/au/aupa/,2025-08-24 09:01:15,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
