titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 225/40 R18 NEXEN N'Fera SU4 92W,1061.9,https://www.magazineluiza.com.br/pneu-225-40-r18-nexen-n-fera-su4-92w/p/gj9jfa34ad/au/aupa/,2025-08-29 08:37:21,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 225/40 R18 92Y Th201,703.22,https://www.magazineluiza.com.br/pneu-triangle-225-40-r18-92y-th201/p/kbdk162djd/au/aupa/,2025-08-29 08:37:33,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/40 R18 92W Powergy Xl,846.16,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-40-r18-92w-powergy-xl/p/gdc6cd32f3/au/aupa/,2025-08-29 08:37:43,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 18 225/40 R18 92 XL W RA301,580.99,https://www.magazineluiza.com.br/pneu-aptany-aro-18-225-40-r18-92-xl-w-ra301/p/hc6f761af2/au/pine/,2025-08-29 08:37:54,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 225/40 R18 92Y XL FR SportContact 5 AO1,1277.0,https://www.magazineluiza.com.br/pneu-continental-225-40-r18-92y-xl-fr-sportcontact-5-ao1/p/gcb893b7k5/au/aupa/,2025-08-29 08:38:06,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/40 R18 DS7 Sport 92Y XL,878.32,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-40-r18-ds7-sport-92y-xl/p/fbb146kb58/au/pine/,2025-08-29 08:38:16,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 40 R18 F205 TL 92Y Minerva,807.79,https://www.magazineluiza.com.br/pneu-carro-225-40-r18-f205-tl-92y-minerva/p/gjk01f3cha/au/pine/,2025-08-29 08:38:27,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 40 R18 RA301 TL 92W Aptany,642.83,https://www.magazineluiza.com.br/pneu-carro-225-40-r18-ra301-tl-92w-aptany/p/ke5188aa0k/au/pine/,2025-08-29 08:38:37,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 225/40 R18 92W S Fit As Lh01,731.16,https://www.magazineluiza.com.br/pneu-laufenn-225-40-r18-92w-s-fit-as-lh01/p/fd083fc8db/au/aupa/,2025-08-29 08:38:50,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/40 R18 DH6 Run Flat 88W,1352.87,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-40-r18-dh6-run-flat-88w/p/fg2202fh4e/au/aupa/,2025-08-29 08:39:00,225/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
