titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu sunny 225/45r17 94w na305,391.96,https://www.magazineluiza.com.br/pneu-sunny-225-45r17-94w-na305/p/bfd5006dh9/au/aupa/,2025-08-24 07:23:47,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Powergy 225/45 R17 Aro 17 91W,631.08,https://www.magazineluiza.com.br/pneu-pirelli-powergy-225-45-r17-aro-17-91w/p/jj075e585k/au/aupa/,2025-08-24 07:24:00,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R17 Aro 17 Alto Desempenho e Conforto,433.01,https://www.magazineluiza.com.br/pneu-225-45-r17-aro-17-alto-desempenho-e-conforto-virtual-emporium/p/cake8gab08/au/aupa/,2025-08-24 07:24:10,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R17 Aro 17 BMW Audi Civic GTI,420.2,https://www.magazineluiza.com.br/pneu-225-45-r17-aro-17-bmw-audi-civic-gti-long-way/p/hj555hj12c/au/pine/,2025-08-24 07:24:21,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R17 Aro 17 Alto Desempenho e Segurança,433.01,https://www.magazineluiza.com.br/pneu-225-45-r17-aro-17-alto-desempenho-e-seguranca-virtual-emporium/p/cjdfh00hbg/au/aupa/,2025-08-24 07:24:31,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 225/45 r17 westlake sa57 94w,602.19,https://www.magazineluiza.com.br/pneu-aro-17-225-45-r17-westlake-sa57-94w/p/jj7j82e43h/au/aupa/,2025-08-24 07:24:42,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R17 Golf Civic A4 Jetta Classe,420.56,https://www.magazineluiza.com.br/pneu-225-45-r17-golf-civic-a4-jetta-classe-long-way/p/db6f97k383/au/pine/,2025-08-24 07:24:53,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 45 R17 94w Spfm800 Dunlop Golf Jetta Vectra Impreza C4 Lancer Leon 417034,583.97,https://www.magazineluiza.com.br/pneu-225-45-r17-94w-spfm800-dunlop-golf-jetta-vectra-impreza-c4-lancer-leon-417034/p/ke39644626/au/pine/,2025-08-24 07:25:04,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Kelly 225/45 R17 91W Edge Sport 2 SL By Goodyear,570.21,https://www.magazineluiza.com.br/pneu-aro-17-kelly-225-45-r17-91w-edge-sport-2-sl-by-goodyear/p/dafg5f0b23/au/aupa/,2025-08-24 07:25:14,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Westlake 225/45 R17 94W SA57,527.78,https://www.magazineluiza.com.br/pneu-aro-17-westlake-225-45-r17-94w-sa57/p/hb322f8jgb/au/aupa/,2025-08-24 07:25:26,225/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
