titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli Aro18 Scorpion 225/60R18 104H XL,1320.15,https://www.magazineluiza.com.br/pneu-pirelli-aro18-scorpion-225-60r18-104h-xl/p/aj15g3h7hk/au/aupa/,2025-08-24 02:54:40,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 60 R18 Scorpion HT XL 104H Pirelli,2296.43,https://www.magazineluiza.com.br/pneu-carro-225-60-r18-scorpion-ht-xl-104h-pirelli/p/ej49ec26f8/au/aupa/,2025-08-24 02:54:52,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 XL 104H Scorpion HT,1833.22,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-xl-104h-scorpion-ht/p/gcjc9eh100/au/aupa/,2025-08-24 02:55:03,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 104H XL Scorpion HT,1496.59,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-104h-xl-scorpion-ht/p/ah0h3bdjbf/au/aupa/,2025-08-24 02:55:13,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro18 Scorpion 225/60R18 104H XL,1320.15,https://www.magazineluiza.com.br/pneu-pirelli-aro18-scorpion-225-60r18-104h-xl/p/aj15g3h7hk/au/aupa/,2025-08-24 02:55:50,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 60 R18 Scorpion HT XL 104H Pirelli,2296.43,https://www.magazineluiza.com.br/pneu-carro-225-60-r18-scorpion-ht-xl-104h-pirelli/p/ej49ec26f8/au/aupa/,2025-08-24 02:56:02,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 XL 104H Scorpion HT,1833.22,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-xl-104h-scorpion-ht/p/gcjc9eh100/au/aupa/,2025-08-24 02:56:14,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 104H XL Scorpion HT,1496.59,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-104h-xl-scorpion-ht/p/ah0h3bdjbf/au/aupa/,2025-08-24 02:56:25,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro18 Scorpion 225/60R18 104H XL,1320.15,https://www.magazineluiza.com.br/pneu-pirelli-aro18-scorpion-225-60r18-104h-xl/p/aj15g3h7hk/au/aupa/,2025-08-24 02:57:00,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 60 R18 Scorpion HT XL 104H Pirelli,2296.43,https://www.magazineluiza.com.br/pneu-carro-225-60-r18-scorpion-ht-xl-104h-pirelli/p/ej49ec26f8/au/aupa/,2025-08-24 02:57:13,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 XL 104H Scorpion HT,1833.22,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-xl-104h-scorpion-ht/p/gcjc9eh100/au/aupa/,2025-08-24 02:57:24,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 225/60 R18 104H XL Scorpion HT,1496.59,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-225-60-r18-104h-xl-scorpion-ht/p/ah0h3bdjbf/au/aupa/,2025-08-24 02:57:36,225/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
