titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-08-30 04:00:05,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-08-30 04:00:16,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-30 04:00:28,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,867.68,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-08-30 04:00:38,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,906.06,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-08-30 04:00:49,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-30 04:01:01,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Farroad Aro 16 225/65R16C 112/110T FRD96,825.37,https://www.magazineluiza.com.br/pneu-farroad-aro-16-225-65r16c-112-110t-frd96/p/cdc3b1hj62/au/otau/,2025-08-30 04:01:15,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,771.23,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-30 04:01:29,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-08-30 04:02:12,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-08-30 04:02:23,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-30 04:02:34,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,867.68,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-08-30 04:02:45,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,906.06,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-08-30 04:02:56,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-30 04:03:07,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Farroad Aro 16 225/65R16C 112/110T FRD96,825.37,https://www.magazineluiza.com.br/pneu-farroad-aro-16-225-65r16c-112-110t-frd96/p/cdc3b1hj62/au/otau/,2025-08-30 04:03:23,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,771.23,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-30 04:03:36,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,553.81,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t/p/gc91keekk1/au/aupa/,2025-08-30 04:04:20,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/65r16c 112/110t speedmax prime frd96,653.6,https://www.magazineluiza.com.br/pneu-225-65r16c-112-110t-speedmax-prime-frd96/p/hf7a4gcbk7/au/aupa/,2025-08-30 04:04:31,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 16 225/65 R16 D/8PR 112/110R SC328,725.04,https://www.magazineluiza.com.br/pneu-westlake-aro-16-225-65-r16-d-8pr-112-110r-sc328/p/chdee24kec/au/pine/,2025-08-30 04:04:43,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,867.68,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/hjfekfc8db/au/pine/,2025-08-30 04:04:54,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 16C 225/65R16C FRD96 112/110T,906.06,https://www.magazineluiza.com.br/pneu-speedmax-aro-16c-225-65r16c-frd96-112-110t/p/db48db9c20/au/pine/,2025-08-30 04:05:04,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16 continental vancontact ap 112/110r 8 lonas valor unitario,1634.02,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16-continental-vancontact-ap-112-110r-8-lonas-valor-unitario/p/bkcf2k3dab/au/pine/,2025-08-30 04:05:15,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Farroad Aro 16 225/65R16C 112/110T FRD96,825.37,https://www.magazineluiza.com.br/pneu-farroad-aro-16-225-65r16c-112-110t-frd96/p/cdc3b1hj62/au/otau/,2025-08-30 04:05:30,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 225/65 r16c chengshan csr71 112/110r 8 lonas valor unitario,771.23,https://www.magazineluiza.com.br/pneu-aro-16-225-65-r16c-chengshan-csr71-112-110r-8-lonas-valor-unitario/p/cb697ac1c1/au/pine/,2025-08-30 04:05:44,225/65R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
