titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/kcbb3c9h26/au/pine/,2025-08-30 01:38:56,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ef82ke20k8/au/pine/,2025-08-30 01:39:07,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1623.34,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-08-30 01:39:19,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/eb5k36b2j3/au/pine/,2025-08-30 01:39:30,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-08-30 01:39:40,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/kcbb3c9h26/au/pine/,2025-08-30 01:40:15,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ef82ke20k8/au/pine/,2025-08-30 01:40:25,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1623.34,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-08-30 01:40:37,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/eb5k36b2j3/au/pine/,2025-08-30 01:40:48,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-08-30 01:40:59,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/kcbb3c9h26/au/pine/,2025-08-30 01:41:37,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ef82ke20k8/au/pine/,2025-08-30 01:41:48,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Caminhonete 225 65 R17 Scorpion ATR Seal Inside XL TL 106H Pirelli,1623.34,https://www.magazineluiza.com.br/pneu-caminhonete-225-65-r17-scorpion-atr-seal-inside-xl-tl-106h-pirelli/p/cd3a1j4dej/au/pine/,2025-08-30 01:42:00,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/eb5k36b2j3/au/pine/,2025-08-30 01:42:11,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli Scorpion ATR 225/65 R17 106H XL,1559.25,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-atr-225-65-r17-106h-xl/p/ckgcf3ekk4/au/pine/,2025-08-30 01:42:22,225/65R17,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
