titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 225/75R16 LT 10 Lonas 115/112S RL101 Aptany,596.6,https://www.magazineluiza.com.br/pneu-225-75r16-lt-10-lonas-115-112s-rl101-aptany/p/ke5547h2cg/au/pnoc/,2025-08-22 05:15:02,225/75R16,,,683.97,True,https://a-static.mlcdn.com.br/280x210/pneu-225-75r16-lt-10-lonas-115-112s-rl101-aptany/pneubest3/22575r16l1sapi/f98e323947696ab1858ea604541bed7c.jpeg,magazineluiza,,True,3,0.0,Pneu Best,False,,,
Pneu 225/75 R16 Argos Roadking 104T,749.8,https://www.magazineluiza.com.br/pneu-225-75-r16-argos-roadking-104t/p/ej48g3e1k2/au/pine/,2025-08-22 05:15:06,225/75R16,,,815001081.5,True,https://a-static.mlcdn.com.br/280x210/pneu-225-75-r16-argos-roadking-104t/senapneusbaiao/009/917da8c79b7be8c9298b449af1fa1059.jpeg,magazineluiza,,True,0,0.0,Sena Pneus Baião,False,,,
Pneu 225/75R16LT Aptany RL101 H/T 115/112S - 10 Lonas,592.7,https://www.magazineluiza.com.br/pneu-225-75r16lt-aptany-rl101-h-t-115-112s-10-lonas/p/ec626b86g6/au/pnoc/,2025-08-22 05:15:09,225/75R16,,,65855973.17,True,https://a-static.mlcdn.com.br/280x210/pneu-225-75r16lt-aptany-rl101-h-t-115-112s-10-lonas/pneustyres/2065227/e7fc0a26f266f9fdb4055ac1043924f1.jpeg,magazineluiza,,True,3,0.0,Pneustyres,False,,,
Pneu Aro 16 Xbri 225/75 R16 10pr 115/112q Tl Brutus T/A,889.17,https://www.magazineluiza.com.br/pneu-aro-16-xbri-225-75-r16-10pr-115-112q-tl-brutus-t-a/p/ff7f2049g4/au/aupa/,2025-08-22 05:15:12,225/75R16,,,899.29,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-xbri-225-75-r16-10pr-115-112q-tl-brutus-t-a/pneugreen/696/17a39874778255f9c045f4dc87803bc5.jpeg,magazineluiza,,True,6,8.0,Pneugreen,False,,,
Pneu Aro 16 BFGoodrich 225/75 R16 115/112Q Mud Terrain KM3,2600.59,https://www.magazineluiza.com.br/pneu-aro-16-bfgoodrich-225-75-r16-115-112q-mud-terrain-km3/p/afg72gcg8h/au/aupa/,2025-08-22 05:15:16,225/75R16,bfgoodrich,,26005910260.06,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-bfgoodrich-225-75-r16-115-112q-mud-terrain-km3/pneugreen/629/cbd476e3f81e31b92f1fd484786e2cb2.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 16 Chengshan 225/75 R16 108T CSC 302 All Terrain,648.04,https://www.magazineluiza.com.br/pneu-aro-16-chengshan-225-75-r16-108t-csc-302-all-terrain/p/heh815aj65/au/pine/,2025-08-22 05:15:18,225/75R16,,,658.85,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-chengshan-225-75-r16-108t-csc-302-all-terrain/pneugreen/2030/6017a8d149072673bd9ce2d0573b8a78.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Goodyear 225/75 R16 115/112R LT Wrangler Workhorse AT,1284.58,https://www.magazineluiza.com.br/pneu-goodyear-225-75-r16-115-112r-lt-wrangler-workhorse-at/p/ddbh49a1jh/au/aupa/,2025-08-22 05:15:21,225/75R16,goodyear,wrangler,1328.88,True,https://a-static.mlcdn.com.br/280x210/pneu-goodyear-225-75-r16-115-112r-lt-wrangler-workhorse-at/pneugreen/1832/11124f46eb6d32853997cb6d11111cf6.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Caminhonete 225 75 R16 Scorpion ATR LT TL 110S Pirelli,1957.61,https://www.magazineluiza.com.br/pneu-caminhonete-225-75-r16-scorpion-atr-lt-tl-110s-pirelli/p/bcdba2ddk0/au/aupa/,2025-08-22 05:15:24,225/75R16,pirelli,,2156.79,True,https://a-static.mlcdn.com.br/280x210/pneu-caminhonete-225-75-r16-scorpion-atr-lt-tl-110s-pirelli/podiumpneu/kp5897/eedcd6b78fad793e0b22ad4d4de5bcce.jpeg,magazineluiza,,True,0,0.0,Podium Pneu,False,,,
Pneu Aro 16 Pirelli 225/75 R16 110S LT Scorpion ATR,1507.7,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-225-75-r16-110s-lt-scorpion-atr/p/feb6ed92j6/au/aupa/,2025-08-22 05:15:28,225/75R16,pirelli,,15077010150.77,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-pirelli-225-75-r16-110s-lt-scorpion-atr/pneugreen/2094/333282ff91dd2860542d3885210a6594.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Laufenn 225/75 R16 121R X Fit Van Lv01,919.11,https://www.magazineluiza.com.br/pneu-laufenn-225-75-r16-121r-x-fit-van-lv01/p/bag59891af/au/pnoc/,2025-08-22 05:15:30,225/75R16,,,999039111.0,True,https://a-static.mlcdn.com.br/280x210/pneu-laufenn-225-75-r16-121r-x-fit-van-lv01/autoloja/1440/4ad7c492640c7400e6cd4d5649d83c68.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
