titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-24 05:33:03,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-24 05:33:14,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-24 05:33:25,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-24 05:33:46,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-24 05:34:26,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-24 05:34:38,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-24 05:34:50,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-24 05:35:13,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-24 05:35:51,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-24 05:36:03,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-24 05:36:14,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-24 05:36:38,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
