titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 235/55R17 103W Ultima Plus Delmax,560.79,https://www.magazineluiza.com.br/pneu-235-55r17-103w-ultima-plus-delmax/p/fa0k5ff38c/au/pine/,2025-08-22 08:42:12,235/55R17,,,614.76,True,https://a-static.mlcdn.com.br/280x210/pneu-235-55r17-103w-ultima-plus-delmax/pneubest3/23555r17lup1wdi/41e1e15c91166e73f080f16e4ac6623e.jpeg,magazineluiza,,True,1,0.0,Pneu Best,False,,,
Pneu Delmax Aro 17 235/55R17 Ultima Plus 103W XL,849.89,https://www.magazineluiza.com.br/pneu-delmax-aro-17-235-55r17-ultima-plus-103w-xl/p/gae6a9e49g/au/pine/,2025-08-22 08:42:16,235/55R17,,,894621089.46,True,https://a-static.mlcdn.com.br/280x210/pneu-delmax-aro-17-235-55r17-ultima-plus-103w-xl/lemanspneusstore/2355517dm/7b030a6bf05e0508952d987a23f8ec60.jpeg,magazineluiza,,True,1,0.0,Lemans Pneus Store,False,,,
Pneu Aro 17 Chengshan 235/55 R17 99H CSC-303,538.52,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-235-55-r17-99h-csc-303/p/fh6bab5h98/au/aupa/,2025-08-22 08:42:19,235/55R17,,,612.34,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-chengshan-235-55-r17-99h-csc-303/pneugreen/1439/7cb709f20cdfe744abe2a4d90895923f.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 17 Xbri 235/55 R17 TL 103W Sport + 2,648.3,https://www.magazineluiza.com.br/pneu-aro-17-xbri-235-55-r17-tl-103w-sport-2/p/kgkje57426/au/aupa/,2025-08-22 08:42:22,235/55R17,,,817.53,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-xbri-235-55-r17-tl-103w-sport-2/pneugreen/2406/ff2c08cb7b0520e78c247f634a75016e.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 17 Michelin 235/55 R17 103Y XL Primacy 4+,1426.06,https://www.magazineluiza.com.br/pneu-aro-17-michelin-235-55-r17-103y-xl-primacy-4/p/fjb74bf662/au/aupa/,2025-08-22 08:42:27,235/55R17,michelin,primacy 4,14260610142.61,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-michelin-235-55-r17-103y-xl-primacy-4/pneugreen/610/ec7bd6769c0440b3c868a63bb4aced39.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu aro 17 235/55 r17 chengshan csc303 99h,778.15,https://www.magazineluiza.com.br/pneu-aro-17-235-55-r17-chengshan-csc303-99h/p/hj08f6c239/au/aupa/,2025-08-22 08:42:29,235/55R17,,,811.73,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-235-55-r17-chengshan-csc303-99h/burajirupneus/691p/f1e2c7a6b79ce678c566ca17fcd18f42.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 17 Continental 235/55 R17 99V ContiPremiumContact 5,1235.7,https://www.magazineluiza.com.br/pneu-aro-17-continental-235-55-r17-99v-contipremiumcontact-5/p/hkbe8ag2f6/au/aupa/,2025-08-22 08:42:32,235/55R17,continental,,1420.34,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-continental-235-55-r17-99v-contipremiumcontact-5/pneugreen/1058/73041320dcc5c03c39b9595a60a4fc01.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu Delinte Aro 17 235/55 R17 DS2 103W XL,1067.71,https://www.magazineluiza.com.br/pneu-delinte-aro-17-235-55-r17-ds2-103w-xl/p/hk23cg4a7g/au/pine/,2025-08-22 08:42:35,235/55R17,,,1144.07,True,https://a-static.mlcdn.com.br/280x210/pneu-delinte-aro-17-235-55-r17-ds2-103w-xl/webpneus/d2879/a295acd6960d05ecdb35f965cef6bc61.jpeg,magazineluiza,,True,13,5.0,Web Pneus,False,,,
Pneu Carro 235 55 R17 Sport plus 2 XL TL 103W Xbri,763.31,https://www.magazineluiza.com.br/pneu-carro-235-55-r17-sport-plus-2-xl-tl-103w-xbri/p/fjhdjd4h7b/au/aupa/,2025-08-22 08:42:39,235/55R17,,,803481080.35,True,https://a-static.mlcdn.com.br/280x210/pneu-carro-235-55-r17-sport-plus-2-xl-tl-103w-xbri/podiumpneu/kp2573/76fc9b15abf2be0286b8393730335b25.jpeg,magazineluiza,,True,0,0.0,Podium Pneu,False,,,
Pneu Laufenn 235/55 R17 99W S Fit As Lh01,814.27,https://www.magazineluiza.com.br/pneu-laufenn-235-55-r17-99w-s-fit-as-lh01/p/fe59a2hf9h/au/aupa/,2025-08-22 08:42:41,235/55R17,,,857138107.14,True,https://a-static.mlcdn.com.br/280x210/pneu-laufenn-235-55-r17-99w-s-fit-as-lh01/autoloja/1442/b1558145adc807ae76f4af2639ee0456.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
