titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 18 Goodyear 235/55 R18 104V XL Efficientgrip Suv,1438.18,https://www.magazineluiza.com.br/pneu-aro-18-goodyear-235-55-r18-104v-xl-efficientgrip-suv/p/bbfde2847a/au/pine/,2025-09-11 11:17:34,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1396.16,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl/p/hhb24jbeb4/au/aupa/,2025-09-11 11:17:38,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 235 55R18 Efficientgrip Suv Goodyear 104V XL,1379.9,https://www.magazineluiza.com.br/pneu-235-55r18-efficientgrip-suv-goodyear-104v-xl/p/cf49k94e20/au/aupa/,2025-09-11 11:17:41,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 18 Goodyear 235/55 R18 104V XL Efficientgrip Suv,1438.18,https://www.magazineluiza.com.br/pneu-aro-18-goodyear-235-55-r18-104v-xl-efficientgrip-suv/p/bbfde2847a/au/pine/,2025-09-11 11:18:05,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1396.16,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl/p/hhb24jbeb4/au/aupa/,2025-09-11 11:18:09,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 235 55R18 Efficientgrip Suv Goodyear 104V XL,1379.9,https://www.magazineluiza.com.br/pneu-235-55r18-efficientgrip-suv-goodyear-104v-xl/p/cf49k94e20/au/aupa/,2025-09-11 11:18:11,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1396.16,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl/p/hhb24jbeb4/au/aupa/,2025-09-11 11:18:17,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 235 55R18 Efficientgrip Suv Goodyear 104V XL,1379.9,https://www.magazineluiza.com.br/pneu-235-55r18-efficientgrip-suv-goodyear-104v-xl/p/cf49k94e20/au/aupa/,2025-09-11 11:18:22,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 18 Goodyear 235/55 R18 104V XL Efficientgrip Suv,1438.18,https://www.magazineluiza.com.br/pneu-aro-18-goodyear-235-55-r18-104v-xl-efficientgrip-suv/p/bbfde2847a/au/pine/,2025-09-11 11:18:40,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1396.16,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl/p/hhb24jbeb4/au/aupa/,2025-09-11 11:18:43,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 235 55R18 Efficientgrip Suv Goodyear 104V XL,1379.9,https://www.magazineluiza.com.br/pneu-235-55r18-efficientgrip-suv-goodyear-104v-xl/p/cf49k94e20/au/aupa/,2025-09-11 11:18:45,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1396.16,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl/p/hhb24jbeb4/au/aupa/,2025-09-11 11:18:53,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 235 55R18 Efficientgrip Suv Goodyear 104V XL,1379.9,https://www.magazineluiza.com.br/pneu-235-55r18-efficientgrip-suv-goodyear-104v-xl/p/cf49k94e20/au/aupa/,2025-09-11 11:18:58,235/55R18,goodyear,efficientgrip suv,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
