titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 235/60R16 Goodyear Kelly Edge SUV 2 100H Aro 16,829.0,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-kelly-edge-suv-2-100h-aro-16/p/ecja82999f/au/aupa/,2025-08-23 17:48:46,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kelly by Goodyear Aro 16 Edge SUV 2 235/60R16 100H,816.55,https://www.magazineluiza.com.br/pneu-kelly-by-goodyear-aro-16-edge-suv-2-235-60r16-100h/p/kk9a32a927/au/aupa/,2025-08-23 17:48:58,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R16 Goodyear Wrangler Fortitude HT 100H Aro 16,950.04,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-wrangler-fortitude-ht-100h-aro-16/p/efe8g80c78/au/pine/,2025-08-23 17:49:13,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 235/60R16 Goodyear 100H Wrangler Fortitude HT",902.49,https://www.magazineluiza.com.br/pneu-aro-16-235-60r16-goodyear-100h-wrangler-fortitude-ht/p/240114500/au/pine/,2025-08-23 17:49:23,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Fortitude HT 235/60R16 100H,846.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-fortitude-ht-235-60r16-100h/p/ef3698k638/au/pine/,2025-08-23 17:49:34,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R16 Goodyear Kelly Edge SUV 2 100H Aro 16,829.0,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-kelly-edge-suv-2-100h-aro-16/p/ecja82999f/au/aupa/,2025-08-23 17:50:21,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kelly by Goodyear Aro 16 Edge SUV 2 235/60R16 100H,816.55,https://www.magazineluiza.com.br/pneu-kelly-by-goodyear-aro-16-edge-suv-2-235-60r16-100h/p/kk9a32a927/au/aupa/,2025-08-23 17:50:34,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R16 Goodyear Wrangler Fortitude HT 100H Aro 16,950.04,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-wrangler-fortitude-ht-100h-aro-16/p/efe8g80c78/au/pine/,2025-08-23 17:50:48,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 235/60R16 Goodyear 100H Wrangler Fortitude HT",902.49,https://www.magazineluiza.com.br/pneu-aro-16-235-60r16-goodyear-100h-wrangler-fortitude-ht/p/240114500/au/pine/,2025-08-23 17:50:59,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Fortitude HT 235/60R16 100H,846.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-fortitude-ht-235-60r16-100h/p/ef3698k638/au/pine/,2025-08-23 17:51:11,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R16 Goodyear Kelly Edge SUV 2 100H Aro 16,829.0,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-kelly-edge-suv-2-100h-aro-16/p/ecja82999f/au/aupa/,2025-08-23 17:51:59,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kelly by Goodyear Aro 16 Edge SUV 2 235/60R16 100H,816.55,https://www.magazineluiza.com.br/pneu-kelly-by-goodyear-aro-16-edge-suv-2-235-60r16-100h/p/kk9a32a927/au/aupa/,2025-08-23 17:52:12,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R16 Goodyear Wrangler Fortitude HT 100H Aro 16,950.04,https://www.magazineluiza.com.br/pneu-235-60r16-goodyear-wrangler-fortitude-ht-100h-aro-16/p/efe8g80c78/au/pine/,2025-08-23 17:52:27,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 235/60R16 Goodyear 100H Wrangler Fortitude HT",902.49,https://www.magazineluiza.com.br/pneu-aro-16-235-60r16-goodyear-100h-wrangler-fortitude-ht/p/240114500/au/pine/,2025-08-23 17:52:38,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Fortitude HT 235/60R16 100H,846.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-fortitude-ht-235-60r16-100h/p/ef3698k638/au/pine/,2025-08-23 17:52:50,235/60R16,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
