titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 18 Wrangler Fortitude HT 235/60R18 103V,1193.39,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-fortitude-ht-235-60r18-103v/p/ea39d56641/au/aupa/,2025-08-29 17:49:08,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/60 R18 107H XL Wrangler Territory HT,1227.26,https://www.magazineluiza.com.br/pneu-goodyear-235-60-r18-107h-xl-wrangler-territory-ht/p/kckfkdb1e2/au/pine/,2025-08-29 17:49:19,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R18 Goodyear Wrangler Territory HT 107H Aro 18,1280.05,https://www.magazineluiza.com.br/pneu-235-60r18-goodyear-wrangler-territory-ht-107h-aro-18/p/jjf4b04e56/au/pine/,2025-08-29 17:49:34,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Territory HT 235/60R18 107H XL,1129.23,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-territory-ht-235-60r18-107h-xl/p/gbgg106963/au/aupa/,2025-08-29 17:49:44,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Fortitude HT 235/60R18 103V,1193.39,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-fortitude-ht-235-60r18-103v/p/ea39d56641/au/aupa/,2025-08-29 17:50:35,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/60 R18 107H XL Wrangler Territory HT,1227.26,https://www.magazineluiza.com.br/pneu-goodyear-235-60-r18-107h-xl-wrangler-territory-ht/p/kckfkdb1e2/au/pine/,2025-08-29 17:50:45,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R18 Goodyear Wrangler Territory HT 107H Aro 18,1280.05,https://www.magazineluiza.com.br/pneu-235-60r18-goodyear-wrangler-territory-ht-107h-aro-18/p/jjf4b04e56/au/pine/,2025-08-29 17:51:00,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Territory HT 235/60R18 107H XL,1129.23,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-territory-ht-235-60r18-107h-xl/p/gbgg106963/au/aupa/,2025-08-29 17:51:10,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Fortitude HT 235/60R18 103V,1193.39,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-fortitude-ht-235-60r18-103v/p/ea39d56641/au/aupa/,2025-08-29 17:52:02,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/60 R18 107H XL Wrangler Territory HT,1227.26,https://www.magazineluiza.com.br/pneu-goodyear-235-60-r18-107h-xl-wrangler-territory-ht/p/kckfkdb1e2/au/pine/,2025-08-29 17:52:13,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/60R18 Goodyear Wrangler Territory HT 107H Aro 18,1280.05,https://www.magazineluiza.com.br/pneu-235-60r18-goodyear-wrangler-territory-ht-107h-aro-18/p/jjf4b04e56/au/pine/,2025-08-29 17:52:27,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Territory HT 235/60R18 107H XL,1129.23,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-territory-ht-235-60r18-107h-xl/p/gbgg106963/au/aupa/,2025-08-29 17:52:38,235/60R18,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
