titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu hifly 235/75r15 109s vigorous at601,570.51,https://www.magazineluiza.com.br/pneu-hifly-235-75r15-109s-vigorous-at601/p/jaa0kjb895/au/pine/,2025-08-23 20:21:06,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 235/75 r15 hifly vigorous ht601 xl 109h,848.78,https://www.magazineluiza.com.br/pneu-aro-15-235-75-r15-hifly-vigorous-ht601-xl-109h/p/ebg477h90d/au/aupa/,2025-08-23 20:21:18,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/75 R15 Aro 15 ATR Alta Tração e Durabilidade,740.91,https://www.magazineluiza.com.br/pneu-235-75-r15-aro-15-atr-alta-tracao-e-durabilidade-virtual-emporium/p/jgjh5ah2hf/au/aupa/,2025-08-23 20:21:29,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Sunset 235/75 R15 109T All-Terrain Extra Load,618.87,https://www.magazineluiza.com.br/pneu-aro-15-sunset-235-75-r15-109t-all-terrain-extra-load/p/ke0d4h01ac/au/aupa/,2025-08-23 20:21:39,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Barum 235/75 R15 109t Xl Fr Bravuris At,747.68,https://www.magazineluiza.com.br/pneu-aro-15-barum-235-75-r15-109t-xl-fr-bravuris-at/p/khchke20g1/au/aupa/,2025-08-23 20:21:49,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu hifly lt235/75r15 104/101r vigorous at601,708.28,https://www.magazineluiza.com.br/pneu-hifly-lt235-75r15-104-101r-vigorous-at601/p/ee83244j59/au/pine/,2025-08-23 20:22:00,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 15 235/75 R15 105T SU318,737.42,https://www.magazineluiza.com.br/pneu-westlake-aro-15-235-75-r15-105t-su318/p/ahf0fae015/au/aupa/,2025-08-23 20:22:12,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/75 r 15 ru101 109t aptany,818.39,https://www.magazineluiza.com.br/pneu-235-75-r-15-ru101-109t-aptany/p/ckf8246k58/au/aupa/,2025-08-23 20:22:22,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 235/75 R15 105H Forza H/T 2,722.28,https://www.magazineluiza.com.br/pneu-aro-15-xbri-235-75-r15-105h-forza-h-t-2/p/kkg1h895h5/au/pine/,2025-08-23 20:22:33,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Sunset 235/75 R15 109H Venttura HT B1 XL,605.02,https://www.magazineluiza.com.br/pneu-aro-15-sunset-235-75-r15-109h-venttura-ht-b1-xl/p/ef12be3efa/au/pine/,2025-08-23 20:22:43,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
