titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-30 04:27:02,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-30 04:27:13,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-30 04:27:24,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 19 235/40 R19 DH2 98Y XL,1210.29,https://www.magazineluiza.com.br/pneu-delinte-aro-19-235-40-r19-dh2-98y-xl/p/jcgk3c32b4/au/aupa/,2025-08-30 04:27:40,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-30 04:27:58,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-30 04:28:33,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-30 04:28:46,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-30 04:28:56,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 19 235/40 R19 DH2 98Y XL,1210.29,https://www.magazineluiza.com.br/pneu-delinte-aro-19-235-40-r19-dh2-98y-xl/p/jcgk3c32b4/au/aupa/,2025-08-30 04:29:13,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-30 04:29:31,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1089.07,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/fj5638ef4j/au/aupa/,2025-08-30 04:30:08,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1202.04,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/ckge8211eg/au/aupa/,2025-08-30 04:30:19,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SpeedMax Aro 19 235/40R19 96W HU901,1099.64,https://www.magazineluiza.com.br/pneu-speedmax-aro-19-235-40r19-96w-hu901/p/cccj8j1eac/au/aupa/,2025-08-30 04:30:31,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 19 235/40 R19 DH2 98Y XL,1210.29,https://www.magazineluiza.com.br/pneu-delinte-aro-19-235-40-r19-dh2-98y-xl/p/jcgk3c32b4/au/aupa/,2025-08-30 04:30:46,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235 40R19 Yokohama BLUEARTH GT AE51 96W,1410.06,https://www.magazineluiza.com.br/pneu-235-40r19-yokohama-bluearth-gt-ae51-96w/p/kb067j4eaa/au/aupa/,2025-08-30 04:31:04,235/40R19,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
