titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 235/45R18 98W TL Aplus A610-7 XL (Unitario Ecomerce),679.9,https://www.magazineluiza.com.br/pneu-235-45r18-98w-tl-aplus-a610-7-xl-unitario-ecomerce/p/fbej5kdg2g/au/pine/,2025-08-22 04:28:53,235/45R18,,,857.9,True,https://a-static.mlcdn.com.br/280x210/pneu-235-45r18-98w-tl-aplus-a610-7-xl-unitario-ecomerce/confinitacessorioautomotivos/6513p/6bb0e958a4817f1a731c9bdd618cf821.jpeg,magazineluiza,,True,0,0.0,Confinit Acessórios Automotivos,False,,,
Pneu Aplus Aro 18 235/45R18 A610 98W,737.87,https://www.magazineluiza.com.br/pneu-aplus-aro-18-235-45r18-a610-98w/p/kg0j6k89kb/au/pine/,2025-08-22 04:28:57,235/45R18,,,840.55,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-aro-18-235-45r18-a610-98w/webpneus/34572/4cd25e0da0b775d2c7c3ae1791cdbe88.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aro 18 235/45 r18 sunwide rs-one 98w,760.72,https://www.magazineluiza.com.br/pneu-aro-18-235-45-r18-sunwide-rs-one-98w/p/jaf08f16ah/au/aupa/,2025-08-22 04:29:00,235/45R18,,,815.34,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-235-45-r18-sunwide-rs-one-98w/burajirupneus/719p/ef9dba24079381b5b9fe281693901217.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 18 Pirelli 235/45 R18 94V Powergy,100.0,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-235-45-r18-94v-powergy/p/khe7dafd8j/au/pine/,2025-08-22 04:29:03,235/45R18,pirelli,,1311.45,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-pirelli-235-45-r18-94v-powergy/pneugreen/2107/a509ae41288f24efaef22dc34e8f4ce6.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Bridgestone 235/45 R18 BL 94V Turanza T005,1222.88,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-235-45-r18-bl-94v-turanza-t005/p/gb4f34hfja/au/aupa/,2025-08-22 04:29:08,235/45R18,bridgestone,,1265.05,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-bridgestone-235-45-r18-bl-94v-turanza-t005/pneugreen/933/b08d614bfd32a4ad840c95bd197c49f1.jpeg,magazineluiza,,True,2,0.0,Pneugreen,False,,,
Pneu Delinte Aro 18 235/45 R18 DS7 Sport 98Y XL,1035.79,https://www.magazineluiza.com.br/pneu-delinte-aro-18-235-45-r18-ds7-sport-98y-xl/p/kk12744h9a/au/pine/,2025-08-22 04:29:12,235/45R18,,,10903110109.03,True,https://a-static.mlcdn.com.br/280x210/pneu-delinte-aro-18-235-45-r18-ds7-sport-98y-xl/webpneus/d2331/ad3ff1d99b5b1761bf56a62da9431f5d.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aro 18 235/45 r18 wanli sa302 98w,760.67,https://www.magazineluiza.com.br/pneu-aro-18-235-45-r18-wanli-sa302-98w/p/dfh55c9209/au/aupa/,2025-08-22 04:29:15,235/45R18,,,760671076.07,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-235-45-r18-wanli-sa302-98w/burajirupneus/2159p/ecffaa0522c17a6bc5a72e2104d37bdc.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Carro 235 45 R18 Powergy TL 94V Pirelli,1531.1,https://www.magazineluiza.com.br/pneu-carro-235-45-r18-powergy-tl-94v-pirelli/p/cbkh255ega/au/aupa/,2025-08-22 04:29:19,235/45R18,pirelli,,1773.7,True,https://a-static.mlcdn.com.br/280x210/pneu-carro-235-45-r18-powergy-tl-94v-pirelli/podiumpneu/kp5806/57a9cc0e3379849061be2f0c37354ccd.jpeg,magazineluiza,,True,0,0.0,Podium Pneu,False,,,
Pneu Continental 235/45 R18 98W XL FR Premium Contact 6 VOL,1439.89,https://www.magazineluiza.com.br/pneu-continental-235-45-r18-98w-xl-fr-premium-contact-6-vol/p/ckfb5649k0/au/aupa/,2025-08-22 04:29:22,235/45R18,continental,,14398910143.99,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-235-45-r18-98w-xl-fr-premium-contact-6-vol/pneugreen/1056/d9c2d3a0b58107259d20715369fb7dd9.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Laufenn 235/45 R18 98W S Fit As Lh01,927.47,https://www.magazineluiza.com.br/pneu-laufenn-235-45-r18-98w-s-fit-as-lh01/p/fhadh80g04/au/aupa/,2025-08-22 04:29:25,235/45R18,,,976289108.48,True,https://a-static.mlcdn.com.br/280x210/pneu-laufenn-235-45-r18-98w-s-fit-as-lh01/autoloja/1267/b1558145adc807ae76f4af2639ee0456.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu 235/45R18 98W TL Aplus A610-7 XL (Unitario Ecomerce),679.9,https://www.magazineluiza.com.br/pneu-235-45r18-98w-tl-aplus-a610-7-xl-unitario-ecomerce/p/fbej5kdg2g/au/pine/,2025-08-22 04:29:56,235/45R18,,,857.9,True,https://a-static.mlcdn.com.br/280x210/pneu-235-45r18-98w-tl-aplus-a610-7-xl-unitario-ecomerce/confinitacessorioautomotivos/6513p/6bb0e958a4817f1a731c9bdd618cf821.jpeg,magazineluiza,,True,0,0.0,Confinit Acessórios Automotivos,False,,,
Pneu Aplus Aro 18 235/45R18 A610 98W,737.87,https://www.magazineluiza.com.br/pneu-aplus-aro-18-235-45r18-a610-98w/p/kg0j6k89kb/au/pine/,2025-08-22 04:30:01,235/45R18,,,840.55,True,https://a-static.mlcdn.com.br/280x210/pneu-aplus-aro-18-235-45r18-a610-98w/webpneus/34572/4cd25e0da0b775d2c7c3ae1791cdbe88.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aro 18 235/45 r18 sunwide rs-one 98w,760.72,https://www.magazineluiza.com.br/pneu-aro-18-235-45-r18-sunwide-rs-one-98w/p/jaf08f16ah/au/aupa/,2025-08-22 04:30:02,235/45R18,,,815.34,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-235-45-r18-sunwide-rs-one-98w/burajirupneus/719p/ef9dba24079381b5b9fe281693901217.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 18 Pirelli 235/45 R18 94V Powergy,100.0,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-235-45-r18-94v-powergy/p/khe7dafd8j/au/pine/,2025-08-22 04:30:04,235/45R18,pirelli,,1311.45,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-pirelli-235-45-r18-94v-powergy/pneugreen/2107/a509ae41288f24efaef22dc34e8f4ce6.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Bridgestone 235/45 R18 BL 94V Turanza T005,1222.88,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-235-45-r18-bl-94v-turanza-t005/p/gb4f34hfja/au/aupa/,2025-08-22 04:30:08,235/45R18,bridgestone,,1265.05,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-bridgestone-235-45-r18-bl-94v-turanza-t005/pneugreen/933/b08d614bfd32a4ad840c95bd197c49f1.jpeg,magazineluiza,,True,2,0.0,Pneugreen,False,,,
Pneu Delinte Aro 18 235/45 R18 DS7 Sport 98Y XL,1035.79,https://www.magazineluiza.com.br/pneu-delinte-aro-18-235-45-r18-ds7-sport-98y-xl/p/kk12744h9a/au/pine/,2025-08-22 04:30:11,235/45R18,,,10903110109.03,True,https://a-static.mlcdn.com.br/280x210/pneu-delinte-aro-18-235-45-r18-ds7-sport-98y-xl/webpneus/d2331/ad3ff1d99b5b1761bf56a62da9431f5d.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu aro 18 235/45 r18 wanli sa302 98w,760.67,https://www.magazineluiza.com.br/pneu-aro-18-235-45-r18-wanli-sa302-98w/p/dfh55c9209/au/aupa/,2025-08-22 04:30:14,235/45R18,,,760671076.07,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-18-235-45-r18-wanli-sa302-98w/burajirupneus/2159p/ecffaa0522c17a6bc5a72e2104d37bdc.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
