titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 19 235/50 r19 ling long ar200 103y,893.18,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-ling-long-ar200-103y/p/aj7973ccg2/au/aupa/,2025-08-22 04:35:37,235/50R19,,,937.84,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-19-235-50-r19-ling-long-ar200-103y/burajirupneus/1703p/7162c5940e147b2458c3151d12a9535f.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Hankook 235/50 R19 99H Ventus S1 Noble 2 H452 Original Gm Equinox,1200.59,https://www.magazineluiza.com.br/pneu-hankook-235-50-r19-99h-ventus-s1-noble-2-h452-original-gm-equinox/p/gh64a4f1g5/au/aupa/,2025-08-22 04:35:41,235/50R19,hankook,,1493.85,True,https://a-static.mlcdn.com.br/280x210/pneu-hankook-235-50-r19-99h-ventus-s1-noble-2-h452-original-gm-equinox/autoloja/1235/7ae329ae3fc38b0c7c2a3fa33f68dfdb.jpeg,magazineluiza,,True,10,9.0,Auto Loja,False,,,
Pneu Continental 235/50 R19 99w Premiumcontact 6 Run Flat,1796.15,https://www.magazineluiza.com.br/pneu-continental-235-50-r19-99w-premiumcontact-6-run-flat/p/jh6c0414j0/au/aupa/,2025-08-22 04:35:45,235/50R19,continental,,1955.88,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-235-50-r19-99w-premiumcontact-6-run-flat/pneugreen/283/ffda9582295042158746ebc454dbc57f.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu 235/50 R19 Nexen Roadian GTX 103V,1189.47,https://www.magazineluiza.com.br/pneu-235-50-r19-nexen-roadian-gtx-103v/p/kjgf1d69kb/au/aupa/,2025-08-22 04:35:48,235/50R19,nexen,,1356.9,True,https://a-static.mlcdn.com.br/280x210/pneu-235-50-r19-nexen-roadian-gtx-103v/gopneus/19561/ebfa322f8c12956419c0c42712ae6cae.jpeg,magazineluiza,,True,0,0.0,Go Pneus,False,,,
Pneu Michelin 235/50 R19 103v Xl Tl Primacy 4 Vol,2171.28,https://www.magazineluiza.com.br/pneu-michelin-235-50-r19-103v-xl-tl-primacy-4-vol/p/ce8282b9jb/au/pine/,2025-08-22 04:35:53,235/50R19,michelin,primacy 4,2294.0,True,https://a-static.mlcdn.com.br/280x210/pneu-michelin-235-50-r19-103v-xl-tl-primacy-4-vol/pneugreen/16022383832/37698f4bf7c0b4c5bfa7495967691462.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu 235/50 R19 Hankook H452 99H Original Equinox,1500.43,https://www.magazineluiza.com.br/pneu-235-50-r19-hankook-h452-99h-original-equinox/p/fb56ga02je/au/aupa/,2025-08-22 04:35:56,235/50R19,hankook,,1793.9,True,https://a-static.mlcdn.com.br/280x210/pneu-235-50-r19-hankook-h452-99h-original-equinox/gopneus/2398/dc07d924f8ff090dcfe35daef8345ef9.jpeg,magazineluiza,,True,10,9.0,Go Pneus,False,,,
Pneu Aro 19 Continental 235/50 R19 103V XL Ecocontact 6,1769.83,https://www.magazineluiza.com.br/pneu-aro-19-continental-235-50-r19-103v-xl-ecocontact-6/p/be8998fh9e/au/aupa/,2025-08-22 04:35:59,235/50R19,continental,,2141.36,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-19-continental-235-50-r19-103v-xl-ecocontact-6/pneugreen/1464/2972c085475eff34f5dd598956f6d7a6.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 19 Pirelli 235/50 R19 99V S-I Scorpion JP,100.0,https://www.magazineluiza.com.br/pneu-aro-19-pirelli-235-50-r19-99v-s-i-scorpion-jp/p/hkc8k4dg09/au/aupa/,2025-08-22 04:36:02,235/50R19,pirelli,,26058410260.58,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-19-pirelli-235-50-r19-99v-s-i-scorpion-jp/pneugreen/1461/18646366c181430b98b9de4d8f584fb2.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu aro 19 235/50 r19 wanli su027 99v,859.78,https://www.magazineluiza.com.br/pneu-aro-19-235-50-r19-wanli-su027-99v/p/dj854671eb/au/aupa/,2025-08-22 04:36:07,235/50R19,,,984.37,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-19-235-50-r19-wanli-su027-99v/burajirupneus/861p/d4630d86ff4a6416f6c39de918325d9f.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu 235/50 R19 Hankook Ventus S1 Evo 2 SUV K117A 99V *Original VW Tiguan,1651.31,https://www.magazineluiza.com.br/pneu-235-50-r19-hankook-ventus-s1-evo-2-suv-k117a-99v-original-vw-tiguan/p/ka5jcf5fe0/au/aupa/,2025-08-22 04:36:09,235/50R19,hankook,,1974.9,True,https://a-static.mlcdn.com.br/280x210/pneu-235-50-r19-hankook-ventus-s1-evo-2-suv-k117a-99v-original-vw-tiguan/gopneus/14684/99c9deabbccca1bba8764cc0473c0736.jpeg,magazineluiza,,True,0,0.0,Go Pneus,False,,,
