titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aptany Aro 17 235/55R17 RA301 103V XL,768.32,https://www.magazineluiza.com.br/pneu-aptany-aro-17-235-55r17-ra301-103v-xl/p/bgee982g6k/au/pine/,2025-08-23 03:12:23,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Chengshan 235/55 R17 99H CSC-303,538.52,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-235-55-r17-99h-csc-303/p/fh6bab5h98/au/aupa/,2025-08-23 03:12:35,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 235/55 R17 TL 103W Sport + 2,648.3,https://www.magazineluiza.com.br/pneu-aro-17-xbri-235-55-r17-tl-103w-sport-2/p/kgkje57426/au/aupa/,2025-08-23 03:12:47,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 235/55 R17 103Y XL Primacy 4+,1426.06,https://www.magazineluiza.com.br/pneu-aro-17-michelin-235-55-r17-103y-xl-primacy-4/p/fjb74bf662/au/aupa/,2025-08-23 03:12:57,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 235/55 r17 chengshan csc303 99h,778.15,https://www.magazineluiza.com.br/pneu-aro-17-235-55-r17-chengshan-csc303-99h/p/hj08f6c239/au/aupa/,2025-08-23 03:13:08,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Continental 235/55 R17 99V ContiPremiumContact 5,1235.7,https://www.magazineluiza.com.br/pneu-aro-17-continental-235-55-r17-99v-contipremiumcontact-5/p/hkbe8ag2f6/au/aupa/,2025-08-23 03:13:20,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 235/55 R17 DS2 103W XL,1067.71,https://www.magazineluiza.com.br/pneu-delinte-aro-17-235-55-r17-ds2-103w-xl/p/hk23cg4a7g/au/pine/,2025-08-23 03:13:31,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 235 55 R17 Sport plus 2 XL TL 103W Xbri,763.31,https://www.magazineluiza.com.br/pneu-carro-235-55-r17-sport-plus-2-xl-tl-103w-xbri/p/fjhdjd4h7b/au/aupa/,2025-08-23 03:13:43,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 235/55 R17 99W S Fit As Lh01,814.27,https://www.magazineluiza.com.br/pneu-laufenn-235-55-r17-99w-s-fit-as-lh01/p/fe59a2hf9h/au/aupa/,2025-08-23 03:13:55,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/55 R17 99H Assurance Fuel Max All Weather,1191.93,https://www.magazineluiza.com.br/pneu-goodyear-235-55-r17-99h-assurance-fuel-max-all-weather/p/ec0ha130bg/au/pine/,2025-08-23 03:14:06,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delmax Ultima Plus 235/55 R17 Aro 17 103W XL,432.28,https://www.magazineluiza.com.br/pneu-delmax-ultima-plus-235-55-r17-aro-17-103w-xl/p/ac8h64eebh/au/pine/,2025-08-23 03:14:18,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 235/55 R17 BL 99V Turanza T005,1185.34,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-235-55-r17-bl-99v-turanza-t005/p/kf7j9kb3kc/au/pine/,2025-08-23 03:14:29,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 235/55R17 RA301 103V XL,768.32,https://www.magazineluiza.com.br/pneu-aptany-aro-17-235-55r17-ra301-103v-xl/p/bgee982g6k/au/pine/,2025-08-23 03:15:08,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Chengshan 235/55 R17 99H CSC-303,538.52,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-235-55-r17-99h-csc-303/p/fh6bab5h98/au/aupa/,2025-08-23 03:15:21,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 235/55 R17 TL 103W Sport + 2,648.3,https://www.magazineluiza.com.br/pneu-aro-17-xbri-235-55-r17-tl-103w-sport-2/p/kgkje57426/au/aupa/,2025-08-23 03:15:33,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 235/55 R17 103Y XL Primacy 4+,1426.06,https://www.magazineluiza.com.br/pneu-aro-17-michelin-235-55-r17-103y-xl-primacy-4/p/fjb74bf662/au/aupa/,2025-08-23 03:15:44,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 235/55 r17 chengshan csc303 99h,778.15,https://www.magazineluiza.com.br/pneu-aro-17-235-55-r17-chengshan-csc303-99h/p/hj08f6c239/au/aupa/,2025-08-23 03:15:56,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Continental 235/55 R17 99V ContiPremiumContact 5,1235.7,https://www.magazineluiza.com.br/pneu-aro-17-continental-235-55-r17-99v-contipremiumcontact-5/p/hkbe8ag2f6/au/aupa/,2025-08-23 03:16:08,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 235/55 R17 DS2 103W XL,1067.71,https://www.magazineluiza.com.br/pneu-delinte-aro-17-235-55-r17-ds2-103w-xl/p/hk23cg4a7g/au/pine/,2025-08-23 03:16:19,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 235 55 R17 Sport plus 2 XL TL 103W Xbri,763.31,https://www.magazineluiza.com.br/pneu-carro-235-55-r17-sport-plus-2-xl-tl-103w-xbri/p/fjhdjd4h7b/au/aupa/,2025-08-23 03:16:33,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 235/55 R17 99W S Fit As Lh01,814.27,https://www.magazineluiza.com.br/pneu-laufenn-235-55-r17-99w-s-fit-as-lh01/p/fe59a2hf9h/au/aupa/,2025-08-23 03:16:45,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/55 R17 99H Assurance Fuel Max All Weather,1191.93,https://www.magazineluiza.com.br/pneu-goodyear-235-55-r17-99h-assurance-fuel-max-all-weather/p/ec0ha130bg/au/pine/,2025-08-23 03:16:56,235/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
