titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Barum 235/75 R15 109t Xl Fr Bravuris At,747.68,https://www.magazineluiza.com.br/pneu-aro-15-barum-235-75-r15-109t-xl-fr-bravuris-at/p/khchke20g1/au/aupa/,2025-08-30 00:15:15,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Sunset 235/75 R15 109H Venttura HT B1 XL,605.02,https://www.magazineluiza.com.br/pneu-aro-15-sunset-235-75-r15-109h-venttura-ht-b1-xl/p/ef12be3efa/au/pine/,2025-08-30 00:15:25,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 235/75 r 15 ru101 109t aptany,889.55,https://www.magazineluiza.com.br/pneu-235-75-r-15-ru101-109t-aptany/p/ckf8246k58/au/aupa/,2025-08-30 00:15:36,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 235/75 R15 105H Forza H/T 2,722.28,https://www.magazineluiza.com.br/pneu-aro-15-xbri-235-75-r15-105h-forza-h-t-2/p/kkg1h895h5/au/pine/,2025-08-30 00:15:46,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Pirelli 235/75 R15 110T LT Scorpion HT,1044.67,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-235-75-r15-110t-lt-scorpion-ht/p/hfc5kecb7c/au/aupa/,2025-08-30 00:15:58,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 235/75 R15 Wrangler Workhorse AT 109S XL,1125.55,https://www.magazineluiza.com.br/pneu-goodyear-235-75-r15-wrangler-workhorse-at-109s-xl/p/jk503f690e/au/aupa/,2025-08-30 00:16:09,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 235/75 r15 chengshan csc302 at 109s,765.38,https://www.magazineluiza.com.br/pneu-aro-15-235-75-r15-chengshan-csc302-at-109s/p/bdj67bejha/au/pine/,2025-08-30 00:16:20,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Chengshan 235/75 R15 109S CSC-302 A/T,695.27,https://www.magazineluiza.com.br/pneu-aro-15-chengshan-235-75-r15-109s-csc-302-a-t/p/jjj0f20b32/au/pine/,2025-08-30 00:16:30,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Firestone 235/75 R15 109T XL Destination H/T,817.54,https://www.magazineluiza.com.br/pneu-aro-15-firestone-235-75-r15-109t-xl-destination-h-t/p/bbh3kch974/au/pine/,2025-08-30 00:16:41,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 235/75 r15 hifly vigorous ht601 xl 109h,848.78,https://www.magazineluiza.com.br/pneu-aro-15-235-75-r15-hifly-vigorous-ht601-xl-109h/p/ebg477h90d/au/aupa/,2025-08-30 00:16:53,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/dgbg0dg526/au/aupa/,2025-08-30 00:17:03,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 235/75 R15 109T TL Forza AT C1 Extra Load,780.82,https://www.magazineluiza.com.br/pneu-aro-15-xbri-235-75-r15-109t-tl-forza-at-c1-extra-load/p/fh4j3ch4a6/au/pine/,2025-08-30 00:17:14,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Caminhonete 235 75 R15 RA1100 OWL XL TL 105T Roadcruza,1123.43,https://www.magazineluiza.com.br/pneu-caminhonete-235-75-r15-ra1100-owl-xl-tl-105t-roadcruza/p/hc7j882cah/au/pine/,2025-08-30 00:17:24,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn Aro 15 235/75 R15 109T X FIT LC01 A/T,782.42,https://www.magazineluiza.com.br/pneu-laufenn-aro-15-235-75-r15-109t-x-fit-lc01-a-t/p/ga6gbk9420/au/aupa/,2025-08-30 00:17:34,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 235/75 R15 Dynapro AT2 RF11 109T,1047.9,https://www.magazineluiza.com.br/pneu-hankook-235-75-r15-dynapro-at2-rf11-109t/p/hak875a62b/pf/pcpo/,2025-08-30 00:17:47,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankoo 235/75 R15 109T At2 Dynapro At2 Rf11 Letras Brancas,1026.6,https://www.magazineluiza.com.br/pneu-hankoo-235-75-r15-109t-at2-dynapro-at2-rf11-letras-brancas-hankook/p/fa4hk7db4c/au/aupa/,2025-08-30 00:17:57,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 235/75 R15 104/101S GRANDTREK AT5 DEV,1064.91,https://www.magazineluiza.com.br/pneu-dunlop-235-75-r15-104-101s-grandtrek-at5-dev/p/bg07c54431/au/aupa/,2025-08-30 00:18:07,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri 15 235/75 r15 109s forza a/t xl - Xbri Tires,809.0,https://www.magazineluiza.com.br/pneu-xbri-15-235-75-r15-109s-forza-a-t-xl-xbri-tires/p/de8ab70a1a/au/aupa/,2025-08-30 00:18:18,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Chengshan 235/75 R15 6PR 104/101Q Maspire MT,846.25,https://www.magazineluiza.com.br/pneu-aro-15-chengshan-235-75-r15-6pr-104-101q-maspire-mt/p/ddk39df9eb/au/pine/,2025-08-30 00:18:28,235/75R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
