titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 245/50R20 Pirelli Scorpion STR 102H,2119.68,https://www.magazineluiza.com.br/pneu-245-50r20-pirelli-scorpion-str-102h/p/fja69kfhkh/au/pine/,2025-08-30 01:50:09,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 20 Pirelli Scorpion Str 245/50R20 102H,1905.9,https://www.magazineluiza.com.br/pneu-aro-20-pirelli-scorpion-str-245-50r20-102h/p/ca06c17g4d/au/aupa/,2025-08-30 01:50:20,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 Scorpion STR 245/50R20 102H,2204.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-scorpion-str-245-50r20-102h/p/cckbkakac2/au/aupa/,2025-08-30 01:50:32,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 245/50r20 102h S-STR,1827.0,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-245-50r20-102h-s-str/p/aj4g26k46d/au/pine/,2025-08-30 01:50:42,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/50R20 Pirelli Scorpion STR 102H,2119.68,https://www.magazineluiza.com.br/pneu-245-50r20-pirelli-scorpion-str-102h/p/fja69kfhkh/au/pine/,2025-08-30 01:51:37,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 20 Pirelli Scorpion Str 245/50R20 102H,1905.9,https://www.magazineluiza.com.br/pneu-aro-20-pirelli-scorpion-str-245-50r20-102h/p/ca06c17g4d/au/aupa/,2025-08-30 01:51:48,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 Scorpion STR 245/50R20 102H,2204.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-scorpion-str-245-50r20-102h/p/cckbkakac2/au/aupa/,2025-08-30 01:52:00,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 245/50r20 102h S-STR,1827.0,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-245-50r20-102h-s-str/p/aj4g26k46d/au/pine/,2025-08-30 01:52:10,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/50R20 Pirelli Scorpion STR 102H,2119.68,https://www.magazineluiza.com.br/pneu-245-50r20-pirelli-scorpion-str-102h/p/fja69kfhkh/au/pine/,2025-08-30 01:53:07,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 20 Pirelli Scorpion Str 245/50R20 102H,1905.9,https://www.magazineluiza.com.br/pneu-aro-20-pirelli-scorpion-str-245-50r20-102h/p/ca06c17g4d/au/aupa/,2025-08-30 01:53:18,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 Scorpion STR 245/50R20 102H,2204.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-scorpion-str-245-50r20-102h/p/cckbkakac2/au/aupa/,2025-08-30 01:53:30,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 20 245/50r20 102h S-STR,1827.0,https://www.magazineluiza.com.br/pneu-pirelli-aro-20-245-50r20-102h-s-str/p/aj4g26k46d/au/pine/,2025-08-30 01:53:41,245/50R20,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
