titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 245/70R16 Bridgestone Dueler H/T 684 III Ecopia 111T,1100.68,https://www.magazineluiza.com.br/pneu-245-70r16-bridgestone-dueler-h-t-684-iii-ecopia-111t/p/eb5h8eae96/au/pnoc/,2025-09-03 11:25:29,245/70R16,bridgestone,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu Aro 17 245/65R17 111T Bridgestone Dueler H/T 684 III Xl,1932.0,https://www.magazineluiza.com.br/pneu-aro-17-245-65r17-111t-bridgestone-dueler-h-t-684-iii-xl/p/gh877bhe1g/au/pine/,2025-09-03 11:25:32,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,Tire Store,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 III 245/65R17 111T XL - Original VW Amarok,1356.14,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-iii-245-65r17-111t-xl-original-vw-amarok/p/fd274b8dh8/au/aupa/,2025-09-03 11:25:37,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 225/55R18 98H,968.57,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-225-55r18-98h/p/634746500/au/aupa/,2025-09-03 11:25:40,225/55R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 205R16 Bridgestone Dueler H/T 684 III Ecopia 110/108T,1635.34,https://www.magazineluiza.com.br/pneu-205r16-bridgestone-dueler-h-t-684-iii-ecopia-110-108t/p/kh5j9dbg9h/au/pnoc/,2025-09-03 11:25:47,,bridgestone,,,False,,magazineluiza,,True,0,0.0,Achei Pneus,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 255/60R18 112T,1510.72,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-255-60r18-112t/p/768558400/au/pine/,2025-09-03 11:25:54,255/60R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 245/70R16 Bridgestone Dueler H/T 684 III Ecopia 111T,1100.68,https://www.magazineluiza.com.br/pneu-245-70r16-bridgestone-dueler-h-t-684-iii-ecopia-111t/p/eb5h8eae96/au/pnoc/,2025-09-03 11:26:39,245/70R16,bridgestone,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu Aro 17 245/65R17 111T Bridgestone Dueler H/T 684 III Xl,1932.0,https://www.magazineluiza.com.br/pneu-aro-17-245-65r17-111t-bridgestone-dueler-h-t-684-iii-xl/p/gh877bhe1g/au/pine/,2025-09-03 11:26:41,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,Tire Store,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 III 245/65R17 111T XL - Original VW Amarok,1356.14,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-iii-245-65r17-111t-xl-original-vw-amarok/p/fd274b8dh8/au/aupa/,2025-09-03 11:26:44,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 225/55R18 98H,968.57,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-225-55r18-98h/p/634746500/au/aupa/,2025-09-03 11:26:47,225/55R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 205R16 Bridgestone Dueler H/T 684 III Ecopia 110/108T,1635.34,https://www.magazineluiza.com.br/pneu-205r16-bridgestone-dueler-h-t-684-iii-ecopia-110-108t/p/kh5j9dbg9h/au/pnoc/,2025-09-03 11:26:53,,bridgestone,,,False,,magazineluiza,,True,0,0.0,Achei Pneus,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 255/60R18 112T,1510.72,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-255-60r18-112t/p/768558400/au/pine/,2025-09-03 11:27:00,255/60R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 245/70R16 Bridgestone Dueler H/T 684 III Ecopia 111T,1100.68,https://www.magazineluiza.com.br/pneu-245-70r16-bridgestone-dueler-h-t-684-iii-ecopia-111t/p/eb5h8eae96/au/pnoc/,2025-09-03 11:27:45,245/70R16,bridgestone,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu Aro 17 245/65R17 111T Bridgestone Dueler H/T 684 III Xl,1932.0,https://www.magazineluiza.com.br/pneu-aro-17-245-65r17-111t-bridgestone-dueler-h-t-684-iii-xl/p/gh877bhe1g/au/pine/,2025-09-03 11:27:47,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,Tire Store,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 III 245/65R17 111T XL - Original VW Amarok,1356.14,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-iii-245-65r17-111t-xl-original-vw-amarok/p/fd274b8dh8/au/aupa/,2025-09-03 11:27:50,245/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 225/55R18 98H,968.57,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-225-55r18-98h/p/634746500/au/aupa/,2025-09-03 11:27:52,225/55R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 205R16 Bridgestone Dueler H/T 684 III Ecopia 110/108T,1635.34,https://www.magazineluiza.com.br/pneu-205r16-bridgestone-dueler-h-t-684-iii-ecopia-110-108t/p/kh5j9dbg9h/au/pnoc/,2025-09-03 11:27:58,,bridgestone,,,False,,magazineluiza,,True,0,0.0,Achei Pneus,False,,,
Pneu Aro 18 Bridgestone Dueler H/T 684 III 255/60R18 112T,1510.72,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-dueler-h-t-684-iii-255-60r18-112t/p/768558400/au/pine/,2025-09-03 11:28:03,255/60R18,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
