titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1237.0,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/cb43kc873d/au/pine/,2025-09-04 12:43:55,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1138.04,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/dcb227hb13/au/pine/,2025-09-04 12:43:59,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1237.0,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/hhk1cak777/au/pine/,2025-09-04 12:44:01,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1088.56,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/gha9e355b6/au/pine/,2025-09-04 12:44:04,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1138.04,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/hf5bhf7ach/au/pine/,2025-09-04 12:44:07,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1237.0,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/cb43kc873d/au/pine/,2025-09-04 12:44:36,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1138.04,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/dcb227hb13/au/pine/,2025-09-04 12:44:39,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1237.0,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/hhk1cak777/au/pine/,2025-09-04 12:44:41,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1088.56,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/gha9e355b6/au/pine/,2025-09-04 12:44:43,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1138.04,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/hf5bhf7ach/au/pine/,2025-09-04 12:44:44,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1088.56,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/gha9e355b6/au/pine/,2025-09-04 12:44:49,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1138.04,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/dcb227hb13/au/pine/,2025-09-04 12:44:52,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 245/70 R16 111T GRANDTREK AT25 XL DEV,1237.0,https://www.magazineluiza.com.br/pneu-dunlop-245-70-r16-111t-grandtrek-at25-xl-dev/p/cb43kc873d/au/pine/,2025-09-04 12:44:54,245/70R16,dunlop,grandtrek at25,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
