titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 16 Firestone 245/70 R16 107H Destination H/T,816.46,https://www.magazineluiza.com.br/pneu-aro-16-firestone-245-70-r16-107h-destination-h-t-bridgestone/p/ea6588h64b/au/aupa/,2025-08-29 14:00:49,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70r16 aro 16 Firestone Destination ATX A/T 111T,1474.62,https://www.magazineluiza.com.br/pneu-245-70r16-aro-16-firestone-destination-atx-a-t-111t/p/bec72f8612/au/pine/,2025-08-29 14:01:01,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,852.03,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-h-t-245-70r16-107h/p/gcj3jdjab1/au/aupa/,2025-08-29 14:01:11,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination H/T 107H,933.89,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-h-t-107h/p/jgjckag32k/au/aupa/,2025-08-29 14:01:22,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination HT 107H,920.03,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-ht-107h/p/dc9gjjc512/au/aupa/,2025-08-29 14:01:34,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 245/70R16 111T Destination ATX Firestone,1488.48,https://www.magazineluiza.com.br/pneu-aro-16-245-70r16-111t-destination-atx-firestone/p/hd9jc3hf1j/au/aupa/,2025-08-29 14:01:44,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination ATX 245/70R16 111T XL,1399.88,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-245-70r16-111t-xl/p/jbg770d75h/au/aupa/,2025-08-29 14:01:55,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Amarok Ranger 245/70r16 107H Destination HT Firestone + Bico Valvula Tr414,1132.47,https://www.magazineluiza.com.br/pneu-amarok-ranger-245-70r16-107h-destination-ht-firestone-bico-valvula-tr414/p/cg232dejeg/au/aupa/,2025-08-29 14:02:07,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Firestone 245/70 R16 107H Destination H/T,816.46,https://www.magazineluiza.com.br/pneu-aro-16-firestone-245-70-r16-107h-destination-h-t-bridgestone/p/ea6588h64b/au/aupa/,2025-08-29 14:02:43,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70r16 aro 16 Firestone Destination ATX A/T 111T,1474.62,https://www.magazineluiza.com.br/pneu-245-70r16-aro-16-firestone-destination-atx-a-t-111t/p/bec72f8612/au/pine/,2025-08-29 14:02:56,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,852.03,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-h-t-245-70r16-107h/p/gcj3jdjab1/au/aupa/,2025-08-29 14:03:06,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination H/T 107H,933.89,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-h-t-107h/p/jgjckag32k/au/aupa/,2025-08-29 14:03:17,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination HT 107H,920.03,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-ht-107h/p/dc9gjjc512/au/aupa/,2025-08-29 14:03:29,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 245/70R16 111T Destination ATX Firestone,1488.48,https://www.magazineluiza.com.br/pneu-aro-16-245-70r16-111t-destination-atx-firestone/p/hd9jc3hf1j/au/aupa/,2025-08-29 14:03:40,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination ATX 245/70R16 111T XL,1399.88,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-245-70r16-111t-xl/p/jbg770d75h/au/aupa/,2025-08-29 14:03:51,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Amarok Ranger 245/70r16 107H Destination HT Firestone + Bico Valvula Tr414,1132.47,https://www.magazineluiza.com.br/pneu-amarok-ranger-245-70r16-107h-destination-ht-firestone-bico-valvula-tr414/p/cg232dejeg/au/aupa/,2025-08-29 14:04:03,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Firestone 245/70 R16 107H Destination H/T,816.46,https://www.magazineluiza.com.br/pneu-aro-16-firestone-245-70-r16-107h-destination-h-t-bridgestone/p/ea6588h64b/au/aupa/,2025-08-29 14:04:41,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70r16 aro 16 Firestone Destination ATX A/T 111T,1474.62,https://www.magazineluiza.com.br/pneu-245-70r16-aro-16-firestone-destination-atx-a-t-111t/p/bec72f8612/au/pine/,2025-08-29 14:04:53,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,852.03,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-h-t-245-70r16-107h/p/gcj3jdjab1/au/aupa/,2025-08-29 14:05:04,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination H/T 107H,933.89,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-h-t-107h/p/jgjckag32k/au/aupa/,2025-08-29 14:05:15,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/70R16 Firestone Destination HT 107H,920.03,https://www.magazineluiza.com.br/pneu-245-70r16-firestone-destination-ht-107h/p/dc9gjjc512/au/aupa/,2025-08-29 14:05:27,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 245/70R16 111T Destination ATX Firestone,1488.48,https://www.magazineluiza.com.br/pneu-aro-16-245-70r16-111t-destination-atx-firestone/p/hd9jc3hf1j/au/aupa/,2025-08-29 14:05:39,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination ATX 245/70R16 111T XL,1399.88,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-245-70r16-111t-xl/p/jbg770d75h/au/aupa/,2025-08-29 14:05:53,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Amarok Ranger 245/70r16 107H Destination HT Firestone + Bico Valvula Tr414,1132.47,https://www.magazineluiza.com.br/pneu-amarok-ranger-245-70r16-107h-destination-ht-firestone-bico-valvula-tr414/p/cg232dejeg/au/aupa/,2025-08-29 14:06:05,245/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
