titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t/p/kbje5jbjh0/au/aupa/,2025-09-11 12:40:15,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 245/70R16 Goodyear Wrangler Workhorse AT 113/110T,1350.05,https://www.magazineluiza.com.br/pneu-245-70r16-goodyear-wrangler-workhorse-at-113-110t/p/ca83a0fbj9/au/aupa/,2025-09-11 12:40:22,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t/p/kbje5jbjh0/au/aupa/,2025-09-11 12:40:50,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 245/70R16 Goodyear Wrangler Workhorse AT 113/110T,1350.05,https://www.magazineluiza.com.br/pneu-245-70r16-goodyear-wrangler-workhorse-at-113-110t/p/ca83a0fbj9/au/aupa/,2025-09-11 12:40:54,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 245/70R16 Goodyear Wrangler Workhorse AT 113/110T,1350.05,https://www.magazineluiza.com.br/pneu-245-70r16-goodyear-wrangler-workhorse-at-113-110t/p/ca83a0fbj9/au/aupa/,2025-09-11 12:40:59,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t/p/kbje5jbjh0/au/aupa/,2025-09-11 12:41:07,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t/p/kbje5jbjh0/au/aupa/,2025-09-11 12:41:27,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 245/70R16 Goodyear Wrangler Workhorse AT 113/110T,1350.05,https://www.magazineluiza.com.br/pneu-245-70r16-goodyear-wrangler-workhorse-at-113-110t/p/ca83a0fbj9/au/aupa/,2025-09-11 12:41:32,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 245/70R16 Goodyear Wrangler Workhorse AT 113/110T,1350.05,https://www.magazineluiza.com.br/pneu-245-70r16-goodyear-wrangler-workhorse-at-113-110t/p/ca83a0fbj9/au/aupa/,2025-09-11 12:41:38,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t/p/kbje5jbjh0/au/aupa/,2025-09-11 12:41:46,245/70R16,goodyear,wrangler workhorse at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
