titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop Aro 18 255/60R18 Grandtrek AT-25 112T,1585.48,https://www.magazineluiza.com.br/pneu-dunlop-aro-18-255-60r18-grandtrek-at-25-112t/p/cgg1hdcd9b/au/pine/,2025-08-29 10:01:29,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/dd4bfedaaa/au/pine/,2025-08-29 10:01:49,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/cgadjfa80b/au/pine/,2025-08-29 10:01:59,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/ckef75bgf0/au/pine/,2025-08-29 10:02:11,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/af0jf3b6b9/au/pine/,2025-08-29 10:02:22,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 18 255/60R18 Grandtrek AT-25 112T,1585.48,https://www.magazineluiza.com.br/pneu-dunlop-aro-18-255-60r18-grandtrek-at-25-112t/p/cgg1hdcd9b/au/pine/,2025-08-29 10:03:05,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/dd4bfedaaa/au/pine/,2025-08-29 10:03:23,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/cgadjfa80b/au/pine/,2025-08-29 10:03:34,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/ckef75bgf0/au/pine/,2025-08-29 10:03:47,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/af0jf3b6b9/au/pine/,2025-08-29 10:03:58,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 18 255/60R18 Grandtrek AT-25 112T,1585.48,https://www.magazineluiza.com.br/pneu-dunlop-aro-18-255-60r18-grandtrek-at-25-112t/p/cgg1hdcd9b/au/pine/,2025-08-29 10:04:41,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/dd4bfedaaa/au/pine/,2025-08-29 10:05:03,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/cgadjfa80b/au/pine/,2025-08-29 10:05:13,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/ckef75bgf0/au/pine/,2025-08-29 10:05:25,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 255/60R18 112H XL AT5,1566.17,https://www.magazineluiza.com.br/pneu-dunlop-255-60r18-112h-xl-at5/p/af0jf3b6b9/au/pine/,2025-08-29 10:05:36,255/60R18,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
