titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli 265/60 R18 110H Scorpion All Terrain Plus WL,1336.2,https://www.magazineluiza.com.br/pneu-pirelli-265-60-r18-110h-scorpion-all-terrain-plus-wl/p/ck1f3d0a5e/au/aupa/,2025-09-03 11:15:01,265/60R18,pirelli,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Roadcruza 265/60 R18 114/110S 8PR RA1100 All Terrain,922.23,https://www.magazineluiza.com.br/pneu-aro-18-roadcruza-265-60-r18-114-110s-8pr-ra1100-all-terrain/p/fe6k83538e/au/aupa/,2025-09-03 11:15:06,265/60R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/70 R18 124/121S TL All-Terrain T/A KO3,2922.72,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-70-r18-124-121s-tl-all-terrain-t-a-ko3/p/hafck0b171/au/aupa/,2025-09-03 11:15:09,265/70R18,bfgoodrich,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 265/60 R18 114H XL Cf1100 Comforser All Terrain,1164.49,https://www.magazineluiza.com.br/pneu-aro-18-265-60-r18-114h-xl-cf1100-comforser-all-terrain/p/ae04e32248/au/aupa/,2025-09-03 11:15:12,265/60R18,,,,False,,magazineluiza,,True,0,0.0,Deck 55,False,,,
Pneu 265/70R16LT BF Goodrich All Terrain KO3 RWL 117/114S,1873.79,https://www.magazineluiza.com.br/pneu-265-70r16lt-bf-goodrich-all-terrain-ko3-rwl-117-114s/p/ga00597e5h/au/pine/,2025-09-03 11:15:15,265/70R16,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 265/60R18LT BF Goodrich All Terrain KO3 114/110S,2216.46,https://www.magazineluiza.com.br/pneu-265-60r18lt-bf-goodrich-all-terrain-ko3-114-110s/p/aj55hjebg3/au/pine/,2025-09-03 11:15:17,265/60R18,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 265/65R17LT BF Goodrich All Terrain KO3 RWL 116/113S,1689.71,https://www.magazineluiza.com.br/pneu-265-65r17lt-bf-goodrich-all-terrain-ko3-rwl-116-113s/p/gajcj07a8c/au/pine/,2025-09-03 11:15:22,265/65R17,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 265/70R18LT BF Goodrich All Terrain KO3 RWL 124/121S,3000.9,https://www.magazineluiza.com.br/pneu-265-70r18lt-bf-goodrich-all-terrain-ko3-rwl-124-121s/p/jga539k89d/au/pine/,2025-09-03 11:15:25,265/70R18,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu 265/70R17LT BF Goodrich All Terrain KO3 RWL 123/120S,2698.83,https://www.magazineluiza.com.br/pneu-265-70r17lt-bf-goodrich-all-terrain-ko3-rwl-123-120s/p/dc1ck1a150/au/pine/,2025-09-03 11:15:27,265/70R17,,,,False,,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu Aro 17 BFGoodrich All Terrain KO2 265/70R17 112/109S,2776.55,https://www.magazineluiza.com.br/pneu-aro-17-bfgoodrich-all-terrain-ko2-265-70r17-112-109s/p/790755800/au/aupa/,2025-09-03 11:15:30,265/70R17,bfgoodrich,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
