titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 18"" 265/60R18 Goodyear 110T Wrangler Territory HT",889.9,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-goodyear-110t-wrangler-territory-ht/p/240115700/au/pine/,2025-08-29 16:48:11,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Goodyear 265/60 R18 110T Wrangler Territory HT,898.83,https://www.magazineluiza.com.br/pneu-aro-18-goodyear-265-60-r18-110t-wrangler-territory-ht/p/hgfdbh10ja/au/aupa/,2025-08-29 16:48:23,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60R18 Goodyear Wrangler Territory HT 110T,1010.04,https://www.magazineluiza.com.br/pneu-265-60r18-goodyear-wrangler-territory-ht-110t/p/bc7c15dbd8/au/aupa/,2025-08-29 16:48:33,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60R18 Goodyear Wrangler Territory HT 110T SL,1109.75,https://www.magazineluiza.com.br/pneu-265-60r18-goodyear-wrangler-territory-ht-110t-sl/p/ddd28eadc7/au/aupa/,2025-08-29 16:48:44,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 265/60R18 Wrangler Territory HT 110T,1253.91,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-265-60r18-wrangler-territory-ht-110t/p/ecdaefab13/au/aupa/,2025-08-29 16:48:56,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 265/60 R18 110T SL Wrangler AT Adventure OWL,1533.86,https://www.magazineluiza.com.br/pneu-goodyear-265-60-r18-110t-sl-wrangler-at-adventure-owl/p/jejbg1549b/au/aupa/,2025-08-29 16:49:06,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Goodyear 265/60 R18 110H Wrangler Fortitude HT SL,1282.22,https://www.magazineluiza.com.br/pneu-aro-18-goodyear-265-60-r18-110h-wrangler-fortitude-ht-sl/p/kkc2aj257c/au/aupa/,2025-08-29 16:49:16,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Fortitude HT 265/60R18 110H,1170.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-fortitude-ht-265-60r18-110h/p/ejd5jgb5jj/au/aupa/,2025-08-29 16:49:26,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Workhorse AT 265/60R18 110H,1201.09,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-workhorse-at-265-60r18-110h/p/kb7j1ce4e7/au/aupa/,2025-08-29 16:49:38,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60R18 Goodyear Wrangler Workhorse AT 110H,1410.06,https://www.magazineluiza.com.br/pneu-265-60r18-goodyear-wrangler-workhorse-at-110h-goodyear-lt/p/eahge4keck/au/aupa/,2025-08-29 16:49:51,265/60R18,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
