titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/60R18 114/110S - Letras Brancas,1037.22,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-60r18-114-110s-letras-brancas/p/hj38573gfh/au/pine/,2025-08-24 05:50:44,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 265 60R18 Catchfors A T II Windforce LT 10PR 119 116S,839.8,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-catchfors-a-t-ii-windforce-lt-10pr-119-116s/p/bdef0eb37e/au/pine/,2025-08-24 05:51:03,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum by Continental Aro 18 Bravuris AT 265/60R18 110H,856.14,https://www.magazineluiza.com.br/pneu-barum-by-continental-aro-18-bravuris-at-265-60r18-110h/p/fe0dechech/au/aupa/,2025-08-24 05:51:14,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60R18 Bridgestone Dueler HT 684 II 110H Aro 18,1230.05,https://www.magazineluiza.com.br/pneu-265-60r18-bridgestone-dueler-ht-684-ii-110h-aro-18/p/aak83j7fgh/au/pine/,2025-08-24 05:51:26,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum by Continental Aro 18 265/60R18 110H Bravuris AT,779.0,https://www.magazineluiza.com.br/pneu-barum-by-continental-aro-18-265-60r18-110h-bravuris-at-continental-barum/p/hhbk2jj120/au/aupa/,2025-08-24 05:51:37,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 265/60R18 110H Roccia AT Massimo Tyre,708.86,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-110h-roccia-at-massimo-tyre-massimo-tyres/p/hb4a66551a/au/pine/,2025-08-24 05:51:47,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sunwide 265/60 R18 Owl 110T Durevole AT,722.02,https://www.magazineluiza.com.br/pneu-sunwide-265-60-r18-owl-110t-durevole-at/p/hga351hk8a/au/pine/,2025-08-24 05:51:59,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 265/60R18 110H Maxclaw A/T Winrun,723.81,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-110h-maxclaw-a-t-winrun/p/fb6g8686b1/au/pine/,2025-08-24 05:52:10,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 18 Wrangler Workhorse AT 265/60R18 110H,1201.09,https://www.magazineluiza.com.br/pneu-goodyear-aro-18-wrangler-workhorse-at-265-60r18-110h/p/kb7j1ce4e7/au/aupa/,2025-08-24 05:52:22,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 18 Scorpion All Terrain Plus 265/60R18 110H Letra Branca,1172.86,https://www.magazineluiza.com.br/pneu-pirelli-aro-18-scorpion-all-terrain-plus-265-60r18-110h-letra-branca/p/gec11jgj74/au/aupa/,2025-08-24 05:52:34,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 265/60R18 110T Dueler H/T 684II Ecopia Bridgestone,1040.88,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-110t-dueler-h-t-684ii-ecopia-bridgestone/p/gef34kf2fc/au/pine/,2025-08-24 05:52:45,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 265/60 R18 110T CrossContact Atr,1125.67,https://www.magazineluiza.com.br/pneu-continental-265-60-r18-110t-crosscontact-atr/p/fj3gh80kch/au/pine/,2025-08-24 05:52:57,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60 R18 L200 Triton Hilux Amarok Trailblazer,550.97,https://www.magazineluiza.com.br/pneu-265-60-r18-l200-triton-hilux-amarok-trailblazer-import-black/p/abak4g10cd/au/kecr/,2025-08-24 05:53:08,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60 R18 Longway Aro 18 Ideal para SUV e Off-Road,592.86,https://www.magazineluiza.com.br/pneu-265-60-r18-longway-aro-18-ideal-para-suv-e-off-road/p/bc2g5bae23/au/aupa/,2025-08-24 05:53:20,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 18"" 265/60R18 Continental 110T CrossContact ATR",1059.9,https://www.magazineluiza.com.br/pneu-18-265-60r18-continental-110t-crosscontact-atr/p/238760100/au/pine/,2025-08-24 05:53:30,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60 R18 Longway Solução Ideal para SUVs e Off-Road,592.86,https://www.magazineluiza.com.br/pneu-265-60-r18-longway-solucao-ideal-para-suvs-e-off-road/p/kd5f8j0224/au/aupa/,2025-08-24 05:53:43,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion AT+ 265/60 R18 AT Aro 18 110H OWL,955.21,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-at-265-60-r18-at-aro-18-110h-owl/p/fe4j88k59d/au/aupa/,2025-08-24 05:53:53,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/60R18 114/110S - Letras Brancas,1037.22,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-60r18-114-110s-letras-brancas/p/hj38573gfh/au/pine/,2025-08-24 05:54:30,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 265 60R18 Catchfors A T II Windforce LT 10PR 119 116S,839.8,https://www.magazineluiza.com.br/pneu-aro-18-265-60r18-catchfors-a-t-ii-windforce-lt-10pr-119-116s/p/bdef0eb37e/au/pine/,2025-08-24 05:54:49,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum by Continental Aro 18 Bravuris AT 265/60R18 110H,856.14,https://www.magazineluiza.com.br/pneu-barum-by-continental-aro-18-bravuris-at-265-60r18-110h/p/fe0dechech/au/aupa/,2025-08-24 05:55:00,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/60R18 Bridgestone Dueler HT 684 II 110H Aro 18,1230.05,https://www.magazineluiza.com.br/pneu-265-60r18-bridgestone-dueler-ht-684-ii-110h-aro-18/p/aak83j7fgh/au/pine/,2025-08-24 05:55:13,265/60R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
