titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Bfgoodrich 265/65 R17 120/117s All-Terrain T/A Ko2 Lre,1610.66,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/p/fgab0e63h1/au/pine/,2025-08-22 06:18:56,265/65R17,bfgoodrich,,16954310169.54,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/pneugreen/16030497706/33bad6d2cb082e553089b276e3e0d5e3.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/65 R17 116/113S LT All-Terrain T/A KO3,2434.5,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/p/jhjdk361ff/au/aupa/,2025-08-22 06:19:03,265/65R17,bfgoodrich,,24345010243.45,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/pneugreen/2467/782dda4db71173aa710300725ba676d0.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Bfgoodrich 265/65 R17 120/117s All-Terrain T/A Ko2 Lre,1610.66,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/p/fgab0e63h1/au/pine/,2025-08-22 06:19:50,265/65R17,bfgoodrich,,16954310169.54,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/pneugreen/16030497706/33bad6d2cb082e553089b276e3e0d5e3.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/65 R17 116/113S LT All-Terrain T/A KO3,2434.5,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/p/jhjdk361ff/au/aupa/,2025-08-22 06:19:56,265/65R17,bfgoodrich,,24345010243.45,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/pneugreen/2467/782dda4db71173aa710300725ba676d0.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/65 R17 116/113S LT All-Terrain T/A KO3,2434.5,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/p/jhjdk361ff/au/aupa/?seller_id=pneugreen,2025-08-22 06:20:15,265/65R17,bfgoodrich,,32814921156.26,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/pneugreen/2467/782dda4db71173aa710300725ba676d0.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Bfgoodrich 265/65 R17 120/117s All-Terrain T/A Ko2 Lre,1610.66,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/p/fgab0e63h1/au/pine/?seller_id=pneugreen,2025-08-22 06:20:19,265/65R17,bfgoodrich,,1695.43,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/pneugreen/16030497706/33bad6d2cb082e553089b276e3e0d5e3.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Bfgoodrich 265/65 R17 120/117s All-Terrain T/A Ko2 Lre,1610.66,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/p/fgab0e63h1/au/pine/,2025-08-22 06:20:42,265/65R17,bfgoodrich,,16954310169.54,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/pneugreen/16030497706/33bad6d2cb082e553089b276e3e0d5e3.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/65 R17 116/113S LT All-Terrain T/A KO3,2434.5,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/p/jhjdk361ff/au/aupa/,2025-08-22 06:20:47,265/65R17,bfgoodrich,,24345010243.45,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/pneugreen/2467/782dda4db71173aa710300725ba676d0.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Bfgoodrich 265/65 R17 120/117s All-Terrain T/A Ko2 Lre,1610.66,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/p/fgab0e63h1/au/pine/?seller_id=pneugreen,2025-08-22 06:21:07,265/65R17,bfgoodrich,,1695.43,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-120-117s-all-terrain-t-a-ko2-lre/pneugreen/16030497706/33bad6d2cb082e553089b276e3e0d5e3.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu BFGoodrich 265/65 R17 116/113S LT All-Terrain T/A KO3,2434.5,https://www.magazineluiza.com.br/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/p/jhjdk361ff/au/aupa/?seller_id=pneugreen,2025-08-22 06:21:11,265/65R17,bfgoodrich,,32814921156.26,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-265-65-r17-116-113s-lt-all-terrain-t-a-ko3/pneugreen/2467/782dda4db71173aa710300725ba676d0.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
