titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 265/65R17 Bridgestone Dueler H/T 684 II 112S,1319.98,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-h-t-684-ii-112s/p/cce9g205fb/au/pine/,2025-08-29 04:36:09,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112S Dueler H/T 684 II Bridgestone,1443.48,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112s-dueler-h-t-684-ii-bridgestone/p/jg46hk54k6/au/aupa/,2025-08-29 04:36:20,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 II 265/65R17 112S,1216.5,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-ii-265-65r17-112s/p/bk1b1156da/au/aupa/,2025-08-29 04:36:30,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Bridgestone Dueler HT 684 II 112S Aro 17,1419.01,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-ht-684-ii-112s-aro-17/p/hk79b1kh4h/au/aupa/,2025-08-29 04:36:41,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone,1426.86,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone/p/hh713j5a6b/au/pine/,2025-08-29 04:36:53,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone + Bico Valvula TR414,1429.56,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone-bico-valvula-tr414/p/ee1jgh72fe/au/pine/,2025-08-29 04:37:14,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Bridgestone Dueler H/T 684 II 112S,1319.98,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-h-t-684-ii-112s/p/cce9g205fb/au/pine/,2025-08-29 04:37:55,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112S Dueler H/T 684 II Bridgestone,1443.48,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112s-dueler-h-t-684-ii-bridgestone/p/jg46hk54k6/au/aupa/,2025-08-29 04:38:05,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 II 265/65R17 112S,1216.5,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-ii-265-65r17-112s/p/bk1b1156da/au/aupa/,2025-08-29 04:38:15,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Bridgestone Dueler HT 684 II 112S Aro 17,1419.01,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-ht-684-ii-112s-aro-17/p/hk79b1kh4h/au/aupa/,2025-08-29 04:38:26,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone,1426.86,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone/p/hh713j5a6b/au/pine/,2025-08-29 04:38:37,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone + Bico Valvula TR414,1429.56,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone-bico-valvula-tr414/p/ee1jgh72fe/au/pine/,2025-08-29 04:38:59,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Bridgestone Dueler H/T 684 II 112S,1319.98,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-h-t-684-ii-112s/p/cce9g205fb/au/pine/,2025-08-29 04:39:42,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112S Dueler H/T 684 II Bridgestone,1443.48,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112s-dueler-h-t-684-ii-bridgestone/p/jg46hk54k6/au/aupa/,2025-08-29 04:39:52,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Bridgestone Aro 17 Dueler H/T 684 II 265/65R17 112S,1216.5,https://www.magazineluiza.com.br/pneu-bridgestone-aro-17-dueler-h-t-684-ii-265-65r17-112s/p/bk1b1156da/au/aupa/,2025-08-29 04:40:03,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Bridgestone Dueler HT 684 II 112S Aro 17,1419.01,https://www.magazineluiza.com.br/pneu-265-65r17-bridgestone-dueler-ht-684-ii-112s-aro-17/p/hk79b1kh4h/au/aupa/,2025-08-29 04:40:14,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone,1426.86,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone/p/hh713j5a6b/au/pine/,2025-08-29 04:40:27,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Landcruiser 265/65r17 112s Dueler Ht 684 II Bridgestone + Bico Valvula TR414,1429.56,https://www.magazineluiza.com.br/pneu-landcruiser-265-65r17-112s-dueler-ht-684-ii-bridgestone-bico-valvula-tr414/p/ee1jgh72fe/au/pine/,2025-08-29 04:40:50,265/65R17,bridgestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
