titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 265/65R17 112S Grandtek AT5,1199.2,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtek-at5/p/ef9h54eh0k/au/pine/,2025-08-29 09:46:58,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jah9j3687c/au/pine/,2025-08-29 09:47:10,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/eca3c7jkkf/au/pine/,2025-08-29 09:47:21,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/ga0k6hjd8k/au/pine/,2025-08-29 09:47:31,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/cg2ba27jcj/au/pine/,2025-08-29 09:47:42,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jk0h793775/au/pine/,2025-08-29 09:47:53,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S Grandtek AT5,1199.2,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtek-at5/p/ef9h54eh0k/au/pine/,2025-08-29 09:48:44,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jah9j3687c/au/pine/,2025-08-29 09:48:55,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/eca3c7jkkf/au/pine/,2025-08-29 09:49:06,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/ga0k6hjd8k/au/pine/,2025-08-29 09:49:17,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/cg2ba27jcj/au/pine/,2025-08-29 09:49:27,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jk0h793775/au/pine/,2025-08-29 09:49:38,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S Grandtek AT5,1199.2,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtek-at5/p/ef9h54eh0k/au/pine/,2025-08-29 09:50:34,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jah9j3687c/au/pine/,2025-08-29 09:50:46,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/eca3c7jkkf/au/pine/,2025-08-29 09:50:57,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/ga0k6hjd8k/au/pine/,2025-08-29 09:51:07,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/cg2ba27jcj/au/pine/,2025-08-29 09:51:18,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 265/65R17 112S GRANDTREK AT5,1569.64,https://www.magazineluiza.com.br/pneu-dunlop-265-65r17-112s-grandtrek-at5/p/jk0h793775/au/pine/,2025-08-29 09:51:28,265/65R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
