titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17” Firestone 265/65R17 112H,1054.49,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65r17-112h-destination-h-t/p/227258300/au/aupa/,2025-08-23 15:38:03,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Firestone 265/65 R17 112H Destination H/T,1117.78,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65-r17-112h-destination-h-t/p/gh5da2d2hk/au/pine/,2025-08-23 15:38:15,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 Destination H/T 265/65R17 112H,1059.93,https://www.magazineluiza.com.br/pneu-firestone-aro-17-destination-h-t-265-65r17-112h/p/efc9e28b18/au/aupa/,2025-08-23 15:38:25,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Destination H/T Firestone,1193.7,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-destination-h-t-firestone/p/gegf0k108j/au/aupa/,2025-08-23 15:38:37,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hilux Ranger Pajero 265/65r17 112H Tubeless Destination Ht Firestone,1256.74,https://www.magazineluiza.com.br/pneu-hilux-ranger-pajero-265-65r17-112h-tubeless-destination-ht-firestone/p/ef0a7865he/au/pine/,2025-08-23 15:38:50,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 265/65R17 Destination HT 112H,1368.24,https://www.magazineluiza.com.br/pneu-firestone-aro-17-265-65r17-destination-ht-112h/p/akgjd983ak/au/aupa/,2025-08-23 15:39:00,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination H/T 112H,1221.95,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-h-t-112h/p/ahb1bb570b/au/aupa/,2025-08-23 15:39:10,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination HT 112H Aro 17,1199.01,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-ht-112h-aro-17/p/kgca5fc1fh/au/aupa/,2025-08-23 15:39:21,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17” Firestone 265/65R17 112H,1054.49,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65r17-112h-destination-h-t/p/227258300/au/aupa/,2025-08-23 15:39:54,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Firestone 265/65 R17 112H Destination H/T,1117.78,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65-r17-112h-destination-h-t/p/gh5da2d2hk/au/pine/,2025-08-23 15:40:07,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 Destination H/T 265/65R17 112H,1059.93,https://www.magazineluiza.com.br/pneu-firestone-aro-17-destination-h-t-265-65r17-112h/p/efc9e28b18/au/aupa/,2025-08-23 15:40:18,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Destination H/T Firestone,1193.7,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-destination-h-t-firestone/p/gegf0k108j/au/aupa/,2025-08-23 15:40:32,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hilux Ranger Pajero 265/65r17 112H Tubeless Destination Ht Firestone,1256.74,https://www.magazineluiza.com.br/pneu-hilux-ranger-pajero-265-65r17-112h-tubeless-destination-ht-firestone/p/ef0a7865he/au/pine/,2025-08-23 15:40:44,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 265/65R17 Destination HT 112H,1368.24,https://www.magazineluiza.com.br/pneu-firestone-aro-17-265-65r17-destination-ht-112h/p/akgjd983ak/au/aupa/,2025-08-23 15:40:56,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination H/T 112H,1221.95,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-h-t-112h/p/ahb1bb570b/au/aupa/,2025-08-23 15:41:07,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination HT 112H Aro 17,1199.01,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-ht-112h-aro-17/p/kgca5fc1fh/au/aupa/,2025-08-23 15:41:18,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17” Firestone 265/65R17 112H,1054.49,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65r17-112h-destination-h-t/p/227258300/au/aupa/,2025-08-23 15:41:52,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Firestone 265/65 R17 112H Destination H/T,1117.78,https://www.magazineluiza.com.br/pneu-aro-17-firestone-265-65-r17-112h-destination-h-t/p/gh5da2d2hk/au/pine/,2025-08-23 15:42:04,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 Destination H/T 265/65R17 112H,1059.93,https://www.magazineluiza.com.br/pneu-firestone-aro-17-destination-h-t-265-65r17-112h/p/efc9e28b18/au/aupa/,2025-08-23 15:42:15,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Destination H/T Firestone,1193.7,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-destination-h-t-firestone/p/gegf0k108j/au/aupa/,2025-08-23 15:42:28,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hilux Ranger Pajero 265/65r17 112H Tubeless Destination Ht Firestone,1256.74,https://www.magazineluiza.com.br/pneu-hilux-ranger-pajero-265-65r17-112h-tubeless-destination-ht-firestone/p/ef0a7865he/au/pine/,2025-08-23 15:42:42,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 17 265/65R17 Destination HT 112H,1368.24,https://www.magazineluiza.com.br/pneu-firestone-aro-17-265-65r17-destination-ht-112h/p/akgjd983ak/au/aupa/,2025-08-23 15:42:53,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination H/T 112H,1221.95,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-h-t-112h/p/ahb1bb570b/au/aupa/,2025-08-23 15:43:04,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 Firestone Destination HT 112H Aro 17,1199.01,https://www.magazineluiza.com.br/pneu-265-65r17-firestone-destination-ht-112h-aro-17/p/kgca5fc1fh/au/aupa/,2025-08-23 15:43:15,265/65R17,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
