titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Barum by Continental Aro 16 Bravuris AT 265/70R16 112T,826.96,https://www.magazineluiza.com.br/pneu-barum-by-continental-aro-16-bravuris-at-265-70r16-112t/p/cecgb8jbfe/au/aupa/,2025-08-22 08:57:05,265/70R16,continental,,982.62,True,https://a-static.mlcdn.com.br/280x210/pneu-barum-by-continental-aro-16-bravuris-at-265-70r16-112t/pneustore/16003110/6012609b7977f6a5630bbe325f4344c3.jpeg,magazineluiza,,True,21,2.0,PneuStore,False,,,
"Pneu Aro 16"" 265/70R16 XBRI 112T Forza A/T",719.9,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-xbri-112t-forza-a-t/p/240041300/au/pine/,2025-08-22 08:57:16,265/70R16,,,959.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-265-70r16-xbri-112t-forza-a-t/magazineluiza/240041300/4974b11d8ccaec7e78c8c39cbd33824d.jpg,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 265/70R16 Goodyear 112H SUV 2 Direction 2,999.9,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-goodyear-112h-suv-2-direction-2/p/236570000/au/pine/,2025-08-22 08:57:27,265/70R16,goodyear,direction,1059.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-265-70r16-goodyear-112h-suv-2-direction-2/magazineluiza/236570000/5506c099792154f984e71559398df03d.jpg,magazineluiza,,True,21,8.0,magazineluiza,False,,,
Pneu Aro 16” Goodyear 265/70R16 112H Direction SUV,949.91,https://www.magazineluiza.com.br/pneu-aro-16-goodyear-265-70r16-112h-direction-suv/p/031601300/au/aupa/,2025-08-22 08:57:37,265/70R16,goodyear,direction,1115.68,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-goodyear-265-70r16-112h-direction-suv/magazineluiza/031601300/8d19fc2b5d623fd6e44cbc8a55573c78.jpg,magazineluiza,,True,51,8.0,magazineluiza,False,,,
Pneu Aro 16” Durable 265/70R16 112T Rebok H/T,750.49,https://www.magazineluiza.com.br/pneu-aro-16-durable-265-70r16-112t-rebok-h-t/p/231134100/au/aupa/,2025-08-22 08:57:48,265/70R16,,,926.21,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-durable-265-70r16-112t-rebok-h-t/magazineluiza/231134100/cb23643c4972cdac8506e56481d1bb8a.jpg,magazineluiza,,True,35,7.0,magazineluiza,False,,,
Pneu Aro 16” 265/70R16 Firestone 112T,1035.49,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-firestone-112t-destination-h-t/p/227258400/au/aupa/,2025-08-22 08:58:00,265/70R16,firestone,,1119.99,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-265-70r16-firestone-112t-destination-h-t/magazineluiza/227258400/bb599863f8058dc971fc1f70ba89d05c.jpg,magazineluiza,,True,10,9.0,magazineluiza,False,,,
Pneu Dewostone Aro 16 265/70R16 WR9086A 112T,1164.11,https://www.magazineluiza.com.br/pneu-dewostone-aro-16-265-70r16-wr9086a-112t/p/bd6bce1c9a/au/aupa/,2025-08-22 08:58:05,265/70R16,,,12253810122.54,True,https://a-static.mlcdn.com.br/280x210/pneu-dewostone-aro-16-265-70r16-wr9086a-112t/lemanspneusstore/2657016ds/8bd70c17656c2acdc909d52fb645d5f5.jpeg,magazineluiza,,True,1,0.0,Lemans Pneus Store,False,,,
Pneu Hankook 265/70 R16 112T Dynapro At2 Rf11,1126.99,https://www.magazineluiza.com.br/pneu-hankook-265-70-r16-112t-dynapro-at2-rf11/p/ccgk8c5f9b/au/aupa/,2025-08-22 08:58:11,265/70R16,hankook,,1361.04,True,https://a-static.mlcdn.com.br/280x210/pneu-hankook-265-70-r16-112t-dynapro-at2-rf11/autoloja/1194/773747349582ce60d1521702ef38f8d9.jpeg,magazineluiza,,True,1,0.0,Auto Loja,False,,,
Pneu Aptany Aro 16 265/70 R16 112S RU007 A/T !,745.89,https://www.magazineluiza.com.br/pneu-aptany-aro-16-265-70-r16-112s-ru007-a-t/p/hejdb46188/au/aupa/,2025-08-22 08:58:14,265/70R16,,,1009.76,True,https://a-static.mlcdn.com.br/280x210/pneu-aptany-aro-16-265-70-r16-112s-ru007-a-t/autoloja/815p/cf9e7b84d5d413be172b587350addf3c.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 16 Xbri 265/70 R16 112T TL Forza F2 AT,895.35,https://www.magazineluiza.com.br/pneu-aro-16-xbri-265-70-r16-112t-tl-forza-f2-at/p/jf97jca4b8/au/aupa/,2025-08-22 08:58:17,265/70R16,,,942471094.25,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-xbri-265-70-r16-112t-tl-forza-f2-at/pneugreen/2463/6d0d57db3564bfd957ab8baaebb5bbe2.jpeg,magazineluiza,,True,32,7.0,Pneugreen,False,,,
