titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17 Bfgoodrich 265/70 R17 115T Trail Terrain TA,2050.56,https://www.magazineluiza.com.br/pneu-aro-17-bfgoodrich-265-70-r17-115t-trail-terrain-ta/p/gf80fdc28h/au/pine/,2025-08-22 06:29:28,265/70R17,bfgoodrich,,2121.27,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-bfgoodrich-265-70-r17-115t-trail-terrain-ta/pneugreen/1077/995c9cd31853fa5ed53bac072fe2d3d1.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu 265/70R17 BF Goodrich Mud Terrain KM3 121/118Q,3370.7,https://www.magazineluiza.com.br/pneu-265-70r17-bf-goodrich-mud-terrain-km3-121-118q/p/ca84004d9d/au/aupa/,2025-08-22 06:29:30,265/70R17,,,35481110354.81,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70r17-bf-goodrich-mud-terrain-km3-121-118q/pneustyres/673948/f3894c6d6eb0b016b50fd0bdf4a62685.jpeg,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu bfgoodrich aro 17 trail-terrain t/a 265/70r17 115t tl orwl,1860.96,https://www.magazineluiza.com.br/pneu-bfgoodrich-aro-17-trail-terrain-t-a-265-70r17-115t-tl-orwl/p/dg0j9c8hfb/au/pine/,2025-08-22 06:29:36,265/70R17,bfgoodrich,,2499.9,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-aro-17-trail-terrain-t-a-265-70r17-115t-tl-orwl/maniavirtual/9038158-01/d0ad2e90723e49e5519daf5a66c21068.jpeg,magazineluiza,,True,1,0.0,Mania Virtual,False,,,
Pneu bfgoodrich aro 17 trail-terrain t/a 265/70r17 115t tl o,1958.9,https://www.magazineluiza.com.br/pneu-bfgoodrich-aro-17-trail-terrain-t-a-265-70r17-115t-tl-o/p/kh6jdfab73/au/aupa/,2025-08-22 06:29:39,265/70R17,bfgoodrich,,2499.9,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-aro-17-trail-terrain-t-a-265-70r17-115t-tl-o/aquipneu/9038158-01/239b1228389886b9d9df717aed92a9c3.jpeg,magazineluiza,,True,1,0.0,Aqui Pneus,False,,,
"265/70 r17 115t tl trail-terrain t/a orwl go
1.0 (1)
R$ 2.184,90 em 10x de R$ 218,49 no Cartão Magalu
2184.90 em 10 vezes de R$ 218,49 no Cartão Magalu
ou R$ 2.184,90
no Pix",2184.9,https://www.magazineluiza.com.br/265-70-r17-115t-tl-trail-terrain-t-a-orwl-go-bfgoodrich/p/cd5c375e50/au/aupa/,2025-08-22 06:29:43,265/70R17,,,21849010218.49,True,https://a-static.mlcdn.com.br/280x210/265-70-r17-115t-tl-trail-terrain-t-a-orwl-go-bfgoodrich/tecpneus/6029p/ff1aa65ef8b3622da4fd609f36af1923.jpeg,magazineluiza,,True,1,0.0,Tec Pneus,False,,,
Pneu 265/70R17LT BF Goodrich All Terrain KO3 RWL 123/120S,2889.61,https://www.magazineluiza.com.br/pneu-265-70r17lt-bf-goodrich-all-terrain-ko3-rwl-123-120s/p/dc1ck1a150/au/pine/,2025-08-22 06:29:45,265/70R17,,,30416910304.17,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70r17lt-bf-goodrich-all-terrain-ko3-rwl-123-120s/pneustyres/3791451/c564a26f26e0f2171216300d0ffb5b04.jpeg,magazineluiza,,True,0,0.0,Pneustyres,False,,,
Pneu Aro 17 Chengshan 265/70 R17 115T CSC-302 All Terrain,829.91,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-265-70-r17-115t-csc-302-all-terrain/p/jb7830fba6/au/aupa/,2025-08-22 06:29:50,265/70R17,,,912.62,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-chengshan-265-70-r17-115t-csc-302-all-terrain/pneugreen/1888/6017a8d149072673bd9ce2d0573b8a78.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu 265/70R17 BFGoodrich Mud Terrain KM3 121/118Q,3403.08,https://www.magazineluiza.com.br/pneu-265-70r17-bfgoodrich-mud-terrain-km3-121-118q/p/he317181fd/au/aupa/,2025-08-22 06:29:54,265/70R17,bfgoodrich,,36990010369.9,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70r17-bfgoodrich-mud-terrain-km3-121-118q/lojaacheipneus/994213-994215/b58393d12c1c13b5a86267d09f89fd1d.jpeg,magazineluiza,,True,0,0.0,Achei Pneus,False,,,
Pneu bfgoodrich aro 17 all terrain t/a ko2 rwl lt 265/70r17,2999.9,https://www.magazineluiza.com.br/pneu-bfgoodrich-aro-17-all-terrain-t-a-ko2-rwl-lt-265-70r17/p/hh0974eejf/au/aupa/,2025-08-22 06:29:59,265/70R17,bfgoodrich,,29999021142.85,True,https://a-static.mlcdn.com.br/280x210/pneu-bfgoodrich-aro-17-all-terrain-t-a-ko2-rwl-lt-265-70r17/aquipneu/9023777-01/04250e284246fff16a7c9ad9d7d3e515.jpeg,magazineluiza,,True,0,0.0,Aqui Pneus,False,,,
Pneu Comforser Aro 17 265/70 R17 115T CF1100 All Terrain,1131.17,https://www.magazineluiza.com.br/pneu-comforser-aro-17-265-70-r17-115t-cf1100-all-terrain/p/cca14140af/au/pine/,2025-08-22 06:30:01,265/70R17,,,11311710113.12,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-17-265-70-r17-115t-cf1100-all-terrain/deck55/pn00263/78fce8e6dfcce814b3dd26fa9833e2a9.jpeg,magazineluiza,,True,0,0.0,Deck 55,False,,,
