titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Hankook Aro 17 265/65 R17 XL 112T Dynapro A/T2 Xtreme RF12,1286.45,https://www.magazineluiza.com.br/pneu-hankook-aro-17-265-65-r17-xl-112t-dynapro-a-t2-xtreme-rf12/p/dg03ea610k/au/aupa/,2025-08-29 18:26:31,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 112T Hankook Dynapro RF10 Aro 17,1150.0,https://www.magazineluiza.com.br/pneu-265-65r17-112t-hankook-dynapro-rf10-aro-17/p/dek36b8jb6/au/aupa/,2025-08-29 18:26:43,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112T Hankook Dynapro AT2 RF11,1400.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112t-hankook-dynapro-at2-rf11/p/aj23dkh4e8/au/aupa/,2025-08-29 18:26:54,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Hankook Dynapro Hp2 Ra33,1600.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-hankook-dynapro-hp2-ra33/p/jd8gbc053f/au/pine/,2025-08-29 18:27:04,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 17 265/65 R17 XL 112T Dynapro A/T2 Xtreme RF12,1286.45,https://www.magazineluiza.com.br/pneu-hankook-aro-17-265-65-r17-xl-112t-dynapro-a-t2-xtreme-rf12/p/dg03ea610k/au/aupa/,2025-08-29 18:27:55,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 112T Hankook Dynapro RF10 Aro 17,1150.0,https://www.magazineluiza.com.br/pneu-265-65r17-112t-hankook-dynapro-rf10-aro-17/p/dek36b8jb6/au/aupa/,2025-08-29 18:28:08,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112T Hankook Dynapro AT2 RF11,1400.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112t-hankook-dynapro-at2-rf11/p/aj23dkh4e8/au/aupa/,2025-08-29 18:28:18,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Hankook Dynapro Hp2 Ra33,1600.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-hankook-dynapro-hp2-ra33/p/jd8gbc053f/au/pine/,2025-08-29 18:28:29,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 17 265/65 R17 XL 112T Dynapro A/T2 Xtreme RF12,1286.45,https://www.magazineluiza.com.br/pneu-hankook-aro-17-265-65-r17-xl-112t-dynapro-a-t2-xtreme-rf12/p/dg03ea610k/au/aupa/,2025-08-29 18:29:23,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R17 112T Hankook Dynapro RF10 Aro 17,1150.0,https://www.magazineluiza.com.br/pneu-265-65r17-112t-hankook-dynapro-rf10-aro-17/p/dek36b8jb6/au/aupa/,2025-08-29 18:29:35,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112T Hankook Dynapro AT2 RF11,1400.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112t-hankook-dynapro-at2-rf11/p/aj23dkh4e8/au/aupa/,2025-08-29 18:29:45,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 265/65R17 112H Hankook Dynapro Hp2 Ra33,1600.0,https://www.magazineluiza.com.br/pneu-aro-17-265-65r17-112h-hankook-dynapro-hp2-ra33/p/jd8gbc053f/au/pine/,2025-08-29 18:29:56,265/65R17,hankook,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
