titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 17 265/65 r17 roadcruza ra1100 at 112s letra branca,1363.2,https://www.magazineluiza.com.br/pneu-aro-17-265-65-r17-roadcruza-ra1100-at-112s-letra-branca/p/hgkfb384g5/au/pine/,2025-08-30 02:18:34,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Roadcruza 265/65 R17 10pr 120/117s Ra1100,1152.9,https://www.magazineluiza.com.br/pneu-aro-17-roadcruza-265-65-r17-10pr-120-117s-ra1100/p/aeh56af54c/au/pine/,2025-08-30 02:18:47,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Roadcruza 265/65 R17 10pr 120/117 + 1 Válvula,1209.13,https://www.magazineluiza.com.br/pneu-aro-17-roadcruza-265-65-r17-10pr-120-117-1-valvula/p/gj4cg83j93/au/aupa/,2025-08-30 02:18:57,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri Lt 265/65 R17 10pr 120/117S Tl Brutus T/A,1079.51,https://www.magazineluiza.com.br/pneu-aro-17-xbri-lt-265-65-r17-10pr-120-117s-tl-brutus-t-a/p/jf00171c98/au/aupa/,2025-08-30 02:19:08,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum 265/65 R17 112T FR Bravuris 4X4 by Continental,797.42,https://www.magazineluiza.com.br/pneu-barum-265-65-r17-112t-fr-bravuris-4x4-by-continental/p/kbjk8919cf/au/aupa/,2025-08-30 02:19:18,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r17 112t destination atx firestone,1211.16,https://www.magazineluiza.com.br/pneu-265-65-r17-112t-destination-atx-firestone/p/aef5h67fkb/au/aupa/,2025-08-30 02:19:29,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 265/65 R17 112T Scorpion HT,1175.0,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-265-65-r17-112t-scorpion-ht/p/ecekc4g5e0/au/aupa/,2025-08-30 02:19:41,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65r17 roadcruza amarok/hilux/l200/s10ltz/f250,1140.0,https://www.magazineluiza.com.br/pneu-265-65r17-roadcruza-amarok-hilux-l200-s10ltz-f250/p/jc067fk6ge/au/aupa/,2025-08-30 02:19:51,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Durable Aro 17 265/65 R17 112H Rebok A/T,993.21,https://www.magazineluiza.com.br/pneu-durable-aro-17-265-65-r17-112h-rebok-a-t/p/ee8e023e46/au/pine/,2025-08-30 02:20:02,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 265/65 R17 112T Forza H/T E1,860.4,https://www.magazineluiza.com.br/pneu-aro-17-xbri-265-65-r17-112t-forza-h-t-e1/p/bajdj87j5j/au/pine/,2025-08-30 02:20:12,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r17 bl112s dlr a/t 693 iii bridgestone,1200.13,https://www.magazineluiza.com.br/pneu-265-65-r17-bl112s-dlr-a-t-693-iii-bridgestone/p/hg5e3f7c48/au/pine/,2025-08-30 02:20:23,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Comforser Aro 17 265/65 R17 112S All Terrain CF1100,897.05,https://www.magazineluiza.com.br/pneu-comforser-aro-17-265-65-r17-112s-all-terrain-cf1100/p/dh0bae0h4k/au/pine/,2025-08-30 02:20:34,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 265/65 R17 112t Tl X Lt A/S Dt Rbl,1253.46,https://www.magazineluiza.com.br/pneu-aro-17-michelin-265-65-r17-112t-tl-x-lt-a-s-dt-rbl/p/ef51hef9h5/au/aupa/,2025-08-30 02:20:45,265/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
