titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/65R18 122/119S - Letras Brancas,1117.79,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-65r18-122-119s-letras-brancas/p/kceea67j72/au/aupa/,2025-08-24 05:43:10,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r 18 all-terrain at 122/119r sunset,1512.07,https://www.magazineluiza.com.br/pneu-265-65-r-18-all-terrain-at-122-119r-sunset/p/dh06fc5kb8/au/aupa/,2025-08-24 05:43:22,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10PR 122/119R ALL-TERRAIN T/A SUNSET,1206.5,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10pr-122-119r-all-terrain-t-a-sunset/p/ag6fe45c9d/au/aupa/,2025-08-24 05:43:47,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10 Lonas 122/119R All Terrain TA Sunset (Letras Brancas),1064.31,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10-lonas-122-119r-all-terrain-ta-sunset-letras-brancas/p/acf1ceh504/au/aupa/,2025-08-24 05:43:59,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 18 Scorpion All Terrain Plus 265/65R18 114T Letra Branca,2207.23,https://www.magazineluiza.com.br/pneu-pirelli-aro-18-scorpion-all-terrain-plus-265-65r18-114t-letra-branca/p/kc3f3f6ck1/au/aupa/,2025-08-24 05:44:11,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sunset Aro 18 265/65R18 All-Terrain T/A 10 Lonas 122/119R,1444.23,https://www.magazineluiza.com.br/pneu-sunset-aro-18-265-65r18-all-terrain-t-a-10-lonas-122-119r/p/ak0dch8aj7/au/pine/,2025-08-24 05:44:21,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/65R18 122/119S - Letras Brancas,1117.79,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-65r18-122-119s-letras-brancas/p/kceea67j72/au/aupa/,2025-08-24 05:44:55,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r 18 all-terrain at 122/119r sunset,1512.07,https://www.magazineluiza.com.br/pneu-265-65-r-18-all-terrain-at-122-119r-sunset/p/dh06fc5kb8/au/aupa/,2025-08-24 05:45:07,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10PR 122/119R ALL-TERRAIN T/A SUNSET,1206.5,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10pr-122-119r-all-terrain-t-a-sunset/p/ag6fe45c9d/au/aupa/,2025-08-24 05:45:31,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10 Lonas 122/119R All Terrain TA Sunset (Letras Brancas),1064.31,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10-lonas-122-119r-all-terrain-ta-sunset-letras-brancas/p/acf1ceh504/au/aupa/,2025-08-24 05:45:44,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 18 Scorpion All Terrain Plus 265/65R18 114T Letra Branca,2207.23,https://www.magazineluiza.com.br/pneu-pirelli-aro-18-scorpion-all-terrain-plus-265-65r18-114t-letra-branca/p/kc3f3f6ck1/au/aupa/,2025-08-24 05:45:57,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sunset Aro 18 265/65R18 All-Terrain T/A 10 Lonas 122/119R,1444.23,https://www.magazineluiza.com.br/pneu-sunset-aro-18-265-65r18-all-terrain-t-a-10-lonas-122-119r/p/ak0dch8aj7/au/pine/,2025-08-24 05:46:08,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 265/65R18 122/119S - Letras Brancas,1117.79,https://www.magazineluiza.com.br/pneu-speedmax-prime-aro-18-pangea-all-terrain-265-65r18-122-119s-letras-brancas/p/kceea67j72/au/aupa/,2025-08-24 05:46:46,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65 r 18 all-terrain at 122/119r sunset,1512.07,https://www.magazineluiza.com.br/pneu-265-65-r-18-all-terrain-at-122-119r-sunset/p/dh06fc5kb8/au/aupa/,2025-08-24 05:46:59,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10PR 122/119R ALL-TERRAIN T/A SUNSET,1206.5,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10pr-122-119r-all-terrain-t-a-sunset/p/ag6fe45c9d/au/aupa/,2025-08-24 05:47:23,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/65R18 LT 10 Lonas 122/119R All Terrain TA Sunset (Letras Brancas),1064.31,https://www.magazineluiza.com.br/pneu-265-65r18-lt-10-lonas-122-119r-all-terrain-ta-sunset-letras-brancas/p/acf1ceh504/au/aupa/,2025-08-24 05:47:36,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 18 Scorpion All Terrain Plus 265/65R18 114T Letra Branca,2207.23,https://www.magazineluiza.com.br/pneu-pirelli-aro-18-scorpion-all-terrain-plus-265-65r18-114t-letra-branca/p/kc3f3f6ck1/au/aupa/,2025-08-24 05:47:49,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sunset Aro 18 265/65R18 All-Terrain T/A 10 Lonas 122/119R,1444.23,https://www.magazineluiza.com.br/pneu-sunset-aro-18-265-65r18-all-terrain-t-a-10-lonas-122-119r/p/ak0dch8aj7/au/pine/,2025-08-24 05:48:01,265/65R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
