titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 265 70 R16 112q Mt2 Dunlop Cod.ref. Hilux Pajero L200 126008,1377.34,https://www.magazineluiza.com.br/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/p/cfb95082ae/au/pine/,2025-08-22 10:11:12,265/70R16,dunlop,,1452.47,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/pneusonline/10472129001047-308-126008/f93341529b90f5ae17c7a1f022f0443e.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu dunlop 265/70r16 112q grandtrek mt2,1754.44,https://www.magazineluiza.com.br/pneu-dunlop-265-70r16-112q-grandtrek-mt2/p/cga4gkaf4b/au/pine/,2025-08-22 10:11:25,265/70R16,dunlop,,17544410175.44,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-265-70r16-112q-grandtrek-mt2/showpneuserodas/novo34/5757b8a3e5759b719530414c743d5b25.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 265 70 R16 112q Mt2 Dunlop Cod.ref. Hilux Pajero L200 126008,1377.34,https://www.magazineluiza.com.br/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/p/cfb95082ae/au/pine/,2025-08-22 10:11:55,265/70R16,dunlop,,1452.47,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/pneusonline/10472129001047-308-126008/f93341529b90f5ae17c7a1f022f0443e.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu dunlop 265/70r16 112q grandtrek mt2,1754.44,https://www.magazineluiza.com.br/pneu-dunlop-265-70r16-112q-grandtrek-mt2/p/cga4gkaf4b/au/pine/,2025-08-22 10:12:03,265/70R16,dunlop,,17544410175.44,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-265-70r16-112q-grandtrek-mt2/showpneuserodas/novo34/5757b8a3e5759b719530414c743d5b25.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu dunlop 265/70r16 112q grandtrek mt2,1754.44,https://www.magazineluiza.com.br/pneu-dunlop-265-70r16-112q-grandtrek-mt2/p/cga4gkaf4b/au/pine/?seller_id=showpneuserodas,2025-08-22 10:12:11,265/70R16,dunlop,,17544410175.44,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-265-70r16-112q-grandtrek-mt2/showpneuserodas/novo34/5757b8a3e5759b719530414c743d5b25.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 265 70 R16 112q Mt2 Dunlop Cod.ref. Hilux Pajero L200 126008,1377.34,https://www.magazineluiza.com.br/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/p/cfb95082ae/au/pine/?seller_id=pneusonline,2025-08-22 10:12:16,265/70R16,dunlop,,1452.47,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/pneusonline/10472129001047-308-126008/f93341529b90f5ae17c7a1f022f0443e.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu 265 70 R16 112q Mt2 Dunlop Cod.ref. Hilux Pajero L200 126008,1377.34,https://www.magazineluiza.com.br/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/p/cfb95082ae/au/pine/,2025-08-22 10:12:41,265/70R16,dunlop,,1452.47,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/pneusonline/10472129001047-308-126008/f93341529b90f5ae17c7a1f022f0443e.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu dunlop 265/70r16 112q grandtrek mt2,1754.44,https://www.magazineluiza.com.br/pneu-dunlop-265-70r16-112q-grandtrek-mt2/p/cga4gkaf4b/au/pine/,2025-08-22 10:12:48,265/70R16,dunlop,,17544410175.44,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-265-70r16-112q-grandtrek-mt2/showpneuserodas/novo34/5757b8a3e5759b719530414c743d5b25.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu dunlop 265/70r16 112q grandtrek mt2,1754.44,https://www.magazineluiza.com.br/pneu-dunlop-265-70r16-112q-grandtrek-mt2/p/cga4gkaf4b/au/pine/?seller_id=showpneuserodas,2025-08-22 10:12:54,265/70R16,dunlop,,17544410175.44,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-265-70r16-112q-grandtrek-mt2/showpneuserodas/novo34/5757b8a3e5759b719530414c743d5b25.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu 265 70 R16 112q Mt2 Dunlop Cod.ref. Hilux Pajero L200 126008,1377.34,https://www.magazineluiza.com.br/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/p/cfb95082ae/au/pine/?seller_id=pneusonline,2025-08-22 10:12:58,265/70R16,dunlop,,1452.47,True,https://a-static.mlcdn.com.br/280x210/pneu-265-70-r16-112q-mt2-dunlop-cod-ref-hilux-pajero-l200-126008/pneusonline/10472129001047-308-126008/f93341529b90f5ae17c7a1f022f0443e.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
