titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Firestone Aro 16 Destination ATX 265/70R16 112T,1054.8,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-265-70r16-112t/p/kg09gka5e1/au/aupa/,2025-08-29 14:06:47,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 265/70R16 112T Destination ATX Firestone,1164.65,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-112t-destination-atx-firestone/p/ggcbjgbgd2/au/aupa/,2025-08-29 14:06:59,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX A/T 112T,1242.15,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-a-t-112t/p/ajjg64jjd1/au/aupa/,2025-08-29 14:07:10,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX 112T,1269.0,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-112t/p/dfdf40ad7j/au/pine/,2025-08-29 14:07:21,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone + Bico Valvula Tr414,1313.98,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone-bico-valvula-tr414/p/bc0859j9cb/au/aupa/,2025-08-29 14:07:32,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone,1308.85,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone/p/ja01ja5b72/au/pine/,2025-08-29 14:07:43,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/jd0j8g4dba/au/pine/,2025-08-29 14:07:53,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/hcdbgbab5c/au/pine/,2025-08-29 14:08:05,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/kfjad1jeec/au/pine/,2025-08-29 14:08:17,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/dk3905g4g9/au/pine/,2025-08-29 14:08:27,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/gha42a452c/au/pine/,2025-08-29 14:08:38,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination ATX 265/70R16 112T,1054.8,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-265-70r16-112t/p/kg09gka5e1/au/aupa/,2025-08-29 14:09:15,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 265/70R16 112T Destination ATX Firestone,1164.65,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-112t-destination-atx-firestone/p/ggcbjgbgd2/au/aupa/,2025-08-29 14:09:28,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX A/T 112T,1242.15,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-a-t-112t/p/ajjg64jjd1/au/aupa/,2025-08-29 14:09:40,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX 112T,1269.0,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-112t/p/dfdf40ad7j/au/pine/,2025-08-29 14:09:51,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone + Bico Valvula Tr414,1313.98,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone-bico-valvula-tr414/p/bc0859j9cb/au/aupa/,2025-08-29 14:10:03,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone,1308.85,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone/p/ja01ja5b72/au/pine/,2025-08-29 14:10:14,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/jd0j8g4dba/au/pine/,2025-08-29 14:10:25,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/hcdbgbab5c/au/pine/,2025-08-29 14:10:38,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/kfjad1jeec/au/pine/,2025-08-29 14:10:51,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/dk3905g4g9/au/pine/,2025-08-29 14:11:01,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/gha42a452c/au/pine/,2025-08-29 14:11:13,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Firestone Aro 16 Destination ATX 265/70R16 112T,1054.8,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-atx-265-70r16-112t/p/kg09gka5e1/au/aupa/,2025-08-29 14:11:51,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 265/70R16 112T Destination ATX Firestone,1164.65,https://www.magazineluiza.com.br/pneu-aro-16-265-70r16-112t-destination-atx-firestone/p/ggcbjgbgd2/au/aupa/,2025-08-29 14:12:04,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX A/T 112T,1242.15,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-a-t-112t/p/ajjg64jjd1/au/aupa/,2025-08-29 14:12:14,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70R16 Firestone Destination ATX 112T,1269.0,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx-112t/p/dfdf40ad7j/au/pine/,2025-08-29 14:12:25,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone + Bico Valvula Tr414,1313.98,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone-bico-valvula-tr414/p/bc0859j9cb/au/aupa/,2025-08-29 14:12:36,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 Destination Atx Firestone,1308.85,https://www.magazineluiza.com.br/pneu-265-70r16-destination-atx-firestone/p/ja01ja5b72/au/pine/,2025-08-29 14:12:47,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/jd0j8g4dba/au/pine/,2025-08-29 14:12:58,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/hcdbgbab5c/au/pine/,2025-08-29 14:13:10,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/kfjad1jeec/au/pine/,2025-08-29 14:13:21,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/dk3905g4g9/au/pine/,2025-08-29 14:13:32,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 265/70r16 firestone destination atx,1559.25,https://www.magazineluiza.com.br/pneu-265-70r16-firestone-destination-atx/p/gha42a452c/au/pine/,2025-08-29 14:13:44,265/70R16,firestone,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
