titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu hifly lt265/75r16 123/120r vigorous at601,780.49,https://www.magazineluiza.com.br/pneu-hifly-lt265-75r16-123-120r-vigorous-at601/p/bhcckh2jc3/au/pine/,2025-08-29 19:09:48,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 265/75 R16 10PR 123/120R Brutus T/A II,1045.12,https://www.magazineluiza.com.br/pneu-aro-16-xbri-265-75-r16-10pr-123-120r-brutus-t-a-ii/p/hb4916egg3/au/aupa/,2025-08-29 19:10:04,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Roadcruza 265/75 R16 TL 123/120S RA1100,1024.36,https://www.magazineluiza.com.br/pneu-aro-16-roadcruza-265-75-r16-tl-123-120s-ra1100/p/gecf5b69h8/md/eimt/,2025-08-29 19:10:15,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 265/75 R16 123/120S Cf1100 Comforser,1117.33,https://www.magazineluiza.com.br/pneu-aro-16-265-75-r16-123-120s-cf1100-comforser/p/bfccbe10bc/au/pine/,2025-08-29 19:10:26,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 265/75 R16 10PR TL 123/120Q Forza A/T 2,899.65,https://www.magazineluiza.com.br/pneu-aro-16-xbri-265-75-r16-10pr-tl-123-120q-forza-a-t-2/p/hb76e6c890/au/aupa/,2025-08-29 19:10:37,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 265/75 r16 xbri brutus a/t ta 10pr 123/120r letra branca,1562.09,https://www.magazineluiza.com.br/pneu-aro-16-265-75-r16-xbri-brutus-a-t-ta-10pr-123-120r-letra-branca/p/ka3h8dfec1/au/aupa/,2025-08-29 19:10:47,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sunset Aro 16 265 75 r16 116s All Terrain TA Owl,1101.66,https://www.magazineluiza.com.br/pneu-sunset-aro-16-265-75-r16-116s-all-terrain-ta-owl/p/cc818a710g/au/pine/,2025-08-29 19:10:59,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Westlake 265/75 R16 116T SU318 HT,1151.03,https://www.magazineluiza.com.br/pneu-aro-16-westlake-265-75-r16-116t-su318-ht/p/ja8k03a50j/au/aupa/,2025-08-29 19:11:10,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Durable Aro 16 265/75 R16 116T Rebok A/T,1148.17,https://www.magazineluiza.com.br/pneu-durable-aro-16-265-75-r16-116t-rebok-a-t/p/jfk6025k92/au/pine/,2025-08-29 19:11:20,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 265/75 r16 chengshan maspire mt pr10 123/120q letra branca,1419.2,https://www.magazineluiza.com.br/pneu-aro-16-265-75-r16-chengshan-maspire-mt-pr10-123-120q-letra-branca/p/cj516d4k3h/au/pine/,2025-08-29 19:11:30,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu hifly lt265/75r16 10pr 123/120q vigorous mt601,1213.18,https://www.magazineluiza.com.br/pneu-hifly-lt265-75r16-10pr-123-120q-vigorous-mt601/p/cf3g00dck2/au/pine/,2025-08-29 19:11:43,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 265/75 r16 general tire grabber atx 123/120r letra branca,2289.04,https://www.magazineluiza.com.br/pneu-aro-16-265-75-r16-general-tire-grabber-atx-123-120r-letra-branca-continental/p/jebaa6e8a3/au/pine/,2025-08-29 19:11:53,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Cooper 265/75 R16 123/120R LT Evolution ATT by Goodyear,1357.29,https://www.magazineluiza.com.br/pneu-cooper-265-75-r16-123-120r-lt-evolution-att-by-goodyear/p/dk2ah1b45e/au/aupa/,2025-08-29 19:12:04,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri Lt 265/75 R16 10pr 123/120R Tl Brutus T/A,1178.24,https://www.magazineluiza.com.br/pneu-aro-16-xbri-lt-265-75-r16-10pr-123-120r-tl-brutus-t-a/p/db31e8ebd2/au/aupa/,2025-08-29 19:12:14,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Caminhonete 265 75 R16 Maspire MT 10 Lonas TL 123 e 120Q Chengshan OWL,1415.79,https://www.magazineluiza.com.br/pneu-caminhonete-265-75-r16-maspire-mt-10-lonas-tl-123-e-120q-chengshan-owl/p/db2keg4854/pi/agrp/,2025-08-29 19:12:24,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 16 265/75 R16 XL 116T Dynapro A/T2 Xtreme RF12,1672.81,https://www.magazineluiza.com.br/pneu-hankook-aro-16-265-75-r16-xl-116t-dynapro-a-t2-xtreme-rf12/p/heg3j4k53e/au/aupa/,2025-08-29 19:12:37,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 265/75 R16 LT 10PR 123/120Q TL Forza MT 2,1113.37,https://www.magazineluiza.com.br/pneu-aro-16-xbri-265-75-r16-lt-10pr-123-120q-tl-forza-mt-2/p/jk94ak3g3j/au/pine/,2025-08-29 19:12:47,265/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
