titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Durable Aro 22,5 295/80 R22,5 LT18PR 152/148M DR755 Borrachudo",2399.7,https://www.magazineluiza.com.br/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/p/afa716g8d3/au/pnoc/,2025-08-22 11:34:10,295/80R22,,,25260021120.29,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/autoloja/931p/67f42a1700cf6f4916e5e0150524dd27.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
"Pneu Durable Aro 22,5 295/80 R22,5 LT18PR 152/148M DR755 Borrachudo",2399.7,https://www.magazineluiza.com.br/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/p/afa716g8d3/au/pnoc/,2025-08-22 11:34:36,295/80R22,,,25260021120.29,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/autoloja/931p/67f42a1700cf6f4916e5e0150524dd27.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
"Pneu Durable Aro 22,5 295/80 R22,5 LT18PR 152/148M DR755 Borrachudo",2399.7,https://www.magazineluiza.com.br/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/p/afa716g8d3/au/pnoc/?seller_id=autoloja,2025-08-22 11:34:43,295/80R22,,,25260021120.29,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/autoloja/931p/67f42a1700cf6f4916e5e0150524dd27.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
"Pneu Aro 22,5” Anteo 295/80R22.5 152/148M",2118.49,https://www.magazineluiza.com.br/pneu-aro-225-anteo-295-80r22-5-152-148m-pro-s/p/235444400/au/pnoc/?seller_id=magazineluiza,2025-08-22 11:34:54,295/80R22,,,22299910223.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-225-anteo-295-80r22-5-152-148m-pro-s/magazineluiza/235444400/7a824cff96e09efb7893123b1fe1c185.jpg,magazineluiza,,True,8,9.0,magazineluiza,False,,,
Pneu Itaro Aro 22.5 Kobe D 295/80R22.5 152/148L 18 Lonas - Tração / Borrachudo,1863.05,https://www.magazineluiza.com.br/pneu-itaro-aro-22-5-kobe-d-295-80r22-5-152-148l-18-lonas-tracao-borrachudo/p/ejdffab1j5/au/pnoc/?seller_id=pneustore,2025-08-22 11:35:01,295/80R22,,,2138.27,True,https://a-static.mlcdn.com.br/280x210/pneu-itaro-aro-22-5-kobe-d-295-80r22-5-152-148l-18-lonas-tracao-borrachudo/pneustore/16006374/07a775936aa9b69d9d5d5a26715c9243.jpeg,magazineluiza,,True,1,0.0,PneuStore,False,,,
Pneu Xbri Forza Block P1 295/80 R22.5 Aro 22.5 152/149J 18PR Misto Borrachudo,1723.8,https://www.magazineluiza.com.br/pneu-xbri-forza-block-p1-295-80-r22-5-aro-22-5-152-149j-18pr-misto-borrachudo/p/jc843h4c5b/au/pnoc/?seller_id=clubedaborracha,2025-08-22 11:35:03,295/80R22,,,3243.8,True,https://a-static.mlcdn.com.br/280x210/pneu-xbri-forza-block-p1-295-80-r22-5-aro-22-5-152-149j-18pr-misto-borrachudo/clubedaborracha/186899/38ba10be2a7c980b5a2d4288dbd82f00.jpeg,magazineluiza,,True,3,0.0,Clube da Borracha,False,,,
Pneu Continental Aro 22.5 295/80r22.5 152/148m Hybrid Hd3,2926.0,https://www.magazineluiza.com.br/pneu-continental-aro-22-5-295-80r22-5-152-148m-hybrid-hd3/p/eg41a62106/au/pine/?seller_id=lojahipervarejo,2025-08-22 11:35:07,295/80R22,continental,,3427.06,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-aro-22-5-295-80r22-5-152-148m-hybrid-hd3/lojahipervarejo/48f11a8b866fcd9178e5565a830b1bac/38b3bf8eb501cd692abdfd9727d77b59.jpeg,magazineluiza,,True,0,0.0,Hipervarejo,False,,,
"Pneu Durable Aro 22,5 295/80 R22,5 LT18PR 152/148M DR755 Borrachudo",2399.7,https://www.magazineluiza.com.br/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/p/afa716g8d3/au/pnoc/,2025-08-22 11:35:29,295/80R22,,,25260021120.29,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/autoloja/931p/67f42a1700cf6f4916e5e0150524dd27.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
"Pneu Durable Aro 22,5 295/80 R22,5 LT18PR 152/148M DR755 Borrachudo",2399.7,https://www.magazineluiza.com.br/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/p/afa716g8d3/au/pnoc/?seller_id=autoloja,2025-08-22 11:35:35,295/80R22,,,25260021120.29,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-225-295-80-r225-lt18pr-152-148m-dr755-borrachudo/autoloja/931p/67f42a1700cf6f4916e5e0150524dd27.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Continental Aro 22.5 295/80r22.5 152/148m Hybrid Hd3,2926.0,https://www.magazineluiza.com.br/pneu-continental-aro-22-5-295-80r22-5-152-148m-hybrid-hd3/p/eg41a62106/au/pine/?seller_id=lojahipervarejo,2025-08-22 11:35:38,295/80R22,continental,,3427.06,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-aro-22-5-295-80r22-5-152-148m-hybrid-hd3/lojahipervarejo/48f11a8b866fcd9178e5565a830b1bac/38b3bf8eb501cd692abdfd9727d77b59.jpeg,magazineluiza,,True,0,0.0,Hipervarejo,False,,,
Pneu Itaro Aro 22.5 Kobe D 295/80R22.5 152/148L 18 Lonas - Tração / Borrachudo,1863.05,https://www.magazineluiza.com.br/pneu-itaro-aro-22-5-kobe-d-295-80r22-5-152-148l-18-lonas-tracao-borrachudo/p/ejdffab1j5/au/pnoc/?seller_id=pneustore,2025-08-22 11:35:40,295/80R22,,,2138.27,True,https://a-static.mlcdn.com.br/280x210/pneu-itaro-aro-22-5-kobe-d-295-80r22-5-152-148l-18-lonas-tracao-borrachudo/pneustore/16006374/07a775936aa9b69d9d5d5a26715c9243.jpeg,magazineluiza,,True,1,0.0,PneuStore,False,,,
