query,searched_part,searched_brand,url,title,price,currency,price_num,seller,matched_part,matched_brand,part_match,brand_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Conteúdo,spec:Posição,spec:Código da Montadora,spec:Aplicação,spec:Lado,spec:Código de barras,spec:Composição,spec:Linha
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1963510/bucha-da-bandeja-sampel-2756-unitario,Onde você está?,,,,,,Sampel,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Sampel,2756,40169990,12 Meses,Unitário,Dianteira,Original Ford: 2S653063AB,FORD ECOSPORT 2007 | FREESTYLE 1.6 L 8V SOHC L4 - FORD ECOSPORT 2008 | Todas as versões - FORD ECOSPORT 2009 | Todas as versões - FORD ECOSPORT 2010 | VER MAIS,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1204795/bucha-dianteira-da-bandeja-dianteira-borflex-781-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Borflex,781,4016.99.90,,Unitário,Dianteira,Fiat: 46.423.823,ALFA ROMEO 145 1996 | Todas as versões - ALFA ROMEO 145 1997 | Todas as versões - ALFA ROMEO 145 1998 | Todas as versões - ALFA ROMEO 145 1999 | Todas VER MAIS,"Direito, Esquerdo",7897417606665,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1224673/bucha-dianteira-da-bandeja-dianteira-borflex-227-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Borflex,227,4016.99.90,,Unitário,Dianteira,Original Ford: 2S653063AA Ford: 2S653063AA,FORD ECOSPORT 2003 | 4X4 | 4X2 - FORD ECOSPORT 2004 | 4X4 | 4X2 - FORD ECOSPORT 2005 | 4X4 | 4X2 - FORD ECOSPORT 2006 | 4X4 | 4X2 - FORD ECOSPORT 2007 VER MAIS,,7897417601318,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899339/bucha-bandeja-dianteira-jahu-25031-6-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,25031-6,,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1429166/bucha-bandeja-dianteira-jahu-12235-4-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,12235-4,,,,,Nakata: NB15004,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1027983/bucha-da-bandeja-dianteira-mobensani-mb-9058-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9058,40169990,06 Meses,,Dianteira,Citroen: 13.0050.7080 3523.93,CITROEN JUMPER 1995 | Todas as versões - CITROEN JUMPER 1996 | Todas as versões - CITROEN JUMPER 1997 | Todas as versões - CITROEN JUMPER 1998 | Todas VER MAIS,,7898261415984,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1028048/bucha-da-bandeja-dianteira-mobensani-mb-9087-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9087,87088000,06 Meses,,Traseira,Peugeot: 3523.51 96.106.474,CITROEN AX 1992 | Todas as versões - CITROEN AX 1993 | Todas as versões - CITROEN AX 1994 | Todas as versões - CITROEN AX 1995 | Todas as versões - PE VER MAIS,,7898261416271,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1035292/bucha-da-bandeja-dianteira-mobensani-mb-9283-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9283,40169990,06 Meses,,Dianteira,Hyundai: 54551-2E000,HYUNDAI I30 2010 | Todas as versões - HYUNDAI I30 2011 | Todas as versões - HYUNDAI I30 2012 | Todas as versões - HYUNDAI I30 2013 | Todas as versões VER MAIS,,7898429263921,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1864190/bucha-da-bandeja-dianteira-cofap-buc01107-unitario,Onde você está?,,,,,,Cofap,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Cofap,BUC01107,40169990,03 Meses,,,Volkswagen: 857407181 Original Volkswagen: 857407181,VOLKSWAGEN QUANTUM 1994 | Todas as versões - VOLKSWAGEN QUANTUM 1995 | Todas as versões - VOLKSWAGEN QUANTUM 1996 | Todas as versões - VOLKSWAGEN QUAN VER MAIS,,7891579322913,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1131537/bucha-bandeja-dianteira-jahu-53233-7-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,53233-7,,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899065/bucha-bandeja-dianteira-jahu-47561-0-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,47561-0,,,,,,,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899235/bucha-bandeja-dianteira-jahu-12759-5-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,12759-5,,,,,,HYUNDAI I30 2010 | CW 2.0 L 16V DOHC L4 - HYUNDAI I30 2011 | CW 2.0 L 16V DOHC L4 - HYUNDAI I30 2012 | FLEX 1.6 L 16V DOHC L4 - HYUNDAI I30 2013 | FLE VER MAIS,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899244/bucha-bandeja-dianteira-jahu-06184-4-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,06184-4,,,,,,TOYOTA COROLLA 1995 | DX 1.6 L 16V DOHC L4 - TOYOTA COROLLA 1996 | DX 1.6 L 16V DOHC L4 - TOYOTA COROLLA 1997 | DX 1.6 L 16V DOHC L4 VER MAIS,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1899308/bucha-bandeja-dianteira-jahu-50077-0-unitario,Onde você está?,,,,,,Jahu,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Jahu,50077-0,,,,,,RENAULT MÉGANE 2000 | HATCH FII EXPRESSION 1.6 L 16V DOHC L4 - RENAULT MÉGANE 2001 | HATCH FII EXPRESSION 1.6 L 16V DOHC L4 - RENAULT MÉGANE 2002 | HA VER MAIS,,,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1028065/bucha-da-bandeja-dianteira-mobensani-mb-9084-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9084,40169990,06 Meses,,Dianteira,Peugeot: 3523.50 3523.66 95.603.308 96113432,CITROEN AX 1992 | Todas as versões - CITROEN AX 1993 | Todas as versões - CITROEN AX 1994 | Todas as versões - CITROEN AX 1995 | Todas as versões - PE VER MAIS,,7898261416240,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1034584/bucha-da-bandeja-dianteira-mobensani-mb-1129-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 1129,40169990,06 Meses,,Dianteira,Chevrolet: 0352.300 0352.351 90.288.232 90373263 90373778 Original Chevrolet: 90373778 90373263 90288232 90.288.232,CHEVROLET ASTRA 1995 | SW - CHEVROLET ASTRA 1996 | SW - CHEVROLET CALIBRA 1994 | Todas as versões - CHEVROLET CALIBRA 1995 | Todas as versões - CHEVRO VER MAIS,,7898261411351,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/6519684/bucha-da-bandeja-dianteira-mobensani-mb-2285-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 2285,40169990,06 Meses,,Inferior da bandeja dianteira,Ford: AB313069-AB AB313A493-BB,FORD RANGER 2012 | Todas as versões - FORD RANGER 2013 | Todas as versões - FORD RANGER 2014 | Todas as versões - FORD RANGER 2015 | Todas as versões VER MAIS,,7898429268988,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1035291/bucha-da-bandeja-dianteira-mobensani-mb-9282-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9282,40169990,06 Meses,,Traseira,Hyundai: 54584-2B000,HYUNDAI AZERA 2008 | Todas as versões - HYUNDAI AZERA 2009 | Todas as versões - HYUNDAI AZERA 2010 | Todas as versões - HYUNDAI AZERA 2011 | Todas as VER MAIS,,7898429263914,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1017796/bucha-da-bandeja-dianteira-mobensani-mb-9325-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 9325,40169990,06 Meses,,Dianteira,Renault: 82.0080.6340,RENAULT LOGAN 2008 | Todas as versões - RENAULT LOGAN 2009 | Todas as versões - RENAULT LOGAN 2010 | Todas as versões - RENAULT LOGAN 2011 | Todas as VER MAIS,,7898429265406,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/6519699/bucha-da-bandeja-dianteira-mobensani-mb-2281-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 2281,40169990,06 Meses,,Dianteira,Original Ford: 6C163069AA Ford: 1495713 6C163069-AA,FORD TRANSIT 2009 | Todas as versões - FORD TRANSIT 2010 | Todas as versões - FORD TRANSIT 2011 | Todas as versões - FORD TRANSIT 2012 | Todas as vers VER MAIS,,7898429268384,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/7597731/bucha-da-bandeja-dianteira-monroe-axios-lt80102-unitario,Onde você está?,,,,,,Monroe Axios,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Monroe Axios,LT80102,,,,Dianteira,,RENAULT KWID 2017 | LIFE 1.0 L 12V DOHC L3 | INTENSE 1.0 L 12V DOHC L3 | ZEN 1.0 L 12V DOHC L3 - RENAULT KWID 2018 | LIFE 1.0 L 12V DOHC L3 | INTENSE VER MAIS,,,Unitário,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/6519736/bucha-dianteira-da-bandeja-mobensani-mb-1224-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 1224,40169990,06 Meses,,Dianteira da bandeja,Chevrolet: 95476895,CHEVROLET COBALT 2011 | Todas as versões - CHEVROLET COBALT 2012 | Todas as versões - CHEVROLET COBALT 2013 | Todas as versões - CHEVROLET COBALT 2014 VER MAIS,,7898429267202,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/6519741/bucha-dianteira-da-bandeja-mobensani-mb-6000-unitario,Onde você está?,,,,,,Mobensani,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Mobensani,MB 6000,40169990,06 Meses,,Dianteira da bandeja,Honda: 51392TJ0M00,HONDA CITY 2010 | Todas as versões - HONDA CITY 2011 | Todas as versões - HONDA CITY 2012 | Todas as versões - HONDA CITY 2013 | Todas as versões - HO VER MAIS,,7898429268667,,
bucha dianteiro 2756,,,https://www.canaldapeca.com.br/p/1514146/bucha-do-tensor-dianteiro-borflex-105-unitario,Onde você está?,,,,,,Borflex,0,0,UNIDADE,1,,,canaldapeca,1,SEM_SEarched_part,Borflex,105,4016.99.90,,Unitário,Dianteira,Ford: C7TZ.3B203.A,FORD F 2000 1981 | Todas as versões - FORD F 2000 1982 | Todas as versões - FORD F 2000 1983 | Todas as versões - FORD F 2000 1984 | Todas as versões VER MAIS,,7897417600052,,Pesada
