query,searched_part,url,title,price,currency,price_num,matched_part,matched_brand,part_match,sale_type,units,price_per_unit,desc_excerpt,source,accepted,decision_reason,spec:Marca,spec:Código do Produto,spec:NCM,spec:Garantia,spec:Tipo,spec:Lado,spec:Conteúdo,spec:Posição,spec:Linha,spec:Código de barras,spec:Código da Montadora,spec:Aplicação,spec:Consulte o Manual
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/1554563/amortecedor-dianteiro-pressurizado-hg-esquerdodireito-leve-automotivo-nakata-hg-33017-unitario,Amortecedor Dianteiro Pressurizado HG Esquerdo/Direito Leve Automotivo - Nakata - HG 33017 - Unitário,,,,HG33017,Nakata,1,UNIDADE,1,,,canaldapeca,1,OK_PN_VERIFICADO_NO_TITULO,Nakata,HG 33017,87088000,24 Meses ou 50.000 KM,Pressurizado HG,"Direito, Esquerdo",Unitário,Dianteira,Leve,7897499963915,Volkswagen: 413031BD 413031F,VOLKSWAGEN FOX 2003 | CITY 1.0 L 8V SOHC L4 | MI TOTAL FLEX 1.0 L 8V SOHC L4 | CITY TOTAL FLEX 1.0 L 8V SOHC L4 - VOLKSWAGEN FOX 2004 | 1.6 MI 8V SPOR VER MAIS,Download
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238386/amortecedor-nakata-dianteirotraseiro-sandero-e-logan-nakata-4hg33037-kit,AMORTECEDOR NAKATA DIANTEIRO/TRASEIRO SANDERO E LOGAN - Nakata - 4HG33037 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,4HG33037,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238405/amortecedor-nakata-dianteiro-direito-e-esquerdo-hyundai-hb20-nakata-2hgd41275-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO E ESQUERDO HYUNDAI HB20 - Nakata - 2HGD41275 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41275,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238560/amortecedor-nakata-dianteiro-direitoesquerdo-citroen-aircross-nakata-2hgd41043-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO CITROEN AIRCROSS - Nakata - 2HGD41043 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41043,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238356/amortecedor-nakata-dianteiro-direitoesquerdo-agilemontana-nakata-2hgd33056-kit,Amortecedor Nakata Dianteiro Direito/Esquerdo Agile/Montana - Nakata - 2HGD33056 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33056,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238532/amortecedor-nakata-dianteiro-direitoesquerdo-kit-batente-nakata-2hgd33037-bd-012-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO + KIT BATENTE - Nakata - 2HGD33037-BD-012 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33037-BD-012,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238435/amortecedor-nakata-dianteiro-direitoesquerdo-fiat-fiorino-nakata-2hgd33097-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO FIAT FIORINO - Nakata - 2HGD33097 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33097,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238363/amortecedor-nakata-dianteiro-direitoesquerdo-fiat-palio-nakata-2hgd33004-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO FIAT PALIO - Nakata - 2HGD33004 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33004,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238354/amortecedor-dianteiro-direitoesquerdo-nakata-ecospor-2003-a-2012-nakata-2hgd31102-kit,AMORTECEDOR DIANTEIRO DIREITO/ESQUERDO NAKATA ECOSPOR 2003 A 2012 - Nakata - 2HGD31102 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD31102,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238417/amortecedor-dianteiro-nakata-lado-direitoesquerdo-chevrolet-cruze-nakata-2hgd41286-kit,AMORTECEDOR DIANTEIRO NAKATA LADO DIREITO/ESQUERDO CHEVROLET CRUZE - Nakata - 2HGD41286 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41286,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238467/amortecedor-nakata-dianteiro-direito-e-esquerdo-volkswagen-saveiro-e-crossfox-nakata-2hgd33053-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO E ESQUERDO VOLKSWAGEN SAVEIRO E CROSSFOX - Nakata - 2HGD33053 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33053,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238347/amortecedor-nakata-dianteiro-direitoesquerdo-renault-sandero-e-logan-nakata-2hgd33037-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO RENAULT SANDERO E LOGAN - Nakata - 2HGD33037 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33037,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/1795620/amortecedor-traseiro-convencional-automotivo-nakata-nakata-ac-45007-unitario,Amortecedor Traseiro Convencional Automotivo Nakata - Nakata - AC 45007 - Unitário,,,,,Nakata,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,AC 45007,87088000,6 Meses ou 50.000 KM,,,Unitário,,,7890903025469,Original Mercedes-Benz: A3843267500,MERCEDES-BENZ OF 1722 2005 | 4.8 L 12V SOHV L4 - MERCEDES-BENZ OF 1722 2006 | 4.8 L 12V SOHV L4 - MERCEDES-BENZ OF 1722 2007 | 4.8 L 12V SOHV L4 - MER VER MAIS,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238429/amortecedor-nakata-dianteiro-direitoesquerdo-mercedes-benz-sprinter-nakata-2hgd41207-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO MERCEDES BENZ SPRINTER - Nakata - 2HGD41207 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41207,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238388/amortecedor-nakata-traseirodianteiro-kit-batente-sandero-e-logan-nakata-4hg33037-bd-012-bt-011-kit,AMORTECEDOR NAKATA TRASEIRO/DIANTEIRO + KIT BATENTE SANDERO E LOGAN - Nakata - 4HG33037-BD-012-BT-011 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,4HG33037-BD-012-BT-011,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/1796667/amortecedor-kia-cerato-09-nakata-hg41059-dianteiro-esq-nakata-hg-41059-unitario,Amortecedor Kia Cerato 09> NAKATA HG41059 - Dianteiro Esq - Nakata - HG 41059 - Unitário,,,,,Nakata,0,UNIDADE,1,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,HG 41059,87088000,24 Meses Ou 50.000 KM,,,,,,7890903053424,Kia: 546511M300,KIA CERATO 2008 | Todas as versões - KIA CERATO 2009 | Todas as versões - KIA CERATO 2010 | Todas as versões - KIA CERATO 2011 | Todas as versões - KI VER MAIS,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238357/amortecedor-nakata-dianteiro-direito-e-esquerdo-astra-vectra-zafira-nakata-2hgd32871-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO E ESQUERDO ASTRA VECTRA ZAFIRA - Nakata - 2HGD32871 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD32871,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238456/amortecedor-nakata-dianteiro-direito-esquerdo-ford-new-ecosport-nakata-2hgd41010-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO ESQUERDO FORD NEW ECOSPORT - Nakata - 2HGD41010 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41010,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238361/amortecedor-nakata-dianteiro-direitoesquerdo-ford-fiesta-antigo-nakata-2hgd31100-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO FORD FIESTA ANTIGO - Nakata - 2HGD31100 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD31100,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238377/amortecedor-nakata-dianteiro-direitoesquerdo-honda-civic-18-nakata-2hgd41019-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO HONDA CIVIC 1.8 - Nakata - 2HGD41019 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41019,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238434/amortecedor-nakata-dianteiro-direito-esquerdo-kit-batente-dianteiro-fiat-fiorino-nakata-2hgd33097-bd-008-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO ESQUERDO + KIT BATENTE DIANTEIRO FIAT FIORINO - Nakata - 2HGD33097-BD-008 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD33097-BD-008,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238403/amortecedor-nakata-dianteiro-direito-esquerdo-chevroolet-celta-prisma-corsa-nakata-2sed30829-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO ESQUERDO CHEVROOLET CELTA PRISMA CORSA - Nakata - 2SED30829 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2SED30829,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238396/amortecedor-nakata-dianteiro-direitoesquerdo-chevrolet-s10-2012-a-2020-nakata-2hgd41037-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO CHEVROLET S10 2012 A 2020 - Nakata - 2HGD41037 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41037,,,,,,,,,,,
amortecedor dianteiro nakata HG33017,HG33017,https://www.canaldapeca.com.br/p/10238428/amortecedor-nakata-dianteiro-direitoesquerdo-fiat-freemont-dodge-journey-nakata-2hgd41064-kit,AMORTECEDOR NAKATA DIANTEIRO DIREITO/ESQUERDO FIAT FREEMONT / DODGE JOURNEY - Nakata - 2HGD41064 - Kit,,,,,Nakata,0,KIT,,,,canaldapeca,0,REJECT_PN_NAO_ENCONTRADO_NA_PAGINA(HG33017),Nakata,2HGD41064,,,,,,,,,,,
