canonical_key,brand,model,size,n_listings,marketplaces,min_price,max_price,mean_price,median_price,p10,p90,media_correta,evidence_files
,,,,183,"amazon,magalu,magazineluiza,mercadolivre,nan,pneustore",281.9,74466.0,22955.612500000003,6382.5,1900.45,61146.5,18149.5,"ETL/data/processed/pricing.db,user/Desktop/Precificação_AI/.venv/Lib/site-packages/matplotlib/backends/web_backend/package.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/matplotlib/mpl-data/sample_data/data_x_x2_x3.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/matplotlib/mpl-data/sample_data/msft.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arccos.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arccosh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arcsin.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arcsinh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arctan.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arctanh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cbrt.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cos.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cosh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-exp.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-exp2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-expm1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log10.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log1p.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-sin.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-sinh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-tan.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-tanh.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-1.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-2.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/playwright/driver/package/api.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/playwright/driver/package/browsers.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/playwright/driver/package/lib/server/deviceDescriptorsSource.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/playwright/driver/package/package.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/scipy/stats/tests/data/studentized_range_mpmath_ref.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/selenium/webdriver/firefox/webdriver_prefs.json,user/Desktop/Precificação_AI/.venv/Lib/site-packages/sklearn/datasets/data/boston_house_prices.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/sklearn/datasets/data/iris.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_exercise.csv,user/Desktop/Precificação_AI/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_physiological.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/matplotlib/backends/web_backend/package.json,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/matplotlib/mpl-data/sample_data/data_x_x2_x3.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/matplotlib/mpl-data/sample_data/msft.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arccos.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arccosh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arcsin.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arcsinh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arctan.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-arctanh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cbrt.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cos.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-cosh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-exp.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-exp2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-expm1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log10.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log1p.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-log2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-sin.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-sinh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-tan.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/core/tests/data/umath-validation-set-tanh.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-1.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-2.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/scipy/stats/tests/data/studentized_range_mpmath_ref.json,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/selenium/webdriver/firefox/webdriver_prefs.json,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/sklearn/datasets/data/boston_house_prices.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/sklearn/datasets/data/iris.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_exercise.csv,user/Desktop/Precificação_AI/ETL/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_physiological.csv,user/Desktop/Precificação_AI/ETL/data/processed/pricing.db,user/Desktop/Precificação_AI/ETL/data/raw/Dados_locais/sistema.csv,user/Desktop/Precificação_AI/Scraper_em_geral/.vscode/settings.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/magalu_products.db,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/185_60_r15/20250814_153824_185_60_r15_Firestone_F700_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/185_70_r13/20250814_160057_185_70_r13_Dunlop_Touring_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/185_70_r14/20250814_160129_185_70_r14_Goodyear_Assurance_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/185_70_r14/20250814_160155_185_70_r14_Goodyear_Kelly_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/185_70_r14/20250814_160223_185_70_r14_Continental_PowerContact_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_50_r16/20250814_160632_195_50_r16_Dunlop_Direzza_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_50_r16/20250814_160701_195_50_r16_Goodyear_Kelly_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r15/20250814_160856_195_55_r15_Goodyear_EfficientGrip_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r15/20250814_160928_195_55_r15_Dunlop_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r15/20250814_161453_195_55_r15_Pirelli_P400_Evo_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r16/20250814_161521_195_55_r16_Falken_Ziex_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r16/20250814_161733_195_55_r16_Continental_PowerContact_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_55_r16/20250814_162001_195_55_r16_Goodyear_Eagle_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_60_r15/20250814_162029_195_60_r15_Continental_PowerContact_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_60_r15/20250814_162058_195_60_r15_Goodyear_Kelly_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_60_r15/20250814_162424_195_60_r15_Michelin_Energy_XM2_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_65_r15/20250814_163647_195_65_r15_Goodyear_EfficientGrip_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/195_65_r15/20250814_163716_195_65_r15_Firestone_F700_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/205_45_r17/20250814_163857_205_45_r17_Dunlop_DZ10_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/205_50_r17/20250814_163927_205_50_r17_Goodyear_Eagle_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/205_60_r16/20250814_171527_205_60_r16_Sumitomo_BC100_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/205_70_r15/20250814_173331_205_70_r15_Michelin_Ltx_Force_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/MagazineLuiza/data/raw/215_45_r17/20250814_173627_215_45_r17_Sumitomo_BC100_relatorio.json,user/Desktop/Precificação_AI/Scraper_em_geral/mercadolivre/data/JSON/pneu-175-70-r14-dunlop-sp-touring_20250801_114837.json,user/Desktop/Precificação_AI/Unificador_DB/data/AI/audit/dq_by_marketplace.csv,user/Desktop/Precificação_AI/Unificador_DB/data/AI/audit/dq_report.csv,user/Desktop/Precificação_AI/Unificador_DB/data/unificadoDB/unified_products.db,user/Desktop/Precificação_AI/Unificador_DB/data/unificadoDB/unified_products2.0.db,user/Desktop/Precificação_AI/Unificador_DB/data/unificadoDB/unified_products3.0.db,user/Desktop/Precificação_AI/Unificador_DB/data/unificadoDB/unified_products4.0.db,user/Desktop/Precificação_AI/Unificador_DB/normalization_config.json,user/Desktop/Precificação_AI/Unificador_DB/unified_products.db,user/Desktop/Precificação_AI/data/processed/amazon/pricing_20250722_115411.json,user/Desktop/Precificação_AI/data/processed/amazon/pricing_20250722_140721.json,user/Desktop/Precificação_AI/data/processed/amazon/pricing_20250722_152828.json,user/Desktop/Precificação_AI/data/processed/marketplaces.db,user/Desktop/Precificação_AI/data/processed/mercadolivre/pricing_20250722_111219.json,user/Desktop/Precificação_AI/data/processed/mercadolivre/pricing_20250722_115407.json,user/Desktop/Precificação_AI/data/processed/mercadolivre/pricing_20250722_140720.json,user/Desktop/Precificação_AI/data/processed/pricing.db,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arccos.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arccosh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arcsin.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arcsinh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arctan.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-arctanh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-cbrt.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-cos.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-cosh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-exp.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-exp2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-expm1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log10.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log1p.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-sin.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-sinh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-tan.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-tanh.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/mt19937-testset-2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/pcg64-testset-2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/pcg64dxsm-testset-2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/philox-testset-2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-1.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/numpy/random/tests/data/sfc64-testset-2.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/scipy/stats/tests/data/studentized_range_mpmath_ref.json,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/sklearn/datasets/data/iris.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_exercise.csv,user/Desktop/Precificação_AI/src/pricing_ai/.venv/Lib/site-packages/sklearn/datasets/data/linnerud_physiological.csv"
175/70R13,,,175/70R13,9,mercadolivre,519.64,51964.0,11951.72,519.64,519.64,51964.0,11951.72,"user/Desktop/Precificação_AI/ETL/data/raw/mercadolivre/pneu-175-70-r13-goodyear-kelly-edge_20250722_090616.json,user/Desktop/Precificação_AI/ETL/data/raw/mercadolivre/pneu-175-70-r13-goodyear-kelly-edge_20250723_081512.json,user/Desktop/Precificação_AI/ETL/data/raw/mercadolivre/pneu-175-70-r13-goodyear-kelly-edge_20250724_100119.json,user/Desktop/Precificação_AI/ETL/data/raw/mercadolivre/pneu-175-70-r13-goodyear-kelly-edge_20250725_084655.json,user/Desktop/Precificação_AI/Scraper_em_geral/mercadolivre/data/JSON/pneu-175-70-r13-goodyear-dunlop_20250730_090050.json,user/Desktop/Precificação_AI/Scraper_em_geral/mercadolivre/data/JSON/pneu-175-70-r13-goodyear-kelly-edge_20250729_084502.json,user/Desktop/Precificação_AI/data/processed/marketplaces.db,user/Desktop/Precificação_AI/data/processed/mercadolivre/pricing_20250722_142324.json"
175/70R14,,,175/70R14,1,mercadolivre,415.9,415.9,415.9,415.9,415.9,415.9,415.9,user/Desktop/Precificação_AI/Scraper_em_geral/mercadolivre/data/JSON/pneu-175-70-r14-dunlop-sp-touring_20250801_114837.json
175/70R14|p400,,p400,175/70R14,1,mercadolivre,339.9,339.9,339.9,339.9,339.9,339.9,339.9,user/Desktop/Precificação_AI/Scraper_em_geral/mercadolivre/data/JSON/pneu-175-70-r14-dunlop-sp-touring_20250801_114837.json
CONTINENTAL|185-70-r14,CONTINENTAL,,185-70-r14,3,pneustore,351.9,484.9,437.2333333333333,474.9,376.5,482.9,474.9,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/185-70-r14/pneu-18570r14-continental-powercontact_20250808_162804.csv
CONTINENTAL|195-55-r16,CONTINENTAL,,195-55-r16,6,pneustore,559.9,759.9,614.9,574.9,564.9,704.9,592.4,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/195-55-r16/pneu-19555r16-continental-powercontact_20250808_165419.csv
CONTINENTAL|195-60-r15,CONTINENTAL,,195-60-r15,3,pneustore,361.68,519.9,463.82666666666665,509.9,391.324,517.9,509.9,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/195-60-r15/pneu-19560r15-continental-powercontact_20250808_170042.csv
Dunlop,Dunlop,,,1,,,,,,,,,user/Desktop/Precificação_AI/query_products.json
GOODYEAR|165-70-r13|assurance,GOODYEAR,assurance,165-70-r13,2,pneustore,386.13,386.13,386.13,386.13,386.13,386.13,386.13,"user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/165-70-r13/pneu-165-70-r13-goodyear-assurance_20250801_155101.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/165-70-r13/pneu-16570r13-goodyear-assurance_20250808_151245.csv"
GOODYEAR|165-70-r14|assurance,GOODYEAR,assurance,165-70-r14,2,pneustore,400.79,400.79,400.79,400.79,400.79,400.79,400.79,"user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/165-70-r14/pneu-165-70-r14-goodyear-assurance_20250801_154726.json,user/Desktop/Precificação_AI/Scraper_em_geral/pneustore/dados/raw/165-70-r14/pneu-16570r14-goodyear-assurance_20250808_151506.csv"
